0: [[3, 2, 9, 1, 16, 10], [4, 14, 5, 6, 12, 13], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
1: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
2: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
3: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
4: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
5: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
6: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
7: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
8: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
9: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
10: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
11: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
12: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
13: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
14: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
15: [[3, 1, 2, 9, 16, 10], [4, 14, 13, 5, 6, 12], [11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
16: [[16, 3], [10, 1, 2, 9, 4, 14], [13, 5, 6, 12, 11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
17: [[16, 3], [10, 1, 2, 9, 4, 14], [13, 5, 6, 12, 11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
18: [[16, 3], [10, 1, 2, 9, 4, 14], [13, 5, 6, 12, 11, 7], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
19: [[10, 1, 2, 9, 3], [4, 14], [13, 5, 6, 12, 11, 7, 16], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
20: [[10, 1, 2, 9, 3], [4, 14], [13, 5, 6, 12, 11, 7, 16], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
21: [[10, 1, 2, 9, 3], [4, 14], [13, 5, 6, 12, 11, 7, 16], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
22: [[10, 1, 2, 9, 3], [4, 14], [13, 5, 6, 12, 11, 7, 16], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
23: [[10, 1, 2, 9, 3], [4, 14], [13, 5, 6, 12, 11, 7, 16], [8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
24: [[16, 3], [10, 1, 2, 9, 4, 14], [13, 5, 6, 12, 11, 7], [8, 15, 19, 17, 18, 20], [22, 23, 21, 24]]
25: [[16, 3], [10, 1, 2, 9, 4, 14], [13, 5, 6, 12, 11], [7, 8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
26: [[16, 3], [10, 1, 2, 9, 4, 14], [13, 5, 6, 12, 11], [7, 8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
27: [[16, 3], [10, 1, 2, 9, 4, 14, 13], [5, 6, 12, 11, 7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
28: [[16, 3], [10, 1, 2, 9, 4, 14, 13], [5, 6, 12, 11, 7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
29: [[16, 3], [10, 1, 2, 9, 4, 14, 13], [5, 6, 12, 11, 7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
30: [[16, 3], [10, 1, 2, 9, 4, 14, 13], [5, 6, 12, 11, 7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
31: [[16, 3], [10, 1, 2, 9, 4, 14, 13], [5, 6, 12, 11, 7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
32: [[10, 1, 2, 9], [4, 14, 13, 5, 6], [12, 11, 16, 3], [7, 8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
33: [[10, 1, 2, 9], [4, 14, 13, 5, 6], [12, 11, 16, 3], [7, 8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
34: [[10, 1, 2], [9, 4, 14, 13, 5, 6], [12, 11, 16, 3], [7, 8, 15, 19, 17, 18, 20, 22], [23, 21, 24]]
35: [[16, 3, 2, 9, 4, 10, 1], [14, 13, 5, 6, 12, 11], [7, 8, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
36: [[16, 3, 2, 9, 4, 10, 1], [14, 13, 5, 6, 12, 11], [7, 8, 15, 19, 17, 18], [20, 22], [23, 21, 24]]
37: [[10, 1, 2, 9], [4, 14, 13, 5, 6, 12, 11, 16, 3], [7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
38: [[10, 1, 2, 9], [4, 14, 13, 5, 6, 12, 11, 16, 3], [7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
39: [[10, 1, 2, 9], [4, 14, 13, 5, 6, 12, 11, 16, 3], [7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
40: [[10, 1, 2, 9], [4, 14, 13, 5, 6, 12, 11, 16, 3], [7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
41: [[10, 1, 2, 9, 4, 16, 3], [14, 13, 5, 6, 12, 11], [7, 8], [15, 19, 17, 18, 20, 22], [23, 21, 24]]
