0: [[12, 2], [4, 6, 9], [1, 5, 3], [7, 8, 11, 10, 13]]
1: [[12, 2], [4, 6, 9], [1, 5, 3], [7, 8, 11, 10, 13]]
2: [[12, 2], [4, 6, 9], [1, 5, 3], [7, 8, 11, 10, 13]]
3: [[12, 2, 4, 6, 9, 1], [5, 3], [7, 8, 11, 10, 13]]
4: [[12, 2], [4, 6, 9, 1], [5, 3], [7, 8, 11, 10], [13]]
5: [[12, 2], [4, 6, 9, 1, 5, 3], [7, 8, 11, 10, 13]]
6: [[12, 2], [4, 6, 9, 1], [5, 3, 7], [8, 11], [10, 13]]
7: [[12, 2, 4, 6, 9], [1, 5, 3], [7, 8], [11, 10], [13]]
8: [[12, 2], [4, 6, 9], [1, 5, 3, 7], [8, 11, 10, 13]]
9: [[12, 2, 4, 6, 9, 1, 5, 3, 7], [8, 11], [10, 13]]
10: [[12, 2, 4], [6, 9, 1, 5, 3], [7, 8, 11, 10, 13]]
11: [[12, 2], [4, 6], [9, 1], [5, 3], [7, 8, 11, 10, 13]]
12: [[12, 2, 4, 6, 9, 1], [5, 3], [7, 8], [11, 10, 13]]
13: [[12, 2], [4, 6, 9, 1, 5, 3, 7, 8, 11], [10, 13]]
14: [[12, 2], [4, 6], [9, 1], [5, 3], [7, 8, 11, 10], [13]]
15: [[12, 2], [4, 6, 9, 1, 5], [3, 7, 8, 11, 10, 13]]
16: [[12, 2], [4, 6, 9, 1, 5], [3, 7], [8, 11], [10, 13]]
17: [[12, 2], [4, 6, 9], [1, 5], [3, 7, 8, 11, 10, 13]]
18: [[12, 2, 4, 6], [9, 1, 5, 3, 7, 8, 11], [10, 13]]
19: [[12, 2, 4, 6], [9, 1, 5, 3, 7, 8, 11], [10], [13]]
20: [[12, 2, 4, 6, 9], [1, 5, 3, 7], [8], [11, 10, 13]]
21: [[12, 2, 4, 6, 9], [1, 5], [3, 7, 8, 11, 10], [13]]
22: [[12, 2, 4, 6, 9], [1, 5], [3, 7], [8, 11, 10, 13]]
23: [[12, 2], [4, 6], [9, 1, 5, 3], [7, 8], [11, 10], [13]]
24: [[12, 2], [4, 6], [9, 1], [5, 3, 7, 8, 11, 10, 13]]
25: [[12, 2, 4, 6], [9, 1], [5, 3, 7, 8, 11, 10, 13]]
26: [[12, 2, 4, 6], [9, 1], [5, 3, 7, 8, 11], [10, 13]]
27: [[12, 2, 4], [6, 9], [1, 5], [3, 7, 8, 11, 10], [13]]
