0: [[11, 8], [5, 3, 1], [6, 10, 4, 9, 2], [12, 13, 7]]
1: [[11, 8], [5, 3, 1], [6, 10, 4, 9, 2], [12, 13, 7]]
2: [[11, 8], [5, 3, 1], [6, 10, 4, 9, 2], [12, 13, 7]]
3: [[11, 8], [5, 3, 1], [6, 10, 4, 9, 2], [12, 13, 7]]
4: [[11, 8, 6], [5, 3], [1, 10, 4, 2], [9, 7, 12, 13]]
5: [[5, 3], [1, 2, 6, 11, 8], [10, 4, 9], [7, 12, 13]]
6: [[11, 8, 6], [5, 3, 1], [10, 4, 9, 7, 12, 13, 2]]
7: [[5, 3, 1, 2], [6, 10, 4, 8], [9, 7, 12, 13, 11]]
8: [[5], [3, 1], [2, 6, 11, 8], [10, 4, 9], [7, 12, 13]]
9: [[5, 3], [1, 2], [6, 10, 4, 8], [9, 7, 12, 13, 11]]
10: [[5, 3], [1, 2], [6, 10, 4, 8], [9, 7, 12, 13, 11]]
11: [[5, 3], [1, 2], [6, 10, 4, 8], [9, 7, 12, 13, 11]]
12: [[5], [1, 2, 3], [6, 11, 8], [10, 4], [9, 7, 12, 13]]
13: [[11, 8, 5], [1, 3], [6, 10, 4, 9, 2], [7, 12, 13]]
14: [[11, 8], [5, 3], [1, 2, 6], [10, 4], [9, 7, 12, 13]]
15: [[5, 11, 8], [3, 1, 2], [6, 10, 4, 9], [7, 12, 13]]
16: [[11, 8, 6], [5, 3], [1, 2], [10, 4, 9, 7, 12, 13]]
17: [[11, 8, 6], [5, 3], [1, 2], [10, 4, 9, 7, 12, 13]]
18: [[11, 8, 5, 3], [1, 2, 6, 10, 4, 9], [7, 12, 13]]
19: [[5], [1, 2, 3], [6, 10, 11, 8], [4, 9], [7, 12, 13]]
20: [[11, 8], [5, 3], [1, 2, 6, 10, 4, 9, 7, 12, 13]]
21: [[5, 3], [1, 2], [6, 10], [4, 9, 11, 8], [7, 12, 13]]
22: [[11, 8, 6], [5, 3, 1], [10, 2], [4, 9, 7], [12, 13]]
23: [[11, 8], [5, 3, 1, 2], [6, 10, 4, 9, 7, 12, 13]]
24: [[11, 8, 6], [5, 3], [1, 10], [4, 9, 7], [12, 13, 2]]
25: [[11, 8, 6], [5, 3], [1, 10], [4, 9, 7], [12, 13, 2]]
26: [[11, 8], [5, 3, 1, 2, 6, 10], [4, 9, 7, 12, 13]]
27: [[11, 8, 5], [3, 1, 2, 6, 10, 4, 9, 7], [12, 13]]
