0: [[34], [17, 4, 38], [44, 5, 18], [7, 2], [28, 39, 3, 60, 22], [9, 11, 31, 25, 8, 13, 6, 21], [14, 15, 20], [26, 1], [27, 23, 16], [24, 36, 35, 48, 29, 10, 12], [30], [33, 37], [47, 56, 45, 40], [58, 32, 42, 43, 51], [41, 46], [49, 57], [59], [50, 52, 19, 53, 54, 55]]
1: [[35, 7, 2], [33, 1, 21, 13, 3, 4, 5, 6, 14, 8, 9, 12, 10, 31, 15, 11, 16, 18], [19, 23, 17, 20, 22, 30, 24, 25, 26, 27, 29, 28, 32, 34, 36, 37, 38, 39, 40, 41, 47, 44, 42, 46], [43, 45, 51, 50, 49, 54, 48, 55, 53, 52, 56, 57, 59, 58, 60]]
2: [[35, 7, 2], [33, 3, 21, 6, 1, 4, 5, 12, 14, 13, 31, 9, 8, 10, 27, 17, 11, 15], [18, 25, 22, 30, 19, 16, 24, 29, 23, 20, 26, 28, 32, 39, 38, 36, 43, 34, 45, 37, 40, 42, 41, 54], [49, 44, 51, 46, 59, 47, 48, 52, 50, 55, 53, 58, 60, 57, 56]]
3: [[35, 7, 2], [33, 1, 4, 12, 15, 6, 11, 8, 3, 27, 5, 10, 9, 21, 13, 20, 14, 19], [16, 23, 18, 24, 17, 25, 22, 29, 26, 28, 30, 60, 36, 32, 42, 34, 31, 38, 39, 47, 37, 40, 43, 41], [45, 44, 57, 46, 50, 52, 48, 49, 51, 55, 53, 58, 54, 56, 59]]
4: [[35, 7, 2], [33, 9, 5, 1, 4, 12, 29, 6, 13, 8, 11, 3, 14, 26, 10, 15, 20, 19, 16, 18, 24, 27, 21, 23], [22, 17, 25, 28, 31, 30, 36, 40, 32, 34, 37, 39, 43, 46, 42, 45, 38, 44], [41, 47, 56, 49, 54, 51, 48, 53, 50, 55, 52, 59, 57, 58, 60]]
5: [[35, 7, 2], [33, 1, 21, 5, 4, 10, 16, 3, 9, 6, 12, 19, 13, 28, 11, 8, 14, 27, 15, 17, 18, 22, 25, 23], [20, 26, 24, 31, 30, 29, 34, 40, 38, 36, 32, 39, 42, 44, 37, 41, 47, 45], [43, 46, 56, 51, 49, 50, 52, 53, 54, 48, 55, 57, 58, 59, 60]]
6: [[35, 7, 2], [33, 1, 21, 3, 5, 12, 4, 11, 10, 6, 8, 9, 26, 15, 25, 13, 31, 18, 14], [17, 19, 20, 28, 16, 23, 27, 22, 24, 29, 30, 32, 34, 37, 36, 39, 38, 47, 44, 42, 40, 43, 41], [45, 46, 51, 48, 49, 54, 55, 53, 57, 52, 50, 60, 58, 59, 56]]
7: [[35, 7, 2], [33, 13, 25, 15, 1, 4, 5, 3, 29, 14, 21, 11, 27, 18, 30, 6, 8, 9], [10, 31, 17, 19, 12, 20, 16, 28, 24, 22, 23, 26, 36, 34, 32, 37, 39, 41, 43, 44, 40, 38, 42, 47], [45, 49, 46, 52, 48, 50, 53, 54, 51, 55, 56, 59, 57, 58, 60]]
8: [[35, 7, 2], [33, 1, 21, 15, 3, 14, 10, 4, 11, 5, 6, 8, 13, 29, 9, 26, 12, 16, 25, 17, 22, 31, 18, 23], [27, 24, 19, 20, 28, 34, 38, 36, 47, 44, 30, 32, 37, 39, 40, 41, 42, 45], [43, 56, 49, 46, 50, 55, 52, 53, 48, 51, 54, 57, 58, 59, 60]]
9: [[35, 7, 2], [33, 1, 13, 8, 3, 4, 10, 9, 12, 15, 20, 11, 30, 6, 26, 17, 21, 18, 5], [23, 16, 14, 19, 29, 24, 25, 22, 27, 31, 28, 36, 38, 34, 40, 37, 45, 32, 39, 41, 42, 44, 43], [46, 49, 47, 48, 50, 52, 55, 53, 54, 60, 51, 57, 59, 58, 56]]
10: [[35, 7, 2], [1, 4, 21, 13, 6, 8, 3, 5, 9, 26, 11, 10, 27, 12, 15, 14, 18, 19], [17, 23, 16, 22, 20, 28, 29, 25, 24, 31, 30, 32, 36, 38, 33, 41, 34, 37, 42, 40, 43, 46, 39, 44], [45, 47, 57, 52, 49, 50, 51, 53, 54, 55, 48, 59, 56, 58, 60]]
11: [[35, 7, 2], [33, 1, 28, 5, 11, 4, 15, 9, 3, 17, 20, 14, 12, 6, 31, 10, 30, 8], [13, 18, 16, 23, 19, 22, 21, 25, 24, 26, 27, 29, 36, 34, 38, 44, 37, 47, 32, 39, 46, 41, 42, 40], [45, 59, 43, 52, 53, 49, 50, 48, 51, 54, 55, 58, 56, 57, 60]]
12: [[35, 7, 2], [33, 1, 21, 3, 4, 10, 5, 11, 6, 14, 12, 25, 13, 15, 9, 19, 18, 8, 29, 16, 28, 17, 22], [23, 20, 24, 26, 27, 30, 31, 34, 32, 46, 37, 36, 39, 40, 45, 38, 41, 47, 42], [43, 44, 52, 51, 49, 48, 50, 57, 54, 53, 55, 56, 59, 58, 60]]
13: [[35, 7, 2], [33, 3, 21, 9, 11, 4, 1, 5, 10, 6, 8, 15, 29, 14, 30, 28, 12, 26, 25, 17, 13, 18, 16, 20], [23, 19, 22, 27, 31, 24, 32, 38, 39, 45, 34, 36, 37, 40, 42, 43, 44, 41], [47, 46, 56, 57, 48, 55, 50, 49, 60, 53, 54, 52, 51, 59, 58]]
14: [[35, 7, 2], [33, 1, 20, 13, 3, 4, 15, 14, 10, 8, 6, 9, 11, 31, 12, 5, 21, 18], [19, 22, 17, 16, 23, 30, 24, 25, 26, 27, 28, 60, 32, 34, 36, 29, 38, 39, 40, 41, 45, 37, 42, 46], [43, 44, 51, 50, 47, 54, 58, 48, 53, 55, 49, 56, 52, 59, 57]]
15: [[35, 7, 2], [33, 1, 21, 9, 6, 12, 5, 3, 4, 8, 11, 14, 10, 15, 13, 19, 29, 18], [16, 20, 17, 23, 22, 28, 31, 25, 26, 24, 27, 30, 32, 34, 38, 36, 37, 39, 40, 44, 47, 41, 42, 45], [43, 46, 51, 48, 49, 55, 52, 50, 53, 56, 54, 57, 58, 59, 60]]
16: [[35, 7, 2], [33, 1, 21, 12, 14, 4, 9, 11, 13, 5, 6, 8, 31, 10, 15, 28, 22, 3, 20, 16, 18, 17, 30, 19], [23, 29, 24, 25, 27, 26, 32, 38, 45, 36, 34, 44, 39, 37, 41, 40, 46, 42], [43, 47, 49, 53, 51, 55, 54, 50, 48, 56, 58, 57, 52, 59, 60]]
17: [[35, 7, 2], [33, 1, 20, 10, 12, 4, 3, 6, 9, 5, 24, 14, 8, 13, 15, 25, 26, 17], [18, 19, 11, 27, 22, 21, 23, 28, 16, 29, 31, 30, 32, 38, 42, 44, 37, 34, 47, 36, 39, 40, 45, 43], [41, 46, 48, 49, 50, 55, 52, 53, 54, 59, 51, 57, 56, 60, 58]]
18: [[35, 7, 2], [33, 1, 20, 15, 11, 6, 3, 5, 12, 8, 10, 9, 29, 4, 25, 24, 31, 22, 17], [13, 14, 19, 21, 23, 18, 26, 27, 16, 30, 28, 36, 34, 38, 32, 37, 39, 40, 44, 42, 43, 47, 41], [45, 46, 49, 48, 55, 54, 50, 52, 53, 60, 51, 56, 58, 59, 57]]
19: [[35, 7, 2], [11, 9, 12, 1, 5, 13, 14, 21, 3, 4, 8, 6, 30, 10, 15, 19, 20, 22], [23, 16, 18, 28, 29, 17, 24, 25, 27, 26, 31, 33, 32, 36, 37, 34, 39, 38, 41, 47, 42, 40, 43, 45], [44, 49, 46, 48, 50, 52, 55, 51, 54, 53, 56, 58, 57, 59, 60]]
20: [[35, 7, 2], [1, 9, 4, 3, 6, 8, 11, 12, 19, 27, 10, 15, 16, 30, 14, 21, 5], [20, 22, 18, 24, 17, 23, 26, 29, 31, 25, 33, 28, 13, 36, 34, 39, 37, 32, 38, 45, 43, 41, 40, 42, 46], [44, 47, 58, 49, 50, 54, 53, 52, 51, 48, 56, 55, 57, 59, 60]]
21: [[35, 7, 2], [33, 5, 21, 11, 1, 12, 13, 9, 14, 10, 3, 16, 31, 4, 6, 26, 8, 22, 17], [30, 23, 19, 15, 18, 24, 25, 20, 27, 28, 29, 34, 38, 36, 37, 32, 40, 47, 45, 46, 39, 42, 41], [44, 43, 49, 52, 53, 51, 54, 48, 55, 56, 58, 50, 59, 57, 60]]
22: [[35, 7, 2, 33, 3, 21, 5, 1, 4, 9, 11, 8, 6, 12, 15, 10, 14, 13, 23, 30, 17, 18, 25, 16], [22, 28, 19], [20, 27, 31, 24, 26, 29, 36, 34, 45, 32, 38, 39, 40, 37, 41, 42, 43, 56], [46, 44, 51, 54, 59, 55, 47, 50, 48, 49, 53, 57, 52, 58, 60]]
23: [[35, 7, 2], [33, 1, 21, 3, 6, 12, 4, 14, 17, 5, 8, 9, 26, 29, 13, 11, 30, 18, 10, 25, 19, 16, 15, 22], [20, 23, 27, 24, 31, 28, 32, 40, 36, 38, 46, 39, 43, 45, 34, 41, 47, 37], [42, 44, 49, 48, 57, 50, 52, 55, 51, 53, 54, 60, 56, 59, 58]]
24: [[35, 7, 2], [33, 3, 4, 8, 9, 1, 14, 6, 5, 15, 10, 27, 29, 13, 18, 28, 30, 12, 17, 16, 20, 22, 24, 21], [23, 19, 25, 31, 26, 11, 32, 34, 37, 36, 38, 45, 41, 44, 43, 40, 46, 42], [47, 59, 48, 60, 51, 39, 50, 53, 54, 49, 56, 52, 58, 55, 57]]
25: [[35, 7, 2], [33, 1, 21, 3, 5, 4, 10, 11, 15, 8, 6, 12, 26, 31, 13, 9, 18, 14, 19], [17, 22, 23, 20, 24, 16, 27, 25, 30, 29, 28, 32, 34, 37, 36, 39, 38, 45, 41, 42, 44, 43, 47], [40, 46, 49, 50, 51, 54, 48, 53, 52, 55, 56, 57, 59, 58, 60]]
26: [[35, 7, 2], [3, 1, 13, 4, 5, 6, 9, 10, 14, 8, 11, 16, 12, 30, 18, 19, 22, 28, 21, 17, 20, 15, 29, 26], [24, 23, 27, 25, 31, 44, 32, 36, 34, 33, 37, 38, 47, 39, 41, 46, 43, 40], [45, 42, 51, 48, 57, 52, 49, 54, 50, 59, 60, 53, 56, 55, 58]]
27: [[35, 7, 2], [33, 9, 1, 15, 3, 4, 11, 13, 12, 5, 6, 8, 26, 25, 30, 10, 17, 14], [21, 20, 22, 16, 19, 18, 23, 29, 27, 31, 28, 24, 36, 38, 34, 37, 32, 39, 47, 42, 41, 44, 40, 43], [45, 50, 46, 52, 49, 51, 55, 48, 53, 54, 58, 59, 57, 56, 60]]
28: [[35, 7, 2], [33, 9, 5, 11, 1, 4, 3, 8, 6, 12, 13, 14, 31, 26, 10, 27, 17, 23, 15], [25, 16, 18, 20, 21, 22, 29, 19, 28, 30, 24, 36, 46, 40, 32, 37, 34, 39, 42, 43, 41, 38, 44], [45, 53, 47, 48, 55, 49, 54, 52, 51, 56, 50, 59, 57, 58, 60]]
29: [[35, 7, 2], [33, 3, 22, 5, 1, 4, 6, 14, 10, 8, 9, 17, 11, 27, 30, 26, 29, 20], [13, 24, 15, 18, 21, 16, 19, 23, 25, 41, 28, 31, 40, 36, 34, 32, 39, 12, 38, 37, 44, 42, 43, 59], [46, 45, 58, 49, 51, 47, 53, 48, 50, 55, 52, 54, 56, 57, 60]]
30: [[35, 7, 2], [33, 1, 23, 4, 5, 11, 3, 12, 6, 8, 9, 14, 17, 31, 13, 10, 24, 20], [15, 16, 30, 21, 18, 19, 27, 22, 28, 25, 29, 26, 36, 34, 39, 32, 44, 38, 40, 37, 41, 42, 45, 43], [46, 60, 51, 54, 53, 50, 52, 48, 55, 49, 47, 57, 56, 58, 59]]
31: [[35, 7, 2], [37, 3, 4, 24, 1, 5, 9, 6, 11, 14, 8, 30, 10, 12, 25, 17, 26, 16], [13, 29, 18, 21, 23, 22, 28, 19, 27, 31, 20, 15, 34, 32, 33, 38, 36, 39, 43, 40, 44, 42, 41, 59], [47, 53, 49, 54, 45, 50, 48, 52, 46, 58, 60, 51, 55, 57, 56]]
32: [[35, 7, 2], [37, 3, 4, 24, 1, 5, 9, 6, 11, 14, 8, 30, 10, 12, 25, 17, 26, 16], [13, 29, 18, 21, 23, 22, 28, 19, 27, 31, 20, 15, 34, 32, 33, 38, 36, 39, 43, 40, 44, 42, 41, 59], [47, 53, 49, 54, 45, 50, 48, 52, 46, 58, 60, 51, 55, 57, 56]]
