0: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18], [41, 60, 25], [20, 30, 46, 33], [26, 31, 32, 44], [40, 54, 37], [34, 36, 47, 43], [38, 42, 45, 49], [35, 51, 57], [48, 61, 53], [52, 55, 59], [62, 56, 58], [63, 64, 65], [69, 67, 70, 66], [76, 68, 73, 71], [74, 77, 75, 72], [78, 83, 84, 80], [79, 82], [81, 87, 85], [86, 88]]
1: [[50, 5, 19], [39, 10, 9, 6], [3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18], [41, 60, 25], [20, 30, 46, 33], [26, 31, 32, 44], [40, 54, 37], [34, 36, 47, 43], [38, 42, 45], [49, 35, 51, 57], [48, 61, 53, 52], [55, 59, 62], [56, 58, 63, 64], [65, 69, 67, 70], [66, 76, 68, 73], [71, 74, 77, 75], [72, 78, 83], [84, 80], [79, 82, 81, 87], [85, 86, 88]]
2: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32, 44], [40, 54, 37, 34], [36, 47, 43, 38], [42, 45, 49], [35, 51, 57], [48, 61], [53, 52, 55, 59], [62, 56, 58, 63], [64, 65, 69, 67], [70, 66, 76, 68], [73, 71, 74, 77], [75, 72, 78, 83], [84, 80, 79, 82], [81], [87, 85, 86, 88]]
3: [[50, 5, 19], [39, 10, 9, 6], [3, 1, 8], [14, 4, 15, 2], [7, 12, 22], [11, 17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32], [44, 40, 54, 37], [34, 36, 47, 43], [38, 42, 45, 49], [35, 51, 57], [48, 61, 53, 52], [55, 59, 62], [56, 58, 63], [64, 65, 69, 67], [70, 66, 76, 68], [73, 71, 74, 77], [75, 72, 78], [83, 84, 80, 79], [82, 81, 87], [85, 86, 88]]
4: [[50, 5, 19], [39, 10, 9], [6, 3, 1], [8, 14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13], [23, 16, 28, 27], [18, 41, 60, 25], [20, 30, 46, 33], [26, 31, 32, 44], [40, 54, 37, 34], [36, 47, 43], [38, 42, 45, 49], [35, 51, 57], [48, 61, 53], [52, 55, 59, 62], [56, 58, 63, 64, 65, 69, 67, 70, 66, 76, 68, 73, 71, 74, 77, 75, 72, 78, 83, 84, 80, 79, 82, 81, 87, 85, 86, 88]]
5: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21, 24], [29, 13, 23, 16], [28, 27, 18], [41, 60, 25, 20], [30, 46, 33, 26], [31, 32, 44], [40, 54, 37, 34], [36, 47, 43], [38, 42, 45], [49, 35, 51], [57, 48, 61], [53, 52, 55], [59, 62, 56], [58, 63], [64, 65, 69, 67], [70, 66, 76, 68], [73, 71, 74, 77], [75, 72, 78], [83, 84], [80, 79, 82, 81], [87, 85, 86, 88]]
6: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32, 44], [40, 54, 37], [34, 36, 47], [43, 38, 42, 45], [49, 35, 51, 57], [48, 61, 53, 52], [55, 59], [62, 56, 58], [63, 64, 65, 69, 67, 70, 66, 76, 68, 73, 71, 74, 77, 75, 72, 78, 83, 84, 80, 79, 82, 81, 87, 85, 86, 88]]
7: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32, 44], [40, 54, 37], [34, 36, 47, 43], [38, 42, 45], [49, 35], [51, 57, 48, 61], [53, 52, 55, 59], [62, 56, 58, 63], [64, 65, 69], [67, 70, 66, 76], [68, 73, 71, 74], [77, 75, 72, 78], [83, 84, 80, 79, 82], [81, 87, 85], [86, 88]]
8: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32, 44], [40, 54, 37], [34, 36, 47, 43], [38, 42, 45], [49, 35], [51, 57, 48, 61], [53, 52, 55, 59], [62, 56, 58, 63], [64, 65, 69], [67, 70, 66, 76], [68, 73, 71, 74], [77, 75, 72, 78], [83, 84, 80, 79, 82], [81, 87, 85], [86, 88]]
9: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18], [41, 60, 25], [20, 30, 46, 33], [26, 31, 32], [44, 40, 54, 37], [34, 36, 47], [43, 38, 42], [45, 49, 35, 51], [57, 48, 61, 53], [52, 55, 59, 62, 56, 58, 63, 64, 65, 69, 67, 70, 66, 76, 68, 73, 71, 74, 77, 75, 72, 78, 83, 84, 80, 79, 82, 81, 87, 85, 86, 88]]
10: [[50, 5, 19], [39, 10, 9], [6, 3, 1], [8, 14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27], [18, 41, 60], [25, 20, 30, 46, 33], [26, 31, 32, 44], [40, 54, 37], [34, 36, 47], [43, 38, 42, 45], [49, 35, 51, 57], [48, 61, 53, 52], [55, 59, 62], [56, 58, 63], [64, 65, 69, 67], [70, 66, 76, 68], [73, 71, 74, 77], [75, 72, 78], [83, 84, 80], [79, 82, 81], [87, 85, 86, 88]]
11: [[50, 5, 19], [39, 10, 9], [6, 3, 1], [8, 14, 4, 15], [2, 7, 12], [22, 11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18, 41], [60, 25, 20], [30, 46, 33, 26], [31, 32, 44], [40, 54, 37], [34, 36, 47, 43], [38, 42, 45, 49], [35, 51, 57], [48, 61, 53], [52, 55, 59, 62], [56, 58, 63], [64, 65, 69], [67, 70, 66, 76], [68, 73, 71, 74], [77, 75, 72, 78], [83, 84, 80], [79, 82], [81, 87, 85], [86, 88]]
12: [[50, 5, 19], [39, 10, 9], [6, 3, 1], [8, 14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18], [41, 60, 25], [20, 30, 46, 33], [26, 31, 32], [44, 40, 54, 37], [34, 36, 47, 43], [38, 42, 45], [49, 35, 51], [57, 48, 61], [53, 52], [55, 59, 62, 56, 58, 63, 64], [65, 69], [67, 70, 66, 76, 68, 73, 71, 74, 77, 75, 72, 78, 83, 84, 80, 79, 82, 81, 87, 85, 86, 88]]
13: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33, 26], [31, 32, 44, 40], [54, 37], [34, 36, 47, 43, 38, 42, 45], [49, 35, 51], [57, 48, 61, 53], [52, 55, 59, 62, 56, 58, 63, 64, 65, 69, 67, 70, 66, 76, 68, 73, 71, 74, 77, 75, 72, 78, 83, 84, 80, 79, 82, 81, 87, 85, 86, 88]]
14: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32], [44, 40, 54], [37, 34, 36], [47, 43, 38], [42, 45], [49, 35, 51, 57], [48, 61, 53, 52], [55, 59, 62, 56], [58, 63, 64, 65], [69, 67, 70, 66], [76, 68, 73, 71], [74], [77, 75, 72, 78, 83, 84, 80], [79, 82, 81, 87, 85, 86, 88]]
15: [[50, 5, 19], [39, 10, 9], [6, 3, 1, 8], [14, 4, 15], [2, 7, 12, 22], [11, 17, 21], [24, 29, 13, 23], [16, 28, 27, 18], [41, 60, 25, 20], [30, 46, 33], [26, 31, 32], [44, 40, 54], [37, 34, 36], [47, 43, 38], [42, 45], [49, 35, 51, 57], [48, 61, 53, 52], [55, 59, 62, 56], [58, 63, 64, 65], [69, 67, 70, 66], [76, 68, 73, 71], [74], [77, 75, 72, 78, 83, 84, 80], [79, 82, 81, 87, 85, 86, 88]]
16: [[50, 5, 19], [39, 10, 9, 6], [3, 1, 8], [14, 4, 15], [2, 7], [12, 22, 11], [17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25], [20, 30, 46], [33, 26, 31], [32, 44, 40], [54, 37, 34], [36, 47], [43, 38, 42, 45], [49, 35, 51, 57], [48, 61, 53], [52, 55, 59], [62, 56, 58, 63], [64, 65], [69, 67, 70, 66], [76, 68, 73], [71, 74, 77], [75, 72, 78], [83, 84, 80], [79, 82, 81], [87, 85, 86], [88]]
17: [[50, 5, 19], [39, 10, 9, 6], [3, 1, 8], [14, 4, 15], [2, 7], [12, 22, 11], [17, 21, 24], [29, 13, 23], [16, 28, 27, 18], [41, 60, 25], [20, 30, 46], [33, 26, 31], [32, 44, 40], [54, 37, 34], [36, 47], [43, 38, 42, 45], [49, 35, 51, 57], [48, 61, 53], [52, 55, 59], [62, 56, 58, 63], [64, 65], [69, 67, 70, 66], [76, 68, 73], [71, 74, 77], [75, 72, 78], [83, 84, 80], [79, 82, 81], [87, 85, 86], [88]]
