0: [[3, 1], [5, 2, 4], [11, 7, 9], [8, 10], [13, 12], [16, 14, 6, 15], [18, 20, 17, 19]]
1: [[3, 1], [5, 2], [12, 14, 4, 15], [8, 11, 13, 9], [7, 10, 16, 6], [17], [19, 18, 20]]
2: [[3, 1], [5, 2], [4, 15, 14, 13], [10, 8, 9, 7], [11, 6, 12, 20, 16, 18, 17, 19]]
3: [[3, 1], [5, 2], [14, 6], [4, 7, 10, 9, 8], [11, 12, 13, 15, 17, 16, 18, 20, 19]]
4: [[3, 1], [5, 2, 7, 6], [14, 8, 10, 9], [13, 11, 12, 15, 4], [17, 16, 18], [20, 19]]
5: [[3, 1], [5, 2], [14, 6], [7, 10, 11, 9], [12, 8, 4], [13, 15], [16, 17, 19, 18, 20]]
6: [[3, 1], [5, 2], [8, 12, 7], [10, 6, 4], [11, 13, 9], [14, 16, 19, 17, 15], [20, 18]]
7: [[3, 1], [5, 2, 6, 7], [4, 10, 11, 9, 14, 8, 13, 12, 16, 15, 17, 18, 20, 19]]
8: [[3, 1], [5, 2], [14, 6], [7, 10, 12, 9, 4, 8], [11, 13, 15, 16, 18, 17, 20, 19]]
9: [[3, 1, 5], [2, 14, 6, 4], [9, 11, 10, 8, 13], [12, 15, 7, 17], [18, 16, 20, 19]]
10: [[3, 1], [5, 2], [14, 15, 7], [8, 12], [11, 4, 9], [10, 13, 16, 6], [18, 17, 19, 20]]
11: [[3, 1], [5, 10, 2], [15, 6, 13, 11, 9, 12, 4], [8, 7, 14, 20], [18, 16, 17, 19]]
12: [[3, 1], [5, 2], [8, 6, 7], [10, 11, 12, 4], [9, 13, 14], [16, 15, 19], [17, 18, 20]]
13: [[3, 1], [5, 10, 4], [7, 14, 8, 6], [12, 2, 9], [20, 11], [13, 16, 15], [18, 19, 17]]
14: [[3, 1], [5, 10, 2, 13], [7], [8, 12, 14, 6, 15, 4], [11, 16, 19, 17, 18, 20, 9]]
15: [[3, 1], [5, 2, 10, 6], [13], [14], [4, 9, 8, 11, 15, 12, 16, 18, 19, 17, 20, 7]]
16: [[3, 1], [5, 2], [7, 8, 4], [10, 11, 9], [12], [13, 14, 6], [20, 18], [17, 16, 19, 15]]
17: [[3, 1], [5, 2], [14, 15, 4], [8, 7], [9, 6], [10, 12, 13, 17], [16, 11, 19, 18, 20]]
18: [[3, 1], [5, 2, 4], [15, 13, 10, 8], [11, 6, 7], [9, 12, 14, 16, 18], [17, 20, 19]]
19: [[3, 1, 5, 2], [4, 14, 7, 15, 11, 8, 10, 6], [9, 12, 13, 16, 17, 18, 20, 19]]
20: [[3, 1, 5, 2], [10, 6, 4, 15, 11, 9, 7, 8, 13], [12, 14, 17, 16, 18, 20, 19]]
21: [[3, 1], [5, 2], [8, 7], [10, 13, 9], [11, 12, 19, 14, 15, 4], [16, 17, 6], [18, 20]]
22: [[3, 1], [5, 2, 7, 6, 15], [14, 8, 12, 4, 9, 10, 11, 13, 17, 18, 19, 16, 20]]
23: [[3, 1], [5, 2, 14, 4], [7], [8, 13, 9, 6], [10, 15, 12, 11], [16, 18, 17, 20], [19]]
24: [[3, 1, 5, 2], [4, 15], [7, 8], [10, 9], [12, 14], [11, 13, 16, 6], [18, 17, 19, 20]]
25: [[3, 1], [5, 10], [12, 7], [4, 11, 13], [6, 9, 8, 15, 14, 2, 17, 18, 16, 19, 20]]
26: [[3, 1, 5, 2], [6, 15, 7, 13, 14, 8, 9, 11], [10, 4, 12, 20, 18, 19, 17, 16]]
27: [[3, 1], [5, 10, 6], [14, 4], [15, 2], [12, 9, 7, 8, 13, 11, 16, 18, 17, 19, 20]]
28: [[3, 1], [5, 2], [14, 7], [6], [10, 11, 8, 13, 4, 12, 15, 16, 9, 18, 17, 19, 20]]
29: [[3, 1, 5, 10], [4, 7, 13, 2], [9, 11, 8, 6, 12, 14, 17, 15, 16, 19, 18, 20]]
30: [[3, 1], [5, 2, 6, 9], [13, 8, 15, 4], [10, 7, 14, 11, 17, 12, 19, 18, 16, 20]]
31: [[3, 1], [5, 10, 2], [15, 6, 8], [11, 9], [12, 4], [13, 7], [20, 14], [18, 16, 17, 19]]
32: [[3, 1, 5], [10, 12, 9], [11, 2, 7, 4], [13, 8], [18, 17], [19, 20, 14, 16, 6, 15]]
33: [[3, 1, 5], [2, 8, 10], [6, 15, 4, 9, 12], [20, 11, 13, 7, 16], [14, 18, 17, 19]]
34: [[3, 1, 5], [2, 8, 6], [12, 4, 9], [7, 11], [14, 10], [13, 16, 15], [19, 18, 17, 20]]
35: [[3, 1], [5, 2], [6, 7, 4], [9, 8, 12], [10, 14, 13], [11, 15, 16, 18, 17, 19], [20]]
36: [[3, 1], [5, 2], [4, 15], [14, 13, 10, 8], [9, 6, 7, 11, 12, 20, 16, 19, 17], [18]]
37: [[3, 1], [5, 2], [14, 15, 7, 8], [12, 11, 4, 9], [10, 13, 16, 6, 18, 17, 19, 20]]
38: [[3, 1], [5, 10, 4], [15, 2, 11, 12], [8, 9, 7, 14], [6, 13, 16, 20, 19, 17, 18]]
39: [[3, 1], [5, 2], [8, 14, 12, 11, 4], [9, 6], [7, 15, 10, 13], [20], [18, 16, 17, 19]]
40: [[3, 1], [5, 2], [11, 12, 6, 10], [7, 13, 20, 4], [8, 9, 14, 17], [16, 19], [18, 15]]
41: [[3, 1], [5, 2], [4, 8, 12], [10, 14], [9, 16, 18], [15, 7, 6, 11], [13, 17, 19, 20]]
