It No., Best MQ, No clusters, max clus, min clus
1,2.008292670818026,7,9,2
2,1.902383252807854,7,7,2
3,2.0460883681535855,8,7,2
4,1.9784583232859094,6,7,3
5,1.8731211719963965,7,6,2
6,2.010690395415253,7,7,2
7,1.9698255104069056,8,6,1
8,2.0371974558144768,8,4,2
9,2.0488483619619666,8,6,2
10,1.9630344612761492,7,8,2
11,1.9530921530405534,7,7,1
12,2.0821984840912875,7,7,2
13,2.0353432749538527,8,5,2
14,1.936673792323947,7,11,1
15,2.0174970580663323,10,4,1
16,1.8756398160635914,6,7,2
17,1.9194438495038197,7,6,2
18,1.969498910675381,6,6,2
19,2.0651876982034176,8,5,2
20,2.058122550171114,8,5,1
21,1.7957836257309938,5,13,2
22,2.1044301965760592,7,5,2
23,1.952641486667411,6,7,2
24,2.1334629433250853,8,9,2
25,1.9176361278675027,7,6,2
26,1.9682601880877741,6,9,2
27,2.004990807177976,7,7,2
28,2.033368900270309,6,8,2
29,1.9058115797866677,7,6,2
30,2.0055555555555555,6,7,2
31,1.9773606568766047,7,4,2
