0: [[5, 29, 25], [28, 24], [13], [6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
1: [[5, 29, 25], [28, 24], [13], [6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
2: [[5, 29, 25], [28, 24], [13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
3: [[5, 29, 25], [28, 24], [13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
4: [[5, 29, 25], [28, 24], [13, 6], [10, 9], [1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
5: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
6: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
7: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
8: [[5, 29, 25], [28, 24], [13, 6], [10, 9, 1], [23, 7], [19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
9: [[5, 29, 25], [28, 24], [13, 6], [10], [9, 1], [23, 7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
10: [[5, 29, 25], [28, 24], [13, 6, 10], [9], [1, 23], [7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
11: [[5, 29, 25], [28, 24], [13, 6, 10], [9], [1, 23], [7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
12: [[5, 29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7], [19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
13: [[5, 29, 25], [28, 24], [13, 6], [10, 9], [1], [23, 7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
14: [[5, 29, 25], [28, 24], [13, 6], [10, 9], [1], [23, 7, 19], [2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
15: [[5], [29, 25], [28, 24], [13, 6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
16: [[5], [29, 25], [28, 24], [13, 6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
17: [[5, 29], [25, 28, 24], [13], [6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
18: [[5, 29], [25, 28, 24], [13, 6, 10], [9, 1], [23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
19: [[5, 29], [25, 28, 24], [13, 6, 10], [9, 1], [23, 7], [19, 2], [18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
20: [[5], [29, 25], [28, 24, 13], [6, 10], [9, 1], [23, 7], [19, 2, 18], [26, 27, 21], [3, 15, 4, 11, 8], [20, 12, 22], [16, 17, 14]]
