0: [[2, 9, 1], [7, 11], [6, 8, 15, 5, 13], [10, 12, 14, 16, 17, 18, 19, 20, 22, 3, 4], [21, 23, 24]]
1: [[2, 1], [9, 7, 11], [6, 8, 13, 15], [10, 12, 14, 16, 3], [17, 18, 5], [19, 20, 22, 4], [21, 23, 24]]
2: [[2], [1, 9], [7, 11], [6, 8, 13, 15, 5], [10, 12, 14], [16, 17, 3], [18, 19, 20, 22, 4], [21, 23, 24]]
3: [[2], [1, 9], [7, 11, 6], [8, 13, 15], [10, 12, 14, 16, 3], [17, 18, 19, 5], [20, 22, 4], [21, 23, 24]]
4: [[2, 1, 9, 4], [7, 11], [6, 8, 13, 15, 5], [10, 12, 14, 16, 3], [17, 18, 19, 20], [22, 21, 23, 24]]
5: [[2, 1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 4], [12, 14, 16, 3], [17, 18, 19], [20, 22], [21, 23, 24]]
6: [[2, 1], [9, 7, 11], [6, 8, 13, 5], [15, 10, 3, 4], [12, 14, 16, 17, 18, 19, 20, 22], [21, 23, 24]]
7: [[2, 1], [9, 7, 11], [6, 8, 5], [13, 15, 10, 12], [14, 16, 17, 18, 3], [19, 20, 22, 4], [21, 23, 24]]
8: [[5], [2, 1], [9, 7, 11], [6, 8, 13, 15], [10, 12, 14, 16, 17, 3], [18, 19], [20, 22, 4], [21, 23, 24]]
9: [[2, 1], [9, 7, 11], [6, 8, 13, 15, 10], [12, 14, 5], [16, 17, 3], [18, 19, 20, 22, 4], [21, 23, 24]]
10: [[2], [1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 4], [12, 14, 16, 3], [17, 18, 19], [20, 22], [21, 23, 24]]
11: [[2, 1], [9, 7, 11], [6, 8, 13, 5], [15, 10, 12], [14, 16, 17, 3], [18], [19, 20, 22, 4], [21, 23, 24]]
12: [[2, 1], [9, 7, 11, 6], [8, 13, 5], [15, 10, 3], [12, 14, 16], [17, 18, 19], [20, 22, 4], [21, 23, 24]]
13: [[2, 1], [9, 7], [11, 6], [8, 13, 15], [10, 12, 14, 16, 3], [17, 18, 19, 5], [20, 22, 4], [21, 23, 24]]
14: [[2, 1], [9, 7], [11, 6, 8, 5], [13, 15], [10, 12, 14], [16, 17, 18, 3], [19, 20, 22, 4], [21, 23, 24]]
15: [[2, 1], [9, 7, 11], [6, 8, 13, 5], [15, 10], [12, 14, 16, 3], [17, 18], [19, 20, 22, 4], [21, 23, 24]]
16: [[2, 1], [9, 7, 11], [6, 8, 5], [13, 15, 10], [12, 14, 16, 3], [17, 18], [19, 20, 22, 4], [21, 23, 24]]
17: [[2, 1, 9, 4], [7, 11], [6, 8, 13, 5], [15, 10, 12], [14, 16, 17, 3], [18, 19, 20], [22, 21, 23, 24]]
18: [[2, 1, 9, 4], [7, 11], [6, 8, 13, 5], [15, 10, 12], [14, 16, 17, 3], [18, 19, 20], [22, 21, 23, 24]]
19: [[2, 1, 9, 4], [7, 11], [6, 8, 13, 15, 5], [10, 12, 14, 16, 3], [17, 18, 19], [20, 22, 21, 23, 24]]
20: [[2, 1], [9, 7], [11, 6, 8, 13, 5], [15, 10, 12, 3], [14, 16, 4], [17, 18, 19], [20, 22], [21, 23, 24]]
21: [[2, 1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 12, 14, 4], [16, 17, 18, 19, 3], [20, 22], [21, 23], [24]]
22: [[2], [1, 9], [7, 11], [6, 8, 13, 5], [15, 10], [12, 14], [16, 17, 18, 3], [19, 20, 22, 21, 4], [23, 24]]
23: [[2, 1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 12, 3, 4], [14, 16, 17, 18, 19], [20, 22, 21, 23, 24]]
24: [[2, 1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 12, 3, 4], [14, 16, 17, 18, 19], [20, 22, 21, 23, 24]]
25: [[2, 1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 12, 4], [14, 16, 17, 3], [18, 19, 20], [22, 21], [23, 24]]
26: [[2, 1, 9], [7, 11], [6, 8, 13, 5], [15, 10, 12, 3], [14, 16, 4], [17, 18, 19], [20, 22, 21, 23, 24]]
27: [[2, 1, 9], [7, 11, 6], [8, 13, 5], [15, 10, 3], [12, 14, 16], [17, 18], [19, 20, 22, 21, 4], [23, 24]]
28: [[2, 1], [9, 7, 11], [6, 8, 13, 5], [15, 10, 3, 4], [12, 14], [16, 17, 18, 19], [20, 22, 21], [23, 24]]
29: [[2], [1, 9, 7], [11, 6, 8, 5], [13, 15, 10, 4], [12, 14, 16, 3], [17, 18, 19], [20, 22], [21, 23, 24]]
30: [[2, 1, 9, 4], [7, 11], [6, 8, 13, 5], [15, 10, 12, 14], [16, 17, 18, 3], [19, 20], [22, 21, 23], [24]]
31: [[2, 1], [9, 7, 11], [6, 8, 13, 5], [15, 10, 12, 4], [14, 16, 17, 3], [18, 19, 20], [22, 21], [23, 24]]
32: [[5, 4], [2, 1, 9], [7, 11], [6, 8, 13, 15, 10, 12, 14, 16, 17, 3], [18, 19, 20, 22, 21, 23, 24]]
33: [[2, 1], [9, 7, 11], [6, 8, 5], [13, 15, 10, 4], [12, 14, 16, 3], [17, 18], [19, 20], [22, 21], [23, 24]]
34: [[2, 1], [9, 7], [11, 6], [8, 13, 15], [10, 12, 5], [14, 16, 17, 3], [18, 19, 20], [22, 21, 4], [23, 24]]
35: [[2, 1], [9, 7, 11], [6, 8, 5], [13, 15, 10, 12], [14, 16, 4], [17, 18, 3], [19, 20, 22, 21, 23, 24]]
36: [[2, 1, 3], [9, 7, 11], [6, 8, 13, 5], [15, 10, 12, 14, 4], [16, 17, 18, 19, 20, 22, 21, 23, 24]]
37: [[2, 1, 9], [7, 11, 6, 8, 5], [13, 15, 10, 4], [12, 14, 16, 3], [17, 18, 19, 20, 22, 21, 23, 24]]
38: [[2, 1], [9, 7, 11], [6, 8, 5, 3], [13, 15], [10, 12, 14, 4], [16, 17, 18, 19, 20, 22, 21, 23, 24]]
39: [[2, 3], [1, 9, 7, 11], [6, 8, 13, 15, 5], [10, 12, 14, 4], [16, 17, 18, 19, 20, 22, 21, 23, 24]]
40: [[4, 2, 1, 3], [9, 7, 11, 6], [8, 13, 5], [15, 10, 12, 14, 16, 17, 18, 19, 20, 22, 21, 23, 24]]
41: [[5], [2, 1, 9], [7, 11, 6, 8], [13, 15, 4], [10, 12, 14, 16, 17, 18, 19, 20, 22, 21, 23, 24, 3]]
42: [[5, 3, 4], [2, 1, 9], [7, 11, 6, 8, 13, 15, 10, 12, 14, 16, 17, 18, 19, 20, 22, 21, 23, 24]]
43: [[5, 3, 4], [2, 1], [9, 7, 11, 6, 8, 13, 15, 10, 12], [14, 16, 17, 18, 19, 20, 22, 21, 23, 24]]
44: [[2], [1, 9, 7], [11, 6, 8, 5], [13, 15, 10], [12, 14, 4], [16, 17, 18, 3], [19, 20, 22, 21, 23, 24]]
45: [[5, 2], [9, 7, 1], [11, 6, 8], [13, 15, 4], [10, 12, 14, 16, 17, 18, 3], [19, 20, 22, 21, 23, 24]]
46: [[2], [1, 9, 7], [11, 6, 8, 13, 5], [15, 10, 12, 4], [14, 16, 17, 3], [18, 19, 20], [22, 21, 23], [24]]
47: [[2, 1, 9, 7], [11, 6, 8, 5], [13, 15, 10, 3, 4], [12, 14], [16, 17, 18, 19, 20, 22, 21, 23, 24]]
48: [[5], [2, 1, 9, 7], [11, 6, 8, 3], [13, 15, 10, 12, 14, 16, 17, 18, 19, 20, 22, 21, 23, 24, 4]]
49: [[5, 3], [4, 2], [1, 9, 7, 11, 6, 8, 13, 15, 10, 12, 14, 16, 17, 18, 19, 20, 22, 21, 23, 24]]
