0: [[5, 1, 3], [12, 13, 7, 2], [10, 4], [8, 9, 11, 6]]
1: [[5, 1, 3], [12, 13, 7, 2], [10, 4], [8, 11, 9, 6]]
2: [[5, 1, 3], [12, 13, 7, 2], [10, 4], [11, 9, 8, 6]]
3: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 6, 9, 11]]
4: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 11, 9, 6]]
5: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 9, 6, 11]]
6: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [6, 8, 9, 11]]
7: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 11, 9, 6]]
8: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 6, 9, 11]]
9: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 6, 9, 11]]
10: [[5, 1, 3], [12, 13, 7], [10, 4, 2], [8, 6, 9, 11]]
11: [[5, 1, 3], [12, 13, 7], [10, 4, 8, 2], [6, 9, 11]]
12: [[5, 1, 3], [12, 13, 7], [8, 4, 10, 2], [6, 9, 11]]
13: [[5, 1, 3], [12, 13, 7], [10, 4, 8, 2], [11, 9, 6]]
14: [[5, 1, 3], [12, 13, 7], [10, 4, 8, 2], [6, 9, 11]]
15: [[5, 1, 3], [12, 13, 2, 7], [10, 8, 4], [11, 9, 6]]
16: [[5, 1, 3], [12, 13, 2, 7], [10, 8, 4], [6, 9, 11]]
17: [[5, 1, 3], [12, 13, 2, 7], [10, 8, 4], [11, 9, 6]]
18: [[5, 1, 3], [12, 13, 7], [2, 10], [4, 8, 6, 9, 11]]
19: [[5, 1, 3], [12, 13, 7], [2, 10, 4, 8, 6, 9, 11]]
20: [[5, 1, 3], [12, 13, 7, 2], [10, 4, 8, 6, 9, 11]]
21: [[5, 1, 3], [12, 13, 7, 2], [10, 4, 8, 6, 9, 11]]
22: [[5, 1, 3], [12, 13, 7], [10, 6, 2], [4, 8, 9, 11]]
23: [[5, 1, 3], [12, 13, 2, 7], [10, 4], [8, 6, 9], [11]]
24: [[5, 1, 3], [12, 13, 7], [10], [6, 2, 4], [8, 9, 11]]
25: [[5, 1, 3], [12, 13, 7, 10, 8, 4], [2, 11, 9, 6]]
26: [[5, 1, 3], [12, 13, 7], [6, 2, 4], [8], [10, 11, 9]]
27: [[5, 1, 3, 12], [13, 2], [6, 8, 4], [11, 9, 10, 7]]
