0: [[6, 2, 1], [3, 4, 8, 13, 12], [9, 24, 11, 7], [25, 5], [14, 15, 16, 18, 10, 17], [19, 28, 20, 23, 22], [21, 26, 27, 29]]
1: [[6, 2, 1, 3, 4], [8, 13], [15, 7, 23, 9, 5], [14, 10, 24, 18, 17, 11, 12], [19, 22, 28, 16, 25, 20], [21, 26, 27, 29]]
2: [[6, 2, 1], [3, 4, 8, 13, 12], [5, 25, 29, 11], [10, 7], [24, 15, 16, 18, 21, 17], [19, 22, 20, 9, 14], [23, 26, 27, 28]]
3: [[6, 2, 1, 3, 4, 12], [8, 13, 15, 11, 25], [5, 7, 9], [17, 14], [19, 24], [23, 16, 20, 18, 29, 10, 22], [21, 26, 27, 28]]
4: [[6, 2], [1, 3, 4], [8, 13, 15, 5, 16, 11], [7, 10, 14, 9, 22], [28, 18, 25, 17, 23], [12, 20, 19, 29], [21, 26, 27, 24]]
5: [[6, 2, 1], [3, 4, 8, 13, 5, 15], [24, 9], [7, 14, 12, 10], [23, 16, 22, 11, 17], [20, 19, 18, 21, 25], [29, 26, 27, 28]]
6: [[6, 2, 1, 3], [4, 8], [13, 5, 11, 17, 7, 9], [10, 12, 15, 14, 16], [19, 18, 21], [23, 28, 20, 22, 25], [26, 27, 24, 29]]
7: [[6, 2, 1], [3, 4], [8, 9, 5, 15, 24, 13], [10, 7, 11, 14], [12, 21, 18, 16, 17], [23, 25, 22, 20, 19], [26, 27, 28, 29]]
8: [[6, 2, 1], [3, 4, 8, 13, 15, 9, 25], [5, 7, 11, 10], [12, 14, 18], [16, 17], [23, 19, 21, 20, 22], [29, 24, 26, 27, 28]]
9: [[6, 2, 1, 3], [4, 8, 13, 15, 5], [27, 21], [7, 10, 9], [26, 11, 18, 16, 12, 17], [19, 14, 28, 20, 22], [23, 24, 25, 29]]
10: [[6, 2, 1], [3, 4, 8, 13, 15], [5, 19, 9, 7], [11, 12], [24, 14, 16, 18, 20, 21], [23, 22, 28, 10, 25], [27, 17, 26, 29]]
11: [[6, 2, 1], [3, 4, 8, 9], [13, 15, 25, 5, 10], [14, 11], [12, 7, 16, 18, 24, 21], [23, 17, 20, 22, 29], [19, 26, 27, 28]]
12: [[6, 2, 1], [3, 4], [8, 13, 7, 5], [24, 9, 15, 10, 14], [12, 22, 18, 11, 17, 16], [21, 19, 28, 20, 23], [25, 26, 27, 29]]
13: [[6, 2, 1], [3, 4, 8, 13, 7], [15, 18, 5, 9], [29, 14], [10, 11, 20, 19, 16, 12], [23, 28, 17, 21, 22], [25, 27, 26, 24]]
14: [[6, 2, 1, 3, 4], [8, 13, 5], [11, 12, 7, 15], [24, 14], [9, 21, 28, 18, 16, 19], [23, 20, 10, 17, 22], [25, 26, 27, 29]]
15: [[6, 2, 1], [3, 4], [8, 9, 13, 14], [25, 7, 5, 11, 12], [15, 19, 16, 17, 21], [23, 24, 20, 29, 10, 22], [18, 28, 26, 27]]
16: [[6, 2], [1, 3], [4], [8, 13, 5, 20, 24, 12], [7, 9, 10, 11, 14, 21, 19], [25, 15, 23, 16, 17, 18, 22], [26, 28, 27, 29]]
17: [[6, 2, 1, 3, 4, 8], [13, 5], [9, 25, 7, 10], [11, 12, 15, 14, 21], [19, 18, 17], [22, 28, 16, 20, 23], [26, 27, 24, 29]]
18: [[6, 2, 1], [3, 4, 8, 13], [14, 9, 25, 5, 15], [7, 10], [11, 12, 16, 19, 17, 21], [18, 26, 20, 22, 29], [27, 23, 24, 28]]
19: [[6, 2, 1, 3], [4, 8, 13], [15, 9, 16, 5, 7], [11, 14], [19, 12, 20, 18, 17, 21], [23, 10, 22, 25, 29], [28, 27, 24, 26]]
20: [[6, 2, 1, 3, 4, 8], [13, 15, 9, 25], [5, 7, 11, 10, 12], [14, 16, 19], [17, 21, 22, 20, 18], [23, 29], [27, 24, 28, 26]]
21: [[6, 2, 1], [3, 4, 8, 13, 15, 11], [5, 7, 9, 21], [12, 10], [23, 20, 18, 16, 14], [17, 28, 19, 22, 24], [25, 27, 29, 26]]
22: [[6, 2, 1, 3], [4, 8], [13, 12, 10, 9, 5, 7], [15, 11, 16], [19, 17, 14, 20, 22], [18, 21, 28, 23, 25], [27, 26, 24, 29]]
23: [[6, 2], [1, 3, 4, 8], [13, 14, 5, 24, 9], [11, 15, 7], [10, 12, 16, 18, 17, 20], [19, 28, 21, 22, 27], [29, 26, 25, 23]]
24: [[6, 2, 1, 3, 4, 8], [9, 14, 13], [25, 5, 11, 12, 15], [10, 7, 16, 18], [17, 21], [23, 19, 28, 20, 22], [24, 27, 26, 29]]
25: [[6, 2, 1, 3, 4, 8, 12], [13, 7, 9], [24, 5, 15, 10], [19, 16, 23, 11, 21, 22, 14], [18, 17], [20, 27], [29, 26, 28, 25]]
26: [[6, 2, 1, 3, 4, 8], [13, 12], [5, 10, 17, 7, 9], [15, 14, 11, 16], [18, 19, 22, 21], [20, 29, 23, 27], [25, 26, 24, 28]]
27: [[6, 2, 1], [3, 4, 8, 9, 13], [5, 18, 29, 11], [7, 10], [12, 15, 16, 17, 27, 21], [23, 22, 20, 14, 28], [19, 24, 26, 25]]
28: [[6, 2, 1, 3, 4], [8, 13, 5, 10], [18, 9], [11, 28, 12], [14, 23, 19, 7, 16, 15], [17, 22, 21, 20, 24], [29, 26, 27, 25]]
