0: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 9, 24, 17, 18, 10], [11, 13, 25, 21, 6], [16, 29, 20, 19], [22, 26, 23, 27, 30, 28, 31], [36, 37, 33, 32, 39, 54, 34, 40], [38, 43, 41, 45, 44, 46, 47, 53], [49, 57, 50, 52], [48, 55, 51, 58, 59, 56, 60]]
1: [[42, 35, 3, 2, 5, 1, 8], [7, 12, 4, 15, 14, 24, 17, 10], [9, 11, 29, 25, 13, 21, 6], [16, 20, 19], [23, 22, 26, 31, 30, 28], [27, 36, 47, 33, 32, 39, 54, 34], [37, 38, 43, 41, 45, 40, 60, 44, 18], [53, 57, 49, 56], [52, 48, 55, 51, 50, 59, 46, 58]]
2: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 9, 24, 10], [6, 13, 11, 17, 21, 18, 16, 22], [31, 27, 20, 23, 26, 19, 28, 25, 30], [29, 40, 34, 39, 36], [43, 38, 32, 41, 37], [46, 45, 33, 47, 59, 58, 44], [48, 51], [52, 54, 57, 49, 50, 53, 55, 60, 56]]
3: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15], [14, 9, 18, 6, 11, 10], [13, 21, 17, 20, 16, 22, 31, 23], [19, 24, 26, 25, 27, 30, 28], [29, 37, 33, 36, 32, 38, 55, 34, 40], [41, 43, 45, 39, 44, 46, 47, 51], [49, 50, 57, 48], [52, 53, 54, 56, 59, 58, 60]]
4: [[42, 35, 3, 2, 5, 1, 8, 7, 12], [4, 15, 14, 9, 24, 10], [18, 6, 19, 21, 17, 11, 13, 16], [29, 20, 25, 22, 26, 23, 27, 30], [28, 31, 36, 32], [33, 40, 39, 54, 34], [44, 38, 43, 41, 37, 56, 47, 46], [55, 49, 57, 50], [52, 51, 48, 45, 53, 59, 58, 60]]
5: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 24, 25, 9, 10, 6], [13, 22, 11, 16, 21, 17, 31, 18, 26, 19], [27, 20, 23, 28, 30, 29, 36, 32], [55, 33, 34, 37, 39, 40], [43, 45, 44, 38, 41, 46, 58, 47, 50], [49, 57, 48, 52, 60, 51, 53, 54, 56, 59]]
6: [[42, 35, 3, 2], [5, 1, 8, 7, 12, 4, 15], [14, 9, 24, 6, 18, 10, 11], [21, 17, 20, 13, 16, 31, 22], [19, 23, 26, 25, 27, 30, 28, 29], [36, 37, 33, 32, 38], [55, 34, 40, 39], [43, 41, 45, 44, 46, 47, 53], [49, 58, 57, 48], [50, 51, 54, 56, 59, 52, 60]]
7: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14], [9, 26, 6, 11, 10, 13, 25, 21], [19, 17, 16, 27, 20, 23, 31, 18, 22, 24, 30, 28, 29, 36, 33], [32, 40, 38, 34, 41, 44, 47, 45, 39, 37, 43, 46, 60, 51, 48, 50], [54, 52, 55, 49, 58, 56, 59, 57, 53]]
8: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 24, 11, 16, 26, 6], [19, 21, 9, 10, 18, 13, 29, 20], [17, 23, 27, 22, 25, 30, 28, 31, 36], [37, 33, 32, 38, 52], [39, 40, 46, 47, 34, 44, 41, 45], [43, 53, 49, 57, 50], [54, 48, 55, 51, 58, 56, 59, 60]]
9: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 9, 17, 18, 10], [26, 19, 13, 16, 22, 11, 20, 25, 23, 30, 24, 27, 28, 29, 31, 36, 32, 33, 48, 39, 54, 34, 40, 37, 47, 41, 21, 6], [45, 44, 46, 38, 53, 43, 49, 50, 52, 51, 55, 56, 58, 57, 59, 60]]
10: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 10, 18, 11, 6], [9, 13, 21, 16, 26, 25, 17], [19, 20, 31, 22, 24, 23, 28, 27], [30, 29, 36, 33, 32, 45, 34, 60, 38, 40, 43, 44, 39, 41, 52, 47, 37, 50, 46, 53, 57], [51, 48, 49, 54, 58, 56, 59, 55]]
11: [[42, 35, 3, 2, 5, 1, 8, 7], [12, 4, 15, 14, 9, 18, 10], [6, 13, 11, 21, 20], [22, 16, 19, 31], [17, 23, 26, 24, 28, 30, 25, 27], [29, 36], [34, 32], [33, 38, 47, 37, 39, 41, 46, 45, 40], [44, 43, 56, 51, 52, 50, 53], [54, 55, 48, 49, 58, 57, 59, 60]]
