0: [[9, 16, 3, 6, 13, 2, 5, 4, 1], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
1: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
2: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
3: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
4: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
5: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
6: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
7: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
8: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
9: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
10: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
11: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
12: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
13: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
14: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
15: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
16: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
17: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
18: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
19: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
20: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
21: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
22: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
23: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
24: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
25: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
26: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
27: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
28: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
29: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
30: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
31: [[9, 16, 1, 3, 6, 13, 2, 5, 4, 7], [11, 10], [14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
32: [[9, 16, 1, 3, 6, 13, 2, 5, 4, 7], [11, 10], [14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
33: [[9, 16, 1, 3, 6, 13, 2, 5, 4, 7], [11, 10], [14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
34: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
35: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
36: [[9, 16, 1, 3, 6, 13, 2, 5, 4], [7, 11], [10, 12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
37: [[9, 16, 1, 3, 6, 13, 2, 5], [4, 7], [11, 10, 14, 8, 15, 18, 19, 22, 20, 12, 17], [21, 23, 24]]
38: [[9, 16, 3, 6, 13, 2, 5, 4, 1], [7, 11], [12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
39: [[9, 16, 3, 6, 13, 2, 5, 4, 1], [7, 11], [12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
40: [[9, 16, 3, 6, 13, 2, 5, 4, 1], [7, 11], [12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
41: [[9, 16, 1, 3, 6, 13, 2, 5, 4, 7], [11, 10], [12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
42: [[9, 16, 1, 3, 6, 13, 2, 5, 4, 7], [11, 10], [12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
43: [[9, 16, 1, 3, 6, 13, 2, 5, 4, 7], [11, 10], [12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
44: [[9, 16, 1, 3, 6, 13, 2, 5], [4, 7], [11, 10, 12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
45: [[9, 16, 1, 3, 6, 13, 2, 5], [4, 7], [11, 10, 12, 14, 8, 15, 17, 18, 19, 22, 20, 21], [23, 24]]
46: [[9, 16, 3, 6, 13, 2, 5, 1], [4, 7], [11, 12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
47: [[9, 16, 3, 6, 13, 2, 5, 1], [4, 7], [11, 12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
48: [[9, 16, 3, 6, 13, 2, 5, 1], [4, 7], [11, 12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
49: [[9, 16, 3, 6, 13, 2, 5, 1], [4, 7], [11, 12, 14, 8, 15, 17, 18, 19, 22, 10], [20, 21, 23, 24]]
