0: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
1: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
2: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
3: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
4: [[9, 2, 1], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
5: [[9, 2, 1, 19], [6, 5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 17, 22, 18, 20, 13], [21, 23, 24]]
6: [[9, 2, 6, 1], [5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
7: [[9, 2, 6, 1], [5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
8: [[9, 2, 6, 1], [5, 3, 4, 16], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
9: [[9, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
10: [[9, 2, 1], [6, 5, 3, 4], [16, 11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
11: [[9, 2, 6, 5, 3, 4, 16, 1], [11, 14, 7, 10], [15, 8], [12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
12: [[9, 19, 2, 1], [5, 3, 4, 6], [16, 11, 14, 7], [10, 15, 8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
13: [[9, 19, 2, 1], [5, 3, 4, 6], [16, 11, 14, 7], [10, 15, 8, 12, 13, 17, 22, 18, 20], [21, 23, 24]]
14: [[9, 2], [6, 5, 3, 4, 16, 1], [11, 14, 7, 10], [15, 8, 12, 13, 17, 22, 18, 20, 19], [21, 23, 24]]
