0: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8, 12], [15, 13], [11, 10, 14], [16, 17, 22], [23, 28, 29], [20, 25], [27, 21, 26]]
1: [[6, 5], [19, 2, 1], [9, 18], [24, 7], [3, 4, 8], [13, 12], [15, 11, 10], [16, 17, 14], [23, 20, 22], [29, 28, 25], [27, 21, 26]]
2: [[6, 5], [19, 2], [1, 9, 18], [24, 7, 3], [4, 12, 8], [11, 10, 13], [14, 15, 17], [16, 22, 23], [20, 28, 29, 25], [27, 21, 26]]
3: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 12], [8, 11, 10], [15, 13], [14, 16, 17], [23, 20, 22], [29, 28, 25], [27, 21, 26]]
4: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 8, 12], [15], [11, 10, 13], [14, 17, 16], [23, 20, 22], [29, 28, 25], [27, 21, 26]]
5: [[6, 5], [19, 2], [1, 9, 18], [24, 7], [3, 4, 8], [12, 14, 10], [13, 11], [15, 17, 16], [23, 22, 20], [29, 28, 25], [27, 21, 26]]
6: [[6, 5], [19, 2, 1], [9, 18], [24, 7, 3], [4, 8, 12], [15, 13, 11, 10], [14, 16, 17], [22, 23, 28], [29, 20], [25, 27, 21, 26]]
7: [[6, 5], [19, 2], [1, 9, 18], [24], [7, 3, 4, 12], [8, 11, 13], [10, 15], [14, 17, 16], [23, 20, 22], [29, 28, 25], [27, 21, 26]]
8: [[6, 5], [19], [2, 1, 9], [18, 24, 7], [3, 4, 8], [13, 11], [14, 10, 12], [15, 17, 16], [22, 20, 23], [28, 29, 25], [27, 21, 26]]
9: [[6, 5], [19, 2, 1], [9, 18], [24, 7, 3], [4, 8, 12], [14, 10], [11, 15, 13], [16, 17, 23, 22, 20, 28, 29], [25, 27, 21, 26]]
10: [[6, 5], [19, 2, 1], [9, 18, 24, 7], [3, 4, 8, 12], [14, 13, 11], [10, 15, 16], [17, 22, 20], [28, 29, 23], [25, 27, 21], [26]]
11: [[6, 5], [19, 2, 1], [9, 18], [24, 7], [3, 4, 8], [11, 15], [10, 12, 14], [13, 16], [22, 23, 17], [28, 29, 20], [25, 27, 21, 26]]
12: [[6, 5], [19, 2, 1], [9, 18, 24], [7, 3, 4], [14, 13, 11], [10, 12, 8], [15, 17, 16], [23, 21, 28], [20, 22, 25], [27, 29, 26]]
