0: [[1, 2, 13], [6, 4, 3, 5], [7, 11], [9, 8], [10, 14], [12, 15, 18, 17, 16, 20, 19, 22], [21, 23, 24]]
1: [[1, 2], [13, 6], [4, 3], [5, 7, 11], [9, 8], [10, 14], [12, 15], [18, 17, 16], [20, 19, 22], [21, 23, 24]]
2: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9, 8], [10, 14], [12, 15, 18], [17, 16, 20], [19, 22], [21, 23, 24]]
3: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9, 8], [10, 14, 12], [15, 18], [17, 16, 20], [19, 22], [21, 23, 24]]
4: [[1, 2, 13], [6, 4], [3, 5], [7, 11], [9, 8, 10], [14, 12], [15, 18], [17, 16, 20, 19], [22, 21, 23, 24]]
5: [[1, 2, 13], [6, 4, 3, 5], [7, 11, 9, 8], [10, 14], [12, 15], [18, 17, 16], [20, 19], [22, 21], [23, 24]]
6: [[1, 2], [13, 6], [4, 3], [5, 7, 11], [9, 8], [10, 14, 12, 15], [18, 17, 16], [20, 19], [22, 21, 23, 24]]
7: [[1, 2, 13], [6, 4, 3, 5, 7, 11, 9, 8, 10, 14, 12, 15, 18, 17, 16, 20, 19, 22, 21], [23, 24]]
8: [[1, 2], [13, 6], [4, 3, 5], [7, 11], [9, 8], [10, 14, 12], [15, 18, 17], [16, 20], [19, 22, 21], [23, 24]]
9: [[1, 2, 13], [6, 4, 3], [5, 7, 11, 9], [8, 10], [14, 12, 15], [18, 17, 16], [20, 19], [22, 21, 23, 24]]
10: [[1, 2, 13], [6, 4], [3, 5], [7, 11, 9], [8, 10], [14, 12, 15], [18, 17, 16], [20, 19, 22], [21, 23, 24]]
11: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9, 8], [10, 14], [12, 15, 18], [17, 16], [20, 19], [22, 21, 23, 24]]
12: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9], [8, 10, 14], [12, 15, 18], [17, 16], [20, 19, 22], [21, 23, 24]]
13: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9], [8, 10, 14], [12, 15, 18], [17, 16], [20, 19, 22], [21, 23, 24]]
14: [[1, 2], [13, 6], [4, 3], [5, 7], [11, 9], [8, 10, 14], [12, 15], [18, 17, 16], [20, 19, 22], [21, 23, 24]]
15: [[1, 2], [13, 6, 4, 3, 5], [7, 11], [9, 8], [10, 14], [12, 15, 18, 17, 16], [20, 19, 22, 21, 23, 24]]
16: [[1, 2], [13, 6, 4], [3, 5], [7, 11], [9, 8], [10, 14], [12, 15, 18], [17, 16], [20, 19, 22, 21], [23, 24]]
17: [[1, 2], [13, 6], [4, 3], [5, 7, 11, 9], [8, 10], [14, 12, 15], [18, 17, 16], [20, 19], [22, 21, 23, 24]]
18: [[1, 2], [13, 6], [4, 3, 5], [7, 11], [9, 8], [10, 14, 12, 15], [18, 17], [16, 20], [19, 22, 21], [23, 24]]
19: [[1, 2], [13, 6, 4], [3, 5, 7], [11, 9, 8], [10, 14], [12, 15], [18, 17], [16, 20], [19, 22], [21, 23, 24]]
20: [[1, 2], [13, 6, 4, 3], [5, 7], [11, 9], [8, 10], [14, 12], [15, 18], [17, 16], [20, 19, 22], [21, 23, 24]]
21: [[1, 2], [13, 6, 4], [3, 5, 7], [11, 9], [8, 10, 14], [12, 15], [18, 17, 16], [20, 19, 22], [21, 23, 24]]
22: [[1, 2], [13, 6, 4], [3, 5], [7, 11], [9, 8], [10, 14, 12, 15], [18, 17, 16], [20, 19], [22, 21], [23, 24]]
