0: [[53], [20, 58, 4, 19, 26, 31, 34, 47], [3, 30, 51], [38, 14, 15], [8, 5, 44, 18], [40], [42, 54, 29], [9], [33, 6, 10, 21], [13, 49, 24, 45, 12], [56], [22, 23], [35, 46, 2], [43, 27, 11], [48], [7], [28, 25], [32, 36, 57, 17, 50], [37, 16], [39, 41], [52], [59], [55], [1, 60]]
1: [[53], [20, 58, 4, 19, 26, 31, 34, 47], [3, 30, 51], [38, 14, 15], [8, 5, 44, 18], [40], [42, 54, 29], [9], [33, 6, 10, 21], [13, 49, 24, 45, 12], [56], [22, 23], [35, 46, 2], [43, 27, 11], [48], [7], [28, 25], [32, 36, 57, 17, 50], [37, 16], [39, 41], [52], [59], [55], [1, 60]]
2: [[53], [20, 58, 4, 19, 26, 31, 34, 47], [3, 30, 51], [38, 14, 15], [8, 5, 44, 18], [40], [42, 54, 29], [9], [33, 6, 10, 21], [13, 49, 24, 45, 12], [56], [22, 23], [35, 46, 2], [43, 27, 11], [48], [7], [28, 25], [32, 36, 57, 17, 50], [37, 16], [39, 41], [52], [59], [55], [1, 60]]
3: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 10, 6, 15, 13, 25, 24, 16, 21, 17, 28, 23, 31, 30], [22, 29, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
4: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 15, 17, 16, 30, 31, 24, 21, 25, 28], [26, 22, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
5: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 10, 6, 15, 13, 25, 17, 16, 31, 24, 21, 23, 28, 30], [22, 29, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
6: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 31, 10, 30, 13, 17, 24, 15, 28, 25, 16, 21, 23], [22, 26, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
7: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 23, 6, 10, 16, 24, 17, 15, 25, 13, 26, 31, 21, 30], [22, 28, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
8: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 23, 13, 15, 17, 24, 16, 25, 30, 26, 31, 10, 21, 6], [22, 28, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
9: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 23, 13, 15, 17, 24, 16, 25, 30, 26, 31, 10, 21, 6], [22, 28, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
10: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 31, 23, 10, 13, 17, 16, 15, 21, 28, 26, 25, 24], [22, 30, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
11: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 15, 13, 25, 17, 16, 26, 24, 21, 23, 28, 31], [22, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
12: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 21, 23, 13, 24, 26, 15, 31, 17, 16, 25, 28], [22, 30, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
13: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 25, 17, 21, 16, 30, 24, 23, 26, 28], [22, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
14: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 24, 15, 13, 21, 10, 16, 28, 23, 25, 26, 17, 30], [22, 31, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
15: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 24, 15, 13, 21, 30, 16, 10, 28, 23, 17, 26, 25], [22, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
16: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 15, 17, 21, 24, 30, 25, 16, 26, 28], [22, 31, 29, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
17: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 17, 21, 16, 30, 15, 28, 25, 26, 24], [22, 29, 31, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
18: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 15, 23, 17, 16, 22, 21, 28, 25, 30, 31], [24, 29, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
19: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 31, 13, 15, 24, 17, 16, 30, 21, 22, 28, 23], [25, 29, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
20: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 13, 30, 21, 24, 15, 17, 31, 16, 28, 23, 22], [25, 29, 26, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
21: [[35, 20, 27, 32, 19, 2, 4, 12, 3, 7, 1, 11, 9, 8, 14], [5, 18, 6, 10, 23, 13, 15, 25, 16, 17, 21, 26, 22, 28, 31], [24, 29, 30, 40, 37, 38, 33, 34, 36, 45, 39, 43, 41, 44, 42], [46, 47, 50, 56, 48, 51, 49, 53, 52, 55, 54, 58, 59, 60, 57]]
