0: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
1: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
2: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
3: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
4: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
5: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
6: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
7: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
8: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
9: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
10: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
11: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
12: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
13: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
14: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
15: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
16: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
17: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
18: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
19: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
20: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
21: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
22: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
23: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
24: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
25: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
26: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
27: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
28: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
29: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
30: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
31: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
32: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
33: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
34: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
35: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
36: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
37: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
38: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
39: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
40: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
41: [[3, 11, 6, 1, 13, 4, 14], [5, 7, 2, 9, 10, 8], [15, 12, 20, 17, 19, 18, 16]]
