0: [[5, 19, 1, 2], [3, 6, 8, 4, 15, 12], [11, 7, 9, 22], [29, 13, 16, 14], [17, 18, 10], [20, 23, 25], [21, 26, 27], [24, 28]]
1: [[5, 19, 1, 2], [3, 4, 8, 12], [15, 6, 9, 13, 11, 10, 14, 25], [16, 17, 7, 18, 20, 23, 22, 24], [21, 27, 28, 29, 26]]
2: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 7, 9], [11, 13, 10], [22, 12, 16], [29, 14, 18, 17], [23, 20, 28, 25], [26, 24, 21, 27]]
3: [[5, 19, 1, 2], [3, 6, 8, 4], [15, 13, 10], [7, 9, 12], [24, 21, 11, 14], [16, 18, 22, 17], [28, 29, 23], [27, 26, 20, 25]]
4: [[5, 19, 1, 2], [3, 6, 8, 12, 4, 7, 15, 9, 11, 29, 24, 20, 16, 10, 13, 18, 22, 14, 17, 28], [25, 23, 21, 27, 26]]
5: [[5, 19, 1, 2], [3, 4, 8, 6], [15, 13, 11], [7, 9, 10], [22, 12, 14, 16], [17, 18, 23, 21], [20, 29, 25], [26, 24, 28, 27]]
6: [[5, 19, 1, 2], [3, 4, 8, 6, 13], [15, 10, 7, 9], [11, 12, 16, 24, 14, 29], [17, 18], [21, 20, 25, 23, 22], [26, 27, 28]]
7: [[5, 19, 1, 2], [3, 4, 8, 6, 15], [7, 10, 11], [13, 25, 29], [9, 16], [17, 20, 18, 14], [22, 28, 24, 12], [26, 21, 23, 27]]
8: [[5, 19, 1, 2], [3, 4, 8, 6, 12], [7, 15], [9, 10, 11, 25, 28, 24, 21], [16, 13, 22, 14, 17, 18, 26, 20, 23, 27, 29]]
9: [[5, 19, 1, 2], [3, 4, 8], [6, 13, 7, 11, 9, 12, 10, 24, 14, 17, 15, 22, 23, 21, 20, 16, 28, 18, 26, 25], [27, 29]]
10: [[5, 19, 1, 2], [3, 6, 8, 4, 12, 7, 9], [11, 13, 14, 10, 15, 16, 25, 17], [18, 20, 23, 21, 28, 22, 26, 27, 29, 24]]
11: [[5, 19, 1, 2], [3, 6, 8, 4, 15, 14, 11, 9, 7, 12, 29, 13], [16, 10, 21, 18, 22, 20, 23, 17, 27], [26, 25, 24, 28]]
12: [[5, 19, 1, 2], [3, 4], [8, 6, 12], [11, 13, 15, 9, 10, 14, 29, 20, 7, 17, 16, 21, 22, 18, 28, 27, 23, 24, 26, 25]]
13: [[5, 19, 1, 2], [3, 6, 8, 4, 15, 11, 14], [7, 13, 9, 10, 25, 16], [12, 17, 22, 18], [20, 29, 21, 24, 27], [26, 23, 28]]
14: [[5, 19, 1, 2], [3, 6, 8, 12], [4, 15, 9, 11], [7, 10, 14], [25, 16, 20, 29, 22], [18, 13, 17, 21], [23, 26, 24, 27, 28]]
15: [[5, 19, 1, 2], [3, 4, 8, 6], [7, 11, 9], [13, 17, 10, 12, 28, 16, 15, 21, 14, 18, 20, 22, 24, 26, 23, 25, 27, 29]]
