0: [[3, 14, 1, 2, 6, 4], [5, 7, 8, 10], [11, 12, 13, 9], [19, 16, 17, 18, 20, 15]]
1: [[3, 14, 1, 2, 6, 4], [7, 5, 8, 10], [12, 13, 11, 9], [19, 16, 17, 18, 20, 15]]
2: [[3, 14, 1, 2, 6, 4], [7, 5, 8, 10], [9, 12, 13, 11], [19, 16, 17, 18, 20, 15]]
3: [[3, 14, 1, 2, 6, 4], [7, 5, 8, 10], [11, 13, 12, 9], [19, 16, 17, 18, 20, 15]]
4: [[3, 14, 1, 2, 6, 4], [5, 8, 10, 7], [11, 12, 13, 9], [18, 16, 17, 19, 20, 15]]
5: [[3, 14, 1, 2, 6], [4, 5, 8, 7, 10], [11, 12, 13, 9], [18, 16, 17, 19, 20, 15]]
6: [[3, 14, 1, 2, 6, 7], [5, 8, 4, 10], [9, 11, 13, 12], [19, 16, 17, 18, 20, 15]]
7: [[3, 14, 1, 2], [6, 4, 7, 5, 10, 8], [11, 12, 13, 9], [19, 16, 17, 18, 20, 15]]
8: [[3, 14, 1, 2], [6, 4, 7, 5, 10, 8], [11, 12, 9, 13], [19, 16, 17, 18, 20, 15]]
9: [[3, 14, 1, 2], [6, 5, 7, 8, 10, 4], [11, 13, 12, 9], [19, 16, 17, 18, 20, 15]]
10: [[3, 14, 1, 2], [6, 5, 7, 10, 8, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20, 15]]
11: [[3, 14, 1, 2], [6, 7, 5, 8, 4, 10], [9, 13, 11, 12], [19, 16, 17, 18, 20, 15]]
12: [[3, 14, 1, 2, 6, 4], [7, 9, 8, 10], [13, 5, 12, 11], [19, 16, 17, 18, 20, 15]]
13: [[3, 14, 1, 2, 6, 4], [7, 13, 8, 10], [11, 5, 9, 12], [19, 16, 17, 18, 20, 15]]
14: [[3, 14, 1, 2, 6, 5], [7, 10, 8, 4], [11, 12, 13, 9], [19, 16, 17, 18, 20, 15]]
15: [[3, 14, 1, 2, 6, 5], [7, 10, 8, 4], [11, 13, 12, 9], [19, 16, 17, 18, 20, 15]]
16: [[3, 14, 1, 2, 6], [5, 7, 4, 10, 13], [11, 12, 8, 9], [19, 16, 17, 18, 20, 15]]
17: [[3, 14, 1, 2, 6], [5, 7, 4, 8], [10, 12, 11, 13, 9], [19, 16, 17, 18, 20, 15]]
18: [[3, 14, 1, 2], [6, 5, 7, 10], [8, 11, 12, 13, 4, 9], [19, 16, 17, 18, 20, 15]]
19: [[3, 14, 1, 2], [6, 5, 7, 10], [8, 4, 11, 12, 13, 9], [18, 16, 17, 19, 20, 15]]
20: [[3, 14, 1, 2], [6, 4, 5, 7], [8, 11, 10, 12, 13, 9], [18, 16, 17, 19, 20, 15]]
21: [[3, 14, 1, 2], [6, 7, 5, 4], [10, 9, 11, 13, 8, 12], [19, 16, 17, 18, 20, 15]]
22: [[3, 14, 1, 2], [6, 4, 5, 7], [11, 12, 10, 8, 13, 9], [19, 16, 17, 18, 20, 15]]
23: [[3, 14, 1, 2], [6, 4, 7, 5], [10, 8, 11, 13, 9, 12], [19, 16, 17, 18, 20, 15]]
24: [[3, 14, 1, 2], [6, 4, 7, 5], [8, 10, 9, 13, 12, 11], [19, 16, 17, 18, 20, 15]]
25: [[3, 14, 1, 2, 6, 4], [7, 5, 8, 11], [9, 13, 10, 12], [18, 16, 17, 19, 20, 15]]
26: [[3, 14, 1, 2], [6, 4, 5, 8, 7], [10, 9, 13, 12, 11], [19, 16, 17, 18, 20, 15]]
27: [[3, 14, 1, 2], [6, 5, 8, 4], [10, 7, 11, 12, 13, 9], [19, 16, 17, 18, 20, 15]]
28: [[3, 14, 1, 2], [6, 4, 7, 13, 10], [5, 11, 12, 8, 9], [19, 16, 17, 18, 20, 15]]
29: [[3, 14, 1, 2, 6, 5], [7, 8, 4], [11, 12, 10, 13, 9], [18, 16, 17, 19, 20, 15]]
30: [[3, 14, 1, 2], [6, 5, 7, 10, 8, 4], [11, 12, 15, 9], [19, 16, 17, 18, 20, 13]]
31: [[3, 14, 1, 2], [6, 4, 7, 5, 10, 12], [11, 13, 8, 9], [19, 16, 17, 18, 20, 15]]
32: [[3, 14, 1, 2], [6, 7, 5, 12, 10, 4], [8, 13, 11, 9], [19, 16, 17, 18, 20, 15]]
33: [[3, 14, 1, 2], [6, 7, 4, 9], [12, 10, 5, 13, 8, 11], [19, 16, 17, 18, 20, 15]]
34: [[3, 14, 1, 2], [6, 5, 7, 10], [8, 12, 4, 9, 15, 13], [19, 16, 17, 18, 20, 11]]
35: [[3, 14, 1, 2], [6, 7, 12, 4], [5, 10, 11, 13, 8, 9], [19, 16, 17, 18, 20, 15]]
36: [[3, 14, 1, 2, 6, 5], [7, 4, 10, 12], [9, 13, 8, 11], [18, 16, 17, 19, 20, 15]]
37: [[3, 14, 1, 2, 6, 4], [7, 8, 5, 12], [10, 13, 15, 9], [19, 16, 17, 18, 20, 11]]
38: [[3, 14, 1, 2], [6, 4, 7, 9, 8, 12], [5, 10, 13, 11], [19, 16, 17, 18, 20, 15]]
39: [[3, 14, 1, 2], [6, 7, 8, 10, 4, 11], [15, 5, 12, 9], [19, 16, 17, 18, 20, 13]]
40: [[3, 14, 1, 2], [6, 4, 7, 15, 8, 11], [9, 12, 13, 5], [19, 16, 17, 18, 20, 10]]
41: [[3, 14, 1, 2], [6, 5, 7, 11], [4, 8, 10, 12, 15, 9], [19, 16, 17, 13, 20, 18]]
