0: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13], [12, 15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
1: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13], [12, 15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
2: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13], [12, 15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
3: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
4: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
5: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
6: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
7: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
8: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
9: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 3], [23, 21, 24]]
10: [[3, 5, 4, 10, 2, 6, 1], [11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22], [23, 21, 24]]
11: [[3, 5, 4, 10, 2, 6, 1], [11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22], [23, 21, 24]]
12: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
13: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12], [15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
14: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12], [15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
15: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12], [15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
16: [[3, 6, 5, 1, 4], [10, 2, 11, 7], [14, 9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22], [23, 21, 24]]
17: [[3, 6, 5], [1, 4, 10, 2, 11, 7, 14], [9, 8, 13], [12, 15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
18: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
19: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
20: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
21: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 3], [22, 23, 21, 24]]
22: [[5, 1, 4, 6], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 3], [22, 23, 21, 24]]
23: [[3, 6, 5, 1, 4], [10, 2, 11, 7], [14, 9, 8, 13, 12], [15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
24: [[5, 1, 4, 10, 2, 3, 6], [11, 7, 14, 9, 8], [13, 12, 15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
25: [[3, 5, 4, 10, 6], [2, 11, 7, 14, 9], [8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 1], [23, 21, 24]]
26: [[3, 5, 4, 10, 2, 11, 6], [7, 14, 9], [8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 1], [23, 21, 24]]
27: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
28: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
29: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
30: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
31: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
32: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
33: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
34: [[3, 6, 5], [1, 4, 10, 2, 11], [7, 14, 9, 8, 13, 12], [15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
35: [[3, 6, 5, 1, 4], [10, 2, 11, 7], [14, 9, 8, 13, 12], [15, 16, 19, 17, 18, 20], [22, 23, 21, 24]]
36: [[5, 6], [1, 4, 10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 3], [22, 23, 21, 24]]
37: [[5, 1, 4, 10, 3, 6], [2, 11, 7, 14, 9, 8], [13, 12, 15, 16], [19, 17, 18, 20, 22], [23, 21, 24]]
38: [[3, 5, 1, 10, 2, 11, 6, 4], [7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20], [22, 23, 21, 24]]
39: [[3, 6, 5, 1], [4, 10, 2, 11, 7], [14, 9, 8, 13, 12], [15, 16, 19, 17, 18, 20, 22], [23, 21, 24]]
40: [[3, 6, 5, 1], [4, 10, 2, 11, 7, 14, 9, 8], [13, 12, 15], [16, 19, 17, 18, 20, 22], [23, 21, 24]]
41: [[3, 6, 5, 1], [4, 10, 2, 11, 7, 14, 9, 8], [13, 12, 15], [16, 19, 17, 18, 20, 22], [23, 21, 24]]
42: [[3, 5, 4, 10, 6, 1], [2, 11, 7, 14, 9], [8, 13], [12, 15, 16, 19, 17, 18, 20], [22, 23, 21, 24]]
43: [[3, 6, 5, 1], [4, 10, 2, 11, 7], [14, 9, 8, 13, 12], [15, 16, 19, 17, 18, 20], [22, 23, 21, 24]]
44: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 23], [21, 24]]
45: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15, 16], [19, 17, 18, 20, 22, 23], [21, 24]]
46: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14], [9, 8, 13, 12, 15, 16], [19, 17, 18, 20, 22, 23], [21, 24]]
47: [[3, 6, 5, 1, 4], [10, 2, 11, 7], [14, 9, 8, 13, 12, 15], [16, 19, 17, 18, 20, 22, 23], [21, 24]]
48: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22, 23], [21, 24]]
49: [[3, 6, 5, 1, 4], [10, 2, 11, 7, 14, 9], [8, 13, 12, 15, 16], [19, 17, 18, 20, 22, 23], [21, 24]]
