0: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
1: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
2: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
3: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
4: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
5: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
6: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
7: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
8: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
9: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
10: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
11: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
12: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
13: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
14: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7], [2, 16, 13, 9], [20, 19, 17, 15]]
15: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7], [2, 16, 13, 9], [20, 19, 17, 15]]
16: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7], [2, 16, 13, 9], [20, 19, 17, 15]]
17: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
18: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9, 15], [20, 17, 19]]
19: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
20: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
21: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9, 15], [20, 19, 17]]
22: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7], [2, 16, 13, 9, 15], [20, 19, 17]]
23: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7], [2, 16, 13, 9, 15], [20, 19, 17]]
24: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7], [2, 16, 13, 9, 15], [20, 19, 17]]
25: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
26: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 9], [20, 19, 17, 15]]
27: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 15, 20, 19, 17, 9]]
28: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 15], [17]]
29: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 9], [20, 19, 15], [17]]
30: [[1, 11, 3], [14, 4, 6], [12, 8, 18], [10, 5, 7, 2], [16, 13, 20, 9, 15], [19, 17]]
31: [[1, 11, 3], [14, 12, 4, 6, 15], [8, 18, 10], [5, 7, 2], [16, 13, 9], [20, 19, 17]]
32: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2], [16, 13, 15, 20, 19, 17, 9]]
33: [[1, 11, 3], [14], [12, 8, 18], [10, 5, 7], [2, 16, 13, 4, 6], [20, 19, 17, 9, 15]]
34: [[1, 11, 3], [14], [12, 8, 18], [10, 5, 7], [2, 16, 13, 4, 6], [20, 19, 17, 9, 15]]
35: [[1, 11, 3], [14, 12, 4, 6], [8, 18, 10], [5, 7, 2, 16], [13, 9, 15], [20, 19, 17]]
36: [[1, 11, 3], [14, 4, 6], [12, 8, 18, 10], [5, 7, 2, 16], [13, 20, 9], [19, 17, 15]]
37: [[1, 11, 3], [14, 12, 4, 6], [8, 18, 10], [5, 7, 2], [16, 13, 15, 20, 19, 17, 9]]
38: [[1, 11, 3], [14, 12, 4, 6], [8, 18, 10, 5, 7, 2, 16], [13, 15, 20, 19, 17, 9]]
39: [[1, 11, 3, 14], [12, 4, 6, 15], [8, 18, 10], [5, 7, 2], [16, 13, 9], [20, 19, 17]]
40: [[1, 11, 3], [14, 6, 12, 4, 15], [8, 18, 10, 5], [7, 2, 16], [13, 20, 19, 17, 9]]
41: [[1, 11, 3], [14, 12, 4, 6], [8, 18, 10, 5], [7, 2, 16, 13, 20, 19, 17, 15, 9]]
