0: [[19, 4, 2, 1], [14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
1: [[19, 1, 4, 2], [14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
2: [[19, 1, 4, 2, 13], [14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
3: [[13, 1, 19], [4, 2, 14, 3, 10], [6, 7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
4: [[13, 1, 19], [4, 2, 14, 3, 10], [6, 7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
5: [[19, 1, 13], [4, 2, 14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
6: [[19, 1, 13], [4, 2, 14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
7: [[19, 1, 13], [4, 2, 14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
8: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
9: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
10: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
11: [[19, 1, 4, 13], [2, 14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
12: [[13, 5, 19, 1, 4], [2, 14, 3, 10], [6, 7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20], [21, 23, 24]]
13: [[13, 5, 19, 1, 4], [2, 14, 3, 10], [6, 7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20], [21, 23, 24]]
14: [[13, 1, 4, 2, 19], [14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
15: [[13, 1, 4, 2, 19], [14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
16: [[13, 1, 4, 2, 19], [14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
17: [[13, 1, 4, 2, 19], [14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
18: [[13, 1], [4, 2, 14, 3, 10, 19], [6, 7, 8, 9, 15, 5], [11, 12, 16, 18, 17, 22, 20], [21, 23, 24]]
19: [[13, 1, 19], [4, 2, 14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
20: [[13, 5, 4, 19, 1], [2, 14, 3, 10], [6, 7, 8, 9, 15, 11, 12], [16, 18, 17, 22, 20], [21, 23, 24]]
21: [[13, 1, 4, 19], [2, 14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
22: [[13, 5, 19, 1, 4, 2], [14, 3, 10], [6, 7, 8, 9, 15], [11, 12, 16, 18, 17, 22, 20], [21, 23, 24]]
23: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 11, 13], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
24: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 11, 13], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
25: [[13, 1, 4, 2, 19], [14, 3, 10, 6, 7, 8, 9], [15, 11, 12, 16, 18], [17, 22, 20, 5], [21, 23, 24]]
26: [[19, 1, 4, 2, 14, 13], [3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
27: [[19, 1, 4, 2, 14, 13], [3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
28: [[19, 1, 4, 2, 14, 13], [3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
29: [[19, 1, 4, 2, 14, 13], [3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
30: [[13, 1, 4, 19], [2, 14, 3, 10, 6, 7], [8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
31: [[19], [1, 4, 2, 14, 3, 10, 6, 13], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 5], [21, 23, 24]]
32: [[19], [1, 4, 2, 14, 3, 10], [6, 7, 8, 9, 15, 13, 5], [11, 12, 16, 18, 17, 22, 20], [21, 23, 24]]
33: [[13, 1, 4, 2, 14, 19], [3, 10, 6, 7], [8, 9, 15, 11, 12, 16], [18, 17, 22, 20, 5], [21, 23, 24]]
34: [[13, 1, 4, 2, 5, 19], [14, 3, 10, 6, 7, 8], [9, 15, 11, 12], [16, 18, 17, 22, 20], [21, 23, 24]]
35: [[19, 1, 4, 13], [2, 14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 21, 5], [23, 24]]
36: [[19, 1, 4, 13], [2, 14, 3, 10, 6], [7, 8, 9, 15, 11], [12, 16, 18, 17, 22, 20, 21, 5], [23, 24]]
37: [[13, 5, 19, 1, 4], [2, 14, 3, 10, 6, 7, 8], [9, 15, 11], [12, 16, 18, 17, 22, 20], [21, 23, 24]]
38: [[13, 5, 19, 1, 4, 2], [14, 3], [10, 6, 7, 8, 9, 15], [11, 12, 16, 18, 17, 22, 20], [21, 23, 24]]
39: [[13, 1, 4, 2, 19], [14, 3, 10, 6], [7, 8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20, 21], [23, 24]]
40: [[13, 1, 4, 2, 14, 3, 19], [10, 6, 7], [8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20], [21, 23, 24]]
41: [[13, 1, 4, 2, 14, 3, 19], [10, 6, 7], [8, 9, 15, 11, 12, 16], [18, 17, 22, 20, 5], [21, 23, 24]]
42: [[13, 5, 19, 1, 4, 2, 14, 3], [10, 6, 7, 8, 9], [15, 11, 12, 16, 18, 17], [22, 20], [21, 23, 24]]
43: [[13, 1, 4, 19], [2, 14, 3, 10, 6, 7], [8, 9, 15, 11, 12, 5], [16, 18, 17, 22, 20, 21], [23, 24]]
44: [[13, 5, 19, 1, 4, 2, 14], [3, 10, 6, 7, 8], [9, 15, 11], [12, 16, 18, 17, 22, 20], [21, 23, 24]]
45: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 5], [20, 21, 23, 24]]
46: [[19, 1, 4], [2, 14, 3, 10, 6, 7], [8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 5], [20, 21, 23, 24]]
47: [[19, 1, 4, 2], [14, 3, 10, 6, 7], [8, 9, 15, 11, 13], [12, 16, 18, 17, 22, 5], [20, 21, 23, 24]]
48: [[19, 1, 4], [2, 14, 3, 10, 6], [7, 8, 9, 13], [15, 11, 12, 16, 18, 17, 22, 5], [20, 21, 23, 24]]
49: [[19, 1], [4, 2, 14, 3, 10, 6], [7, 8, 9, 15, 13], [11, 12, 16, 18, 17, 22, 5], [20, 21, 23, 24]]
