0: [[27, 35, 34, 1, 2], [7], [15, 5, 22, 3, 4, 9, 6, 10, 18], [8, 11, 13, 21], [14], [12, 17, 16, 24, 23, 19, 52], [26, 28, 29, 25, 30], [32, 37, 20], [36, 33, 31], [42, 41], [44, 38, 39, 45], [47, 40, 46, 54, 51, 48], [43, 50, 53, 55, 58], [49, 57, 60, 59, 56]]
1: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 18, 19, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [52, 34, 39, 45, 47, 41, 46, 36, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
2: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 18, 19, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [36, 34, 39, 45, 47, 41, 46, 52, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
3: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 19, 18, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [52, 34, 39, 45, 47, 41, 46, 36, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
4: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 19, 18, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [36, 34, 39, 45, 47, 41, 46, 52, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
5: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 18, 19, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [36, 34, 39, 45, 47, 41, 46, 52, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
6: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 19, 18, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [52, 34, 39, 45, 47, 41, 46, 36, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
7: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 18, 19, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [52, 34, 39, 45, 47, 41, 46, 54, 51, 48, 49, 50, 53, 36, 55, 58, 57, 56, 59, 60]]
8: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 18, 19, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [36, 34, 39, 45, 47, 41, 46, 52, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
9: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 19, 18, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [36, 34, 39, 45, 47, 41, 46, 52, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
10: [[27, 3, 35, 1, 7, 14, 2, 5, 21, 4, 6, 9, 8, 15, 10, 11, 13, 30, 25, 17], [22, 12, 16, 18, 19, 20, 23, 26, 24, 29, 28, 31, 40, 37, 32, 44, 33, 38, 42, 43], [36, 34, 39, 45, 47, 41, 46, 52, 51, 48, 49, 50, 53, 54, 55, 58, 57, 56, 59, 60]]
