0: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 18, 17, 14], [22, 20, 23, 28, 25], [21, 27, 26]]
1: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 18, 17, 14], [22, 20, 23, 28, 25], [21, 27, 26]]
2: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 22, 18, 15, 17, 14], [20, 23, 25, 28, 29], [21, 27, 26]]
3: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 18, 22, 17, 14], [20, 23, 25, 28, 29], [21, 27, 26]]
4: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 18, 17, 22, 14], [20, 23, 25, 28, 29], [21, 27, 26]]
5: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 18, 22, 17, 14], [23, 20, 28, 25, 29], [21, 27, 26]]
6: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 18, 22, 17, 14], [23, 20, 28, 25, 29], [21, 27, 26]]
7: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 15, 29, 13, 12, 11, 17, 22, 18, 14], [23, 20, 28, 25, 24], [21, 27, 26]]
8: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 15, 29, 13, 12, 11, 17, 22, 18, 14], [23, 20, 28, 25, 24], [21, 27, 26]]
9: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 15, 29, 13, 12, 11, 17, 22, 18, 14], [23, 20, 28, 25, 24], [21, 27, 26]]
10: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 17, 18, 14], [22, 20, 23, 28, 29, 25], [21, 27, 26]]
11: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 25, 13, 12, 15, 22, 17, 18, 23], [20, 29, 28, 24, 14], [21, 27, 26]]
12: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 25, 13, 12, 15, 23, 22, 17], [18, 20, 28, 29, 24, 14], [21, 27, 26]]
13: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 25, 13, 12, 15, 18, 22, 17, 14], [23, 20, 28, 24, 29], [21, 27, 26]]
14: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 18, 22, 14], [23, 20, 17, 25, 28], [21, 27, 26]]
15: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 18, 22, 14], [23, 20, 17, 25, 28], [21, 27, 26]]
16: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 18, 22, 14], [23, 20, 17, 25, 28], [21, 27, 26]]
17: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 12, 13, 29, 15, 17, 20, 14], [22, 18, 23, 28, 25], [21, 27, 26]]
18: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 29, 15, 17, 22, 14], [20, 18, 23, 28, 25], [21, 27, 26]]
19: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 18, 22, 14], [20, 23, 17, 28, 29, 25], [21, 27, 26]]
20: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 23, 17, 22, 14], [20, 18, 25, 28, 29], [21, 27, 26]]
21: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 23, 17, 22, 14], [20, 18, 29, 28, 25], [21, 27, 26]]
22: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 22, 17, 15, 14], [18, 20, 23, 29, 28, 25], [21, 27, 26]]
23: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 23, 18, 17], [22, 20, 25, 28, 29, 14], [21, 27, 26]]
24: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 25, 13, 12, 29, 15, 22, 18], [20, 17, 23, 28, 24, 14], [21, 27, 26]]
25: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 15, 29, 13, 12, 11, 22, 23, 18, 14], [17, 20, 24, 25, 28], [21, 27, 26]]
26: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 28, 13, 12, 15, 18, 17, 22, 14], [20, 23, 29, 24, 25], [21, 27, 26]]
27: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 15, 24, 13, 12, 11, 23, 22, 18, 14], [17, 20, 25, 29, 28], [21, 27, 26]]
28: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 18, 15, 22, 23, 14], [29, 20, 17, 25, 28], [21, 27, 26]]
29: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 24, 13, 12, 15, 22, 23, 14], [17, 18, 20, 29, 25, 28], [21, 27, 26]]
30: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7], [8, 11, 24, 13, 12, 15, 17, 18, 22, 20, 25, 23, 28, 29, 14], [21, 27, 26]]
31: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7], [8, 11, 24, 13, 12, 15, 22, 23, 18, 17, 20, 28, 25, 29, 14], [21, 27, 26]]
32: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7], [8, 11, 24, 13, 12, 15, 17, 18, 22, 20, 25, 23, 28, 29, 14], [21, 27, 26]]
33: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7], [8, 11, 24, 13, 12, 15, 23, 18, 17, 22, 20, 29, 25, 28, 14], [21, 27, 26]]
34: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7], [8, 11, 24, 13, 12, 15, 18, 22, 17, 23, 20, 28, 25, 29, 14], [21, 27, 26]]
35: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 22, 15, 18, 17, 14], [20, 23, 29, 28, 25], [21, 27, 26]]
36: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 22, 18, 17, 14], [28, 20, 23, 25, 29], [21, 27, 26]]
37: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 18, 22, 17, 14], [23, 20, 29, 25, 28], [21, 27, 26]]
38: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 22, 17, 18, 14], [20, 23, 25, 28, 29], [21, 27, 26]]
39: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 17, 22, 18], [20, 25, 28, 23, 29, 14], [21, 27, 26]]
40: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 15, 17, 18, 22], [20, 23, 25, 28, 29, 14], [21, 27, 26]]
41: [[6, 16, 1, 2, 19], [5, 4, 3, 9, 10, 7, 8, 11, 28, 13, 12, 15, 22, 18, 14], [17, 20, 23, 24, 25, 29], [21, 27, 26]]
42: [[6, 16, 1, 2, 19, 5], [4, 3, 9, 10, 7, 8, 11, 29, 13, 12, 15, 23, 20, 18, 14], [17, 22, 28, 25, 24], [21, 27, 26]]
43: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 29, 15, 18, 17], [22, 20, 23, 28, 25, 14], [21, 27, 26]]
44: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 12], [22, 13, 15, 17, 14], [20, 18, 23, 28, 29, 25], [21, 27, 26]]
45: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 29, 15, 22, 18, 14], [20, 23, 17, 25, 28], [21, 27, 26]]
46: [[6, 16, 1, 2, 19, 5, 4, 3, 9, 10, 7, 8, 11, 24, 13], [12, 28, 18, 15, 14], [17, 20, 22, 29, 23, 25], [21, 27, 26]]
