0: [[24, 29, 26, 18, 15, 14], [1, 17, 2, 6], [3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
1: [[24, 29, 26, 18, 15, 14], [1, 17, 2, 6], [3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
2: [[24, 29, 26, 18, 15, 14], [1, 17, 2, 6], [3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
3: [[24, 29, 26, 18, 15, 14], [1, 17, 2, 6], [11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
4: [[24, 29, 26, 18, 15, 14], [1, 17, 2, 6], [11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
5: [[24, 29, 26, 18, 15, 14], [1, 17, 2, 6], [11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
6: [[24, 29, 26, 18], [15, 14, 1, 17, 2, 6], [3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
7: [[24, 29, 26], [18, 15, 14, 1, 17, 2], [6, 3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
8: [[24, 29, 26, 18], [15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
9: [[24, 29, 26, 18], [15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
10: [[24, 29, 26, 18], [15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
11: [[24, 29, 26, 18, 15, 1], [17, 14, 2, 6], [11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
12: [[24, 29, 26], [18, 15, 1, 17], [2, 6, 14, 3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
13: [[24, 29, 26], [18, 15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
14: [[24, 29, 26], [18, 15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
15: [[24, 29, 26], [18, 15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
16: [[24, 29, 26], [18, 15, 14, 1], [17, 2, 6, 11, 20, 10], [5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
17: [[24, 29, 26], [18, 15, 14, 1], [17, 2, 6, 3, 20, 10], [5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
18: [[24, 29], [26, 18, 15, 14], [1, 17, 2], [6, 3, 20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
19: [[24, 29], [26, 18, 15], [14, 1, 17, 2], [6, 3, 20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
20: [[24, 29], [26, 18, 15], [1, 17, 2, 6], [14, 3, 20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
21: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6], [3, 20, 10], [5, 25, 28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
22: [[24, 29], [26, 18, 15], [14, 1, 17, 2], [6, 11, 20, 10, 5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
23: [[24, 29], [26, 18, 15], [14, 1, 17, 2], [6, 11, 20, 10, 5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
24: [[24, 29, 26, 18, 15, 14], [1, 17, 2], [6, 3], [20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
25: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
26: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
27: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
28: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
29: [[24, 29], [26, 18, 15], [14, 1, 17, 2, 6, 3], [20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
30: [[24, 29], [26, 18, 15], [14, 1, 17, 2, 6, 3], [20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
31: [[24, 29], [26, 18, 15], [14, 1, 17, 2, 6, 3], [20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
32: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6], [3, 20, 10, 5], [25, 28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
33: [[24, 29, 26, 18], [15, 14, 1], [17, 2], [6, 11, 20, 10, 5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
34: [[24, 29, 26, 18], [15, 14, 1], [17, 2], [6, 11, 20, 10, 5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
35: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6, 3, 20], [5, 25, 10], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
36: [[24, 29], [26, 18, 15, 14, 1, 17], [2, 6, 3], [20, 10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
37: [[24, 29, 26], [18, 15], [14, 1, 17, 2], [6, 11, 20, 10, 5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
38: [[24, 29], [26, 18, 15, 14, 1, 17], [2, 6], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
39: [[24, 29], [26, 18, 15, 14], [1, 17, 2, 6, 11, 20], [5, 25, 10], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
40: [[24, 29], [26, 18, 15, 14, 1, 2], [6, 17, 3, 20], [10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
41: [[24, 29, 26, 18], [15, 14, 1, 17, 2, 6], [11, 20], [10, 5, 25], [28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
42: [[24, 29], [26, 18, 15, 14], [1, 17, 2, 6, 3, 20], [10, 5, 25], [28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
43: [[24, 29], [26, 18, 15], [14, 1], [17, 2, 6, 3, 20, 10], [5, 25, 28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
44: [[24, 29], [26, 18], [15, 1, 17, 2, 6, 14], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
45: [[24, 29], [26, 18], [15, 14, 1, 17, 2, 6], [11, 20, 10], [5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
46: [[24, 29], [26, 18], [15, 14, 1], [17, 2, 6, 11], [20, 10, 5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
47: [[24, 29], [26, 18], [15, 14, 1], [17, 2, 6, 11], [20, 10, 5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
48: [[24, 29], [26, 18], [15, 1, 17], [2, 6, 14, 3, 20, 10], [5, 25, 28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
49: [[24, 29, 26, 18], [15, 14, 1, 17, 2, 6], [11, 20], [10, 5], [25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
50: [[24, 29, 26, 18], [15, 14, 1], [17, 2], [6, 11], [20, 10, 5, 25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
51: [[24, 29], [26, 18, 15, 14, 1, 17], [2, 6, 11, 20], [10, 5], [25, 28, 23], [4, 3, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
52: [[24, 29, 26, 18], [15, 14, 1], [17, 2], [6, 3], [20, 10, 5, 25, 28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
53: [[24, 29], [26, 18], [15, 14, 1], [17, 2, 6, 3], [20, 10, 5, 25, 28, 23], [4, 11, 13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
54: [[24, 29, 26, 18], [15, 14, 1, 17, 2, 6], [3, 20], [10, 5], [25, 28, 23], [4, 11, 13, 16], [8, 12, 7, 9, 19, 22], [27, 21]]
55: [[24, 29, 26, 18, 15, 14], [1, 17], [2, 6, 11, 20, 10, 5], [25, 28], [23, 4, 3], [13, 16, 8, 12], [7, 9, 19, 22], [27, 21]]
