0: [[7, 11], [5, 22, 6, 19, 13, 9, 1], [2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
1: [[7, 5, 22, 11, 6], [19, 13, 9, 1, 2], [3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
2: [[7, 5, 22, 11, 6], [19, 13, 9, 1], [2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
3: [[7, 5, 22, 11, 6], [19, 13, 9, 1], [2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
4: [[7, 5, 22, 11, 6], [19, 13, 9, 1], [2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
5: [[7, 11, 5], [22, 6, 19, 13, 9, 1, 2], [3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
6: [[7, 11, 5, 22], [6, 19, 13, 9, 1, 2], [3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
7: [[7, 11, 5, 22], [6, 19, 13, 9, 1, 2], [3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
8: [[7, 11, 5, 22], [6, 19, 13, 9, 1], [2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
9: [[7, 11, 5, 22], [6, 19, 13, 9, 1], [2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
10: [[7, 11, 5, 22], [6, 19, 13, 9, 1, 2, 3], [14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
11: [[7, 5, 22, 11, 6], [19, 13, 9, 1, 2], [3, 14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
12: [[7, 5, 22, 11, 6], [19, 13, 9, 1, 2], [3, 14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
13: [[7, 11, 5, 22], [19, 13, 9, 2, 1], [3, 14, 4, 6], [10, 8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
14: [[11, 7], [22, 6, 19, 13, 9, 1, 2], [3, 14, 4, 5], [10, 8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
15: [[7, 11, 5], [22, 6, 19, 13, 9], [1, 2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
16: [[7, 11, 5, 22], [6, 19, 13, 9], [1, 2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
17: [[7, 11, 5, 22, 6, 19], [13, 9, 1, 2], [3, 14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
18: [[7, 11, 5, 22], [6, 19, 13, 9, 1, 2], [3, 14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
19: [[11, 7], [5, 22, 19, 13, 9, 1], [2, 3, 14, 4, 6], [10, 8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
20: [[7, 5, 22, 19, 13, 9, 11, 6], [1, 2, 3], [14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
21: [[7, 11, 5, 22, 6, 19, 13], [9, 1, 2], [3, 14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
22: [[7, 11, 5, 22, 13], [9, 1, 2, 3, 6], [14, 4, 19], [10, 8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
23: [[7, 5, 22, 19, 11, 6], [13, 9, 1], [2, 3, 14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
24: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2, 3], [14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
25: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2, 3], [14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
26: [[7, 11, 5, 22, 6, 19, 13, 9], [1, 2], [3, 14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
27: [[7, 11, 5, 22, 6, 19, 13, 9], [1, 2], [3, 14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
28: [[7, 11, 5], [22, 6, 19], [13, 9, 1, 2, 3, 14, 4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
29: [[7, 11, 5, 22, 6, 19], [13, 9, 1, 2, 3], [14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
30: [[7, 11, 5, 22, 6, 19, 13], [9, 1, 2, 3], [14, 4, 10, 8], [12, 15, 17, 16, 18, 20], [21, 23, 24]]
31: [[7, 11, 5, 22, 6, 19, 13], [9, 1, 2, 3], [14, 4, 10, 8], [12, 15, 17, 16, 18, 20], [21, 23, 24]]
32: [[7, 11, 5, 22, 6, 19, 13], [9, 1, 2, 3], [14, 4, 10, 8], [12, 15, 17, 16, 18, 20], [21, 23, 24]]
33: [[7, 11], [5, 22, 6, 19], [13, 9, 1, 2, 3, 14, 4], [10, 8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
34: [[7, 11, 5, 22, 6, 19, 13], [9, 1, 2, 3], [14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
35: [[7, 11, 5, 22, 6, 19, 13], [9, 1], [2, 3, 14, 4, 10, 8, 12, 15], [17, 16, 18, 20], [21, 23, 24]]
36: [[7, 11, 5, 22, 6, 19], [13, 9, 1, 2, 3], [14, 4, 10, 8, 12], [15, 17, 16, 18, 20], [21, 23, 24]]
37: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2, 3, 14], [4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
38: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2, 3, 14], [4, 10], [8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
39: [[7, 11, 5, 22, 6, 19, 13], [9, 1, 2, 3], [14, 4, 10, 8, 12, 15, 17], [16, 18, 20], [21, 23, 24]]
40: [[5, 22, 6, 19, 13], [9, 1, 2, 3, 14], [4, 10], [8, 12, 15, 17, 16, 18, 20, 7, 11], [21, 23, 24]]
41: [[5, 22, 6, 19, 13], [9, 1, 2, 3, 14], [4, 10, 8, 12, 7, 11], [15, 17, 16, 18, 20], [21, 23, 24]]
42: [[7, 11, 5], [22, 6], [19, 13, 9, 1, 2, 3, 14], [4, 10, 8, 12, 15, 17, 16, 18, 20], [21, 23, 24]]
43: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2], [3, 14, 4, 10, 8], [12, 15, 17, 16, 18], [20, 21, 23, 24]]
44: [[5, 22, 6, 19, 13, 9], [1, 2, 3, 14, 4], [10, 8, 7, 11], [12, 15, 17, 16, 18, 20, 21], [23, 24]]
45: [[7, 11, 5, 22, 6, 19, 13, 1], [9, 2, 14], [4, 10, 8, 12, 15, 17, 16, 3], [18, 20], [21, 23, 24]]
46: [[7, 11, 5, 22], [6, 19, 13, 9, 1, 2, 3], [14, 4, 10, 8, 12, 15, 17], [16, 18, 20, 21], [23, 24]]
47: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2, 3], [14, 4, 10, 8, 12], [15, 17, 16, 18], [20, 21, 23, 24]]
48: [[5, 22, 6, 19, 13], [9, 1, 2, 3, 14], [4, 10, 8, 12, 15, 7, 11], [17, 16, 18, 20, 21], [23, 24]]
49: [[7, 11, 5, 22, 6], [19, 13, 9, 1, 2, 3, 14], [4, 10], [8, 12, 15, 17, 16, 18], [20, 21, 23, 24]]
