0: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 24, 25], [21, 26, 27, 29]]
1: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
2: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
3: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [24, 28, 20, 10, 25], [21, 26, 27, 29]]
4: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 24, 25, 20], [21, 26, 27, 29]]
5: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
6: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [28, 20, 25, 24, 10], [21, 26, 27, 29]]
7: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
8: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 20, 24, 25, 28], [21, 26, 27, 29]]
9: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 24, 20, 25], [21, 26, 27, 29]]
10: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 25, 20, 24], [21, 26, 27, 29]]
11: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [24, 20, 28, 25, 10], [21, 26, 27, 29]]
12: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 20, 24, 25, 28], [21, 26, 27, 29]]
13: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
14: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
15: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 24, 25, 20, 28], [21, 26, 27, 29]]
16: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
17: [[13, 11, 8, 4, 3], [19, 5, 2, 6], [1, 7, 15, 12, 14], [9, 16, 17, 18, 23, 22], [10, 28, 20, 25, 24], [21, 26, 27, 29]]
