0: [[18, 15], [2, 6, 16, 12, 14], [7, 11], [10, 3], [4, 5, 13, 22], [1, 9, 20, 19, 17, 8], [23, 21, 24]]
1: [[24, 23], [2, 14, 7, 11, 6, 16, 12], [10, 3], [4, 5, 13, 22], [1, 9, 20, 19], [17, 8, 15, 21, 18]]
2: [[24, 23], [2, 14, 12], [7, 11, 10], [3, 4, 5, 13, 6, 16], [22, 1, 9, 20, 19], [17, 8, 15, 21, 18]]
3: [[24, 23], [2, 14, 16, 12], [7, 11], [10, 3, 4], [5, 13, 22, 6], [1, 9, 20, 19, 17, 8], [15, 21, 18]]
4: [[24, 23], [2, 6], [14, 7, 11, 10, 3, 16, 12], [4, 5, 13, 22], [1, 9, 20], [19, 17, 8, 15, 21, 18]]
5: [[24, 23], [2, 12, 14, 7, 11, 6, 16], [10, 3, 4, 5], [13, 22, 1, 9], [20, 19, 17, 8, 15, 21, 18]]
6: [[24, 23], [2], [14, 7, 11, 10, 12], [3, 4, 5, 6, 16], [13, 22], [1, 9, 20], [19, 17, 8, 15], [21, 18]]
7: [[24, 23], [2, 16], [14, 12], [7, 11], [10, 3, 4, 5, 13, 6], [22, 1, 9, 20, 19], [17, 8, 15, 21, 18]]
8: [[24, 23], [2], [12, 14, 7, 11, 16], [10, 3, 4, 5, 13, 22, 1, 9, 20, 19, 6], [17, 8, 15, 21, 18]]
9: [[24, 23], [2, 14, 7, 12], [11, 10], [3, 4, 16], [5, 13, 22, 6], [1, 9, 20, 19, 17, 8], [15, 21, 18]]
10: [[24, 23], [2], [14, 7, 11, 10, 16, 12], [3, 4, 5, 13, 22, 1, 9, 6], [20, 19], [17, 8, 15, 21, 18]]
11: [[24, 23], [2, 6, 16, 12, 14, 7, 11, 10, 3], [4, 5, 13], [22, 1, 9, 20, 19, 17, 8, 15, 21, 18]]
12: [[24, 23], [2, 12, 14, 7], [11, 10], [3, 4, 5, 13, 22, 1, 6, 16], [9, 20, 19, 17, 8, 15, 21, 18]]
13: [[24, 23], [2, 12, 16], [14, 7, 11], [10, 3, 4, 5, 6], [13, 22, 1, 9, 20, 19, 17, 8, 15, 21, 18]]
14: [[24, 23], [2, 14, 7, 12], [11, 10, 3, 4, 16], [5, 13, 22, 6], [1, 9, 20, 19, 17, 8], [15, 21, 18]]
15: [[24, 23], [2, 6, 16, 12, 14, 7, 11, 10, 3, 4], [5, 13, 22, 1, 9, 20, 19, 17, 8, 15, 21, 18]]
16: [[24, 23], [2], [14, 12], [7, 11, 10], [3, 4, 5, 6, 16], [13, 22], [1, 9, 20], [19, 17, 8, 15], [21, 18]]
17: [[24, 23], [2, 6, 16], [14, 12], [7, 11], [10, 3], [4, 5, 13], [22, 1, 9], [20, 19, 17], [8, 15, 21, 18]]
18: [[24, 23], [2, 12], [14, 7], [11, 10, 3, 4, 5, 6, 16], [13, 22, 1, 9], [20, 19, 17], [8, 15, 21, 18]]
19: [[24, 23], [2], [14, 7, 12], [11, 10, 3, 4, 5, 13, 6, 16], [22, 1, 9], [20, 19, 17, 8, 15, 21, 18]]
20: [[24, 23], [2], [12, 14, 7], [11, 10, 3, 4, 6, 16], [5, 13, 22, 1, 9, 20, 19, 17, 8, 15, 21, 18]]
21: [[24, 23], [2], [14, 7, 11, 10, 3, 4, 16, 12], [5, 13, 22, 1, 6], [9, 20, 19, 17, 8, 15, 21], [18]]
22: [[24, 23], [2, 6], [14, 7, 11, 10, 3], [4, 5], [13, 22], [1, 9, 20, 19], [17, 8, 15], [21, 18, 16, 12]]
23: [[24, 23], [2, 6], [14, 7, 11], [10, 3, 4, 16], [5, 13, 22], [1, 9, 20], [19, 17, 8], [15, 21, 18, 12]]
24: [[24, 23], [2, 6], [14, 7, 11], [10, 3, 4, 16], [5, 13, 22], [1, 9, 20], [19, 17, 8], [15, 21, 18, 12]]
25: [[24, 23], [2], [12, 14], [7, 11, 10, 3, 4, 5, 13, 22, 6, 16], [1, 9, 20, 19, 17, 8, 15, 21, 18]]
26: [[24, 23], [2, 6, 16], [14], [7, 11], [10, 3, 4], [5, 13, 22], [1, 9, 20], [19, 17, 8], [15, 21, 18, 12]]
27: [[24, 23], [2, 6], [14, 7, 11, 12], [10, 3, 4, 16], [5, 13, 22], [1, 9], [20, 19, 17, 8, 15, 21, 18]]
28: [[24, 23], [2, 6], [14, 7, 11], [10, 3, 4, 5], [13, 22, 1], [9, 20], [19, 17], [8, 15], [21, 18, 16, 12]]
29: [[24, 23], [2, 6, 16], [14, 7, 11, 12], [10, 3, 4, 5], [13, 22], [1, 9], [20, 19, 17, 8], [15, 21, 18]]
30: [[24, 23], [2, 12], [14, 7], [11, 10], [3, 4, 5, 13, 6, 16], [22, 1, 9], [20, 19, 17, 8], [15, 21, 18]]
31: [[24, 23], [2, 6], [16, 12, 14, 7, 11, 10, 3, 4, 5, 13, 22], [1, 9, 20, 19, 17, 8, 15, 21, 18]]
