0: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
1: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
2: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
3: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
4: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
5: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
6: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
7: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
8: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
9: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
10: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
11: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
12: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
13: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
14: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
15: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
16: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
17: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
18: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
19: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
20: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
21: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
22: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
23: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
24: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
25: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
26: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
27: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
28: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
29: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
30: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
31: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
32: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
33: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
34: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
35: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
36: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
37: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
38: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
39: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
40: [[3, 13, 4, 8, 12], [29, 20], [19, 7, 28, 24, 23], [16, 1, 2, 22, 14], [5, 6, 25, 10], [9, 11, 15, 17, 18], [21, 27, 26]]
