0: [[6, 7, 5, 8, 2, 10], [1, 3, 12, 13, 11, 14, 4, 9], [15, 18, 17, 16, 19, 20]]
1: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
2: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
3: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
4: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
5: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
6: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
7: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
8: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
9: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
10: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
11: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
12: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
13: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
14: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
15: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
16: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
17: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
18: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
19: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
20: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
21: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
22: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
23: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
24: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
25: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11], [14, 15, 18, 17, 16, 19, 20]]
26: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11], [14, 15, 18, 17, 16, 19, 20]]
27: [[6, 7, 5, 8, 2, 10, 1, 3], [9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
28: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
29: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
30: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
31: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
32: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
33: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
34: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
35: [[6, 7, 5, 8, 2, 10, 1], [3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
36: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
37: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14, 15], [18, 17, 16, 19, 20]]
38: [[6, 7, 5, 8, 2, 10], [1, 3, 9, 4, 12, 13, 11, 14, 15, 18], [17, 16, 19, 20]]
39: [[6, 7, 5, 8, 2], [10, 1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
40: [[6, 7, 5, 8, 2], [10, 1, 3, 9, 4, 12, 13, 11, 14], [15, 18, 17, 16, 19, 20]]
41: [[6, 7, 5, 8, 2], [10, 1, 3, 9, 4, 12, 13, 11], [14, 15, 18, 17, 16, 19, 20]]
