0: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
1: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
2: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
3: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
4: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
5: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
6: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
7: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
8: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
9: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
10: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
11: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
12: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
13: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
14: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
15: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
16: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
17: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
18: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
19: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
20: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
21: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
22: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
23: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
24: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
25: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
26: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
27: [[11, 9], [12, 13, 7], [1, 3, 5, 2], [8, 6], [10, 4]]
