0: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
1: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
2: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
3: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
4: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
5: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
6: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
7: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
8: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
9: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
10: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
11: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
12: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
13: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
14: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
15: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
16: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
17: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
18: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
19: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
20: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
21: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
22: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
23: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
24: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
25: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
26: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
27: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
28: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
29: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
30: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
31: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
32: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
33: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
34: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
35: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
36: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
37: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
38: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
39: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
40: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
41: [[12, 13], [14, 17, 4], [2, 11, 9], [3, 1], [19, 18, 20, 15], [5], [16], [8, 10], [7, 6]]
