0: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26], [31, 29], [30, 36, 33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44], [45, 46, 56], [54, 49], [48, 51, 53, 52, 55, 57, 63, 58, 61, 62, 68], [67, 65, 70], [64, 74], [77, 69, 66], [79, 71, 72, 75, 73, 76, 78, 82], [85, 84], [81, 80], [83, 87, 86, 88]]
1: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26], [31, 29], [30, 36, 33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44], [45, 46, 56], [54, 49], [48, 51, 53, 52], [55, 57], [63, 58, 61], [62, 68], [67, 65], [70, 64, 74], [77, 69], [66, 79, 71], [72, 75], [73, 76, 78, 82], [85, 84, 81], [80, 83, 87, 86, 88]]
2: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26], [31, 29], [30, 36, 33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44], [45, 46, 56], [54, 49, 48], [51, 53, 52], [55, 57], [63, 58], [61, 62, 68], [67, 65, 70], [64, 74], [77, 69], [66, 79, 71, 72, 75], [73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
3: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26], [31, 29], [30, 36, 33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44, 45], [46, 56, 54], [49, 48, 51], [53, 52], [55, 57, 63, 58], [61, 62], [68, 67], [65, 70, 64, 74], [77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
4: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27, 26, 31], [29, 30, 36], [33, 35], [32, 42, 38], [34, 39], [37, 47, 40], [60, 41, 43, 44], [45, 46, 56], [54, 49, 48], [51, 53, 52], [55, 57], [63, 58, 61], [62, 68, 67], [65, 70, 64], [74, 77], [69, 66, 79, 71, 72, 75, 73, 76, 78], [82, 85, 84, 81, 80, 83, 87, 86, 88]]
5: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59], [27, 26, 31], [29, 30], [36, 33, 35], [32, 42, 38], [34, 39], [37, 47, 40], [60, 41], [43, 44, 45, 46, 56, 54, 49, 48, 51, 53, 52, 55, 57, 63, 58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
6: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59, 27], [26, 31], [29, 30, 36], [33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41, 43], [44, 45], [46, 56, 54], [49, 48], [51], [53, 52, 55, 57, 63, 58, 61, 62, 68], [67, 65, 70, 64, 74, 77, 69, 66], [79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
7: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27, 26, 31], [29, 30], [36, 33, 35], [32, 42, 38], [34, 39], [37, 47, 40], [60, 41, 43], [44, 45, 46], [56, 54], [49, 48, 51], [53, 52, 55], [57, 63], [58, 61, 62], [68, 67, 65], [70, 64], [74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
8: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11, 28], [12, 22], [13, 23, 16], [25, 18], [19, 50], [21, 17, 20], [59, 27], [26, 31], [29, 30, 36], [33, 35, 32], [42, 38], [34, 39, 37], [47, 40], [60, 41, 43], [44, 45, 46], [56, 54, 49], [48, 51], [53, 52], [55, 57, 63], [58, 61, 62], [68, 67, 65], [70, 64, 74], [77, 69], [66, 79, 71, 72, 75], [73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
9: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59], [27, 26, 31], [29, 30, 36], [33, 35, 32], [42, 38], [34, 39, 37], [47, 40], [60, 41, 43], [44, 45, 46], [56, 54], [49, 48, 51], [53, 52, 55, 57, 63], [58, 61], [62, 68, 67], [65, 70, 64, 74], [77, 69, 66, 79, 71, 72, 75, 73], [76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
10: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27], [26, 31, 29], [30, 36], [33, 35], [32, 42, 38], [34, 39], [37, 47, 40], [60, 41, 43], [44, 45, 46], [56, 54, 49], [48, 51, 53], [52, 55], [57, 63, 58], [61, 62], [68, 67, 65], [70, 64], [74, 77], [69, 66, 79, 71, 72, 75, 73, 76], [78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
11: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59, 27], [26, 31, 29], [30, 36, 33], [35, 32], [42, 38], [34, 39, 37], [47, 40, 60], [41, 43, 44], [45, 46, 56], [54, 49, 48, 51, 53, 52, 55, 57, 63, 58], [61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79], [71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
12: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26], [31, 29, 30], [36, 33, 35], [32, 42], [38, 34, 39], [37, 47, 40], [60, 41, 43], [44, 45, 46], [56, 54, 49], [48, 51, 53, 52, 55], [57, 63, 58, 61, 62, 68, 67], [65, 70, 64, 74, 77], [69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
13: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59, 27], [26, 31, 29], [30, 36, 33], [35, 32], [42, 38], [34, 39, 37], [47, 40, 60], [41, 43, 44], [45, 46, 56], [54, 49, 48, 51, 53, 52, 55, 57, 63, 58], [61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75], [73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
14: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11, 28], [12, 22], [13, 23, 16], [25, 18], [19, 50], [21, 17], [20, 59, 27], [26, 31], [29, 30, 36], [33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44, 45], [46, 56, 54], [49, 48], [51, 53], [52, 55, 57], [63, 58], [61, 62, 68], [67, 65, 70, 64], [74, 77, 69], [66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
15: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59], [27, 26, 31], [29, 30, 36], [33, 35, 32], [42, 38], [34, 39, 37], [47, 40, 60], [41, 43, 44], [45, 46, 56], [54, 49, 48], [51, 53, 52], [55, 57], [63, 58, 61], [62, 68], [67, 65, 70, 64, 74], [77, 69], [66, 79, 71, 72, 75, 73, 76, 78], [82, 85, 84, 81, 80, 83], [87, 86, 88]]
16: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27], [26, 31], [29, 30], [36, 33, 35], [32, 42, 38], [34, 39, 37], [47, 40, 60], [41, 43], [44, 45, 46, 56], [54, 49, 48, 51, 53, 52, 55, 57], [63, 58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79], [71, 72, 75, 73, 76], [78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
17: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27], [26, 31], [29, 30], [36, 33, 35], [32, 42, 38], [34, 39, 37], [47, 40, 60], [41, 43], [44, 45, 46, 56], [54, 49, 48, 51, 53, 52, 55, 57], [63, 58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79], [71, 72, 75, 73, 76], [78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
18: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11, 28], [12, 22], [13, 23, 16], [25, 18], [19, 50], [21, 17, 20], [59, 27], [26, 31], [29, 30, 36], [33, 35, 32], [42, 38], [34, 39], [37, 47, 40], [60, 41, 43, 44, 45, 46, 56, 54, 49, 48, 51, 53, 52, 55, 57, 63, 58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83], [87, 86, 88]]
19: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59], [27, 26, 31], [29, 30], [36, 33, 35, 32], [42, 38], [34], [39, 37, 47, 40, 60, 41, 43, 44, 45, 46, 56, 54, 49], [48, 51, 53, 52, 55, 57, 63, 58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
20: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59, 27], [26, 31], [29, 30, 36], [33, 35], [32, 42, 38], [34, 39], [37, 47], [40, 60], [41, 43, 44], [45, 46, 56], [54, 49], [48, 51, 53], [52, 55, 57], [63, 58, 61], [62, 68, 67], [65, 70, 64], [74, 77, 69], [66, 79, 71], [72, 75], [73, 76, 78, 82, 85, 84], [81, 80, 83, 87, 86, 88]]
21: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26, 31], [29, 30, 36, 33], [35, 32, 42], [38, 34, 39], [37, 47], [40, 60], [41, 43, 44], [45, 46, 56], [54, 49, 48], [51, 53, 52], [55, 57, 63, 58, 61, 62], [68, 67, 65, 70, 64, 74, 77, 69, 66, 79], [71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
22: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59, 27], [26, 31], [29, 30, 36], [33, 35], [32, 42, 38, 34], [39, 37], [47, 40], [60, 41, 43, 44], [45, 46, 56], [54, 49, 48], [51, 53], [52, 55, 57], [63, 58, 61], [62, 68, 67], [65, 70], [64, 74, 77], [69, 66], [79, 71, 72], [75, 73, 76, 78, 82], [85, 84], [81, 80, 83], [87, 86, 88]]
23: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12], [22, 13, 23], [16, 25, 18], [19, 50, 21], [17, 20, 59], [27, 26, 31], [29, 30, 36], [33, 35, 32], [42, 38], [34, 39], [37, 47, 40], [60, 41], [43, 44], [45, 46, 56], [54, 49], [48, 51, 53], [52, 55, 57], [63, 58, 61], [62, 68, 67], [65, 70, 64], [74, 77], [69, 66], [79, 71, 72, 75, 73, 76, 78, 82], [85, 84], [81, 80, 83, 87, 86, 88]]
24: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17], [20, 59], [27, 26, 31], [29, 30], [36, 33, 35], [32, 42, 38], [34, 39], [37, 47], [40, 60], [41, 43, 44], [45, 46, 56], [54, 49, 48, 51], [53, 52, 55, 57, 63, 58, 61], [62, 68, 67, 65, 70], [64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
25: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26, 31], [29, 30, 36, 33], [35, 32, 42], [38, 34, 39], [37, 47], [40, 60], [41, 43, 44], [45, 46, 56], [54, 49, 48], [51, 53, 52], [55, 57, 63, 58, 61, 62], [68, 67, 65], [70, 64, 74], [77, 69, 66], [79, 71, 72], [75, 73, 76], [78, 82], [85, 84], [81, 80, 83, 87, 86, 88]]
26: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20, 59], [27, 26, 31], [29, 30, 36], [33, 35, 32], [42, 38], [34, 39, 37, 47], [40, 60], [41, 43, 44], [45, 46], [56, 54, 49], [48, 51, 53], [52, 55, 57], [63, 58, 61], [62, 68, 67], [65, 70, 64], [74, 77], [69, 66, 79], [71, 72], [75, 73, 76, 78, 82], [85, 84], [81, 80, 83], [87, 86, 88]]
27: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27, 26], [31, 29, 30], [36, 33], [35, 32, 42, 38, 34], [39, 37], [47, 40, 60, 41], [43, 44], [45, 46, 56], [54, 49], [48, 51, 53], [52, 55, 57], [63, 58], [61, 62, 68], [67, 65, 70], [64, 74], [77, 69], [66, 79], [71, 72], [75, 73, 76], [78, 82, 85], [84, 81, 80], [83, 87, 86, 88]]
28: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11, 28], [12, 22], [13, 23], [16, 25], [18, 19, 50], [21, 17], [20, 59, 27], [26, 31], [29, 30, 36], [33, 35], [32, 42, 38], [34, 39], [37, 47, 40], [60, 41, 43], [44, 45], [46, 56, 54], [49, 48], [51, 53], [52, 55, 57], [63, 58, 61], [62, 68, 67], [65, 70, 64], [74, 77], [69, 66, 79], [71, 72], [75, 73, 76], [78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
29: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11, 28], [12, 22], [13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27, 26, 31], [29, 30, 36], [33, 35, 32], [42, 38, 34], [39, 37], [47, 40, 60], [41, 43, 44], [45, 46, 56], [54, 49], [48, 51, 53, 52, 55, 57, 63, 58, 61], [62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
30: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12], [22, 13, 23], [16, 25, 18], [19, 50], [21, 17, 20], [59, 27, 26], [31, 29], [30, 36, 33, 35, 32], [42, 38], [34, 39, 37, 47, 40, 60, 41, 43], [44, 45, 46, 56, 54, 49, 48, 51, 53], [52, 55, 57, 63, 58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81], [80, 83, 87, 86, 88]]
31: [[15, 14], [5, 6, 3], [9, 10, 4], [7, 1], [2, 24, 8], [11, 28], [12, 22, 13], [23, 16], [25, 18], [19, 50], [21, 17, 20], [59, 27, 26], [31, 29], [30, 36], [33, 35], [32, 42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44, 45], [46, 56], [54, 49, 48], [51, 53, 52], [55, 57, 63], [58, 61, 62], [68, 67, 65], [70, 64, 74], [77, 69, 66], [79, 71], [72, 75, 73], [76, 78], [82, 85, 84], [81, 80], [83, 87], [86, 88]]
32: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22], [13, 23, 16], [25, 18, 19], [50, 21, 17], [20, 59], [27, 26, 31, 29], [30, 36, 33], [35, 32], [42, 38], [34, 39, 37], [47, 40], [60, 41], [43, 44, 45], [46, 56, 54], [49, 48], [51, 53, 52], [55, 57, 63], [58, 61, 62], [68, 67], [65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86, 88]]
33: [[15, 14], [5, 6], [3, 9, 10], [4, 7], [1, 2, 24], [8, 11], [28, 12, 22, 13], [23, 16, 25], [18, 19, 50], [21, 17, 20], [59, 27, 26, 31], [29, 30, 36], [33, 35, 32], [42, 38, 34, 39, 37, 47], [40, 60, 41, 43, 44], [45, 46, 56, 54, 49, 48, 51, 53, 52, 55, 57, 63], [58, 61, 62, 68, 67, 65, 70, 64, 74, 77, 69, 66, 79, 71, 72, 75, 73, 76, 78, 82, 85, 84, 81, 80, 83, 87, 86], [88]]
