0: [[7, 15, 1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 14], [4, 8, 12], [13, 9, 17], [18, 24], [23, 10, 22], [21, 26, 27], [29]]
1: [[7, 15, 1, 11], [25, 6, 5], [28, 2, 19], [16, 20, 3], [14, 4], [8, 12, 13], [9, 17, 18, 24], [23, 10, 22], [21, 26, 27, 29]]
2: [[7, 15], [1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 4], [8, 14, 12], [13, 9, 17, 18], [24, 23, 10, 22], [21, 26, 27, 29]]
3: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19, 16], [20, 3, 22, 4, 8], [12, 13, 9, 17, 14, 24, 23, 10, 18], [21, 26, 27, 29]]
4: [[7, 15], [1, 11], [25, 6, 5], [28, 2, 19], [16, 20, 3, 4], [8, 14, 12, 13], [9, 17, 18], [24, 23, 10, 22], [21, 26, 27, 29]]
5: [[7, 15, 1], [11, 25], [6, 5, 28], [2, 19, 16], [20, 22, 3], [4, 8, 12], [13, 9, 17], [14, 24, 23], [18, 10], [21, 26, 27, 29]]
6: [[7, 15], [1, 11], [25, 6, 5], [28, 2], [19, 16, 20, 3, 22], [4, 14], [8, 13, 12], [9, 17, 24], [23, 18, 10], [21, 26, 27, 29]]
7: [[7, 15, 1], [11, 25], [6, 5, 28], [2, 19, 16], [20, 3, 14, 4], [8, 12, 13, 9], [17, 22, 18], [23, 10, 24], [21, 26, 27, 29]]
8: [[7, 15], [1, 11, 25], [6, 5, 28], [2, 19, 16, 20], [3, 14], [4, 8, 12], [13, 9, 17, 18], [24, 23, 10, 22], [21, 26, 27, 29]]
9: [[7, 15], [1, 11, 25], [6, 5, 28], [2, 19, 16], [20, 3, 22], [4, 8, 12, 13], [9, 17, 14], [24, 23], [10, 18], [21, 26, 27, 29]]
10: [[7, 15, 1], [11, 25, 6], [5, 28], [2, 19, 16], [20, 3, 14], [4, 8, 12], [13, 9], [17, 18, 24], [23, 10, 22], [21, 26, 27, 29]]
11: [[7, 15, 1], [11, 25, 6], [5, 28, 2], [19, 16], [20, 3, 14], [4, 8, 12, 13], [9, 17, 18], [24, 23, 10, 22], [21, 26, 27, 29]]
12: [[7, 15, 1], [11, 25, 6], [5, 28], [2, 19, 16], [20, 3, 22], [4, 8, 13, 12], [9, 17, 24, 14], [23, 18, 10], [21, 26, 27, 29]]
13: [[7, 15, 1, 11], [25, 6, 5], [28, 2], [19, 16], [20, 3, 4], [8, 14, 12, 13], [9, 17, 22, 24], [23, 10, 18, 21], [26, 27, 29]]
14: [[7, 15], [1, 11], [25, 6], [5], [28, 2, 19], [16], [20, 3, 14], [4, 8, 12], [13, 9, 17], [18, 24, 23], [10, 22], [21, 26, 27], [29]]
15: [[7, 15, 1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 22, 4], [8, 12, 13, 9, 17], [14, 24, 23, 10, 18, 21, 26, 27, 29]]
16: [[7, 15, 1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 4, 8], [14, 13, 12, 9, 17], [18, 24, 23, 10], [22, 21, 26, 27, 29]]
17: [[7, 15, 1, 11], [25], [6, 5, 28, 2], [19, 16, 20], [3], [14], [4, 8, 12], [13], [9, 17, 22], [24, 23, 10, 18], [21, 26, 27, 29]]
18: [[7], [15, 1, 11], [25, 6], [5], [28, 2, 19], [16, 20, 3], [14, 4, 8], [12, 13], [9, 17, 22], [24, 23, 10, 18], [21, 26, 27, 29]]
19: [[7, 15, 1], [11, 25], [6, 5, 28], [2, 19, 16], [20, 3, 14, 4], [8, 12, 13], [9, 17, 18, 24], [23, 10, 22, 21], [26, 27, 29]]
20: [[7, 15, 1], [11, 25, 6], [5, 28, 2], [19, 16, 20], [3, 4, 8, 12], [13, 14, 9, 17], [18], [24, 23, 10, 22], [21, 26, 27, 29]]
21: [[7, 15, 1], [11, 25, 6], [5, 28, 2], [19, 16, 20], [3, 4, 8], [12, 13, 14], [9, 17, 18], [24, 23, 10, 22], [21, 26, 27, 29]]
22: [[7, 15, 1, 11], [25, 6, 5], [28, 2], [19, 16, 20], [3, 22, 4], [8, 12, 13, 9], [17, 14, 24, 23], [10, 18, 21], [26, 27, 29]]
23: [[7, 15], [1, 11, 25], [6, 5, 28], [2, 19, 16], [20, 3, 14, 4], [8, 12, 13], [9, 17, 18, 24], [23, 10, 22, 21], [26, 27, 29]]
24: [[7, 15, 1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 14, 4], [8, 12, 13, 9], [17, 22, 24, 23, 10, 18, 21, 26, 27, 29]]
25: [[7, 15, 1], [11, 25, 6], [5, 28, 2, 19], [16], [20], [3, 14, 4], [8], [12, 13, 9, 17], [18, 24, 23, 10, 22], [21, 26, 27, 29]]
26: [[7, 15, 1], [11], [25, 6, 5], [28], [2, 19, 16], [20, 3, 14, 4], [8, 12, 13, 9], [17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
27: [[7, 15, 1], [11, 25], [6, 5, 28], [2, 19, 16, 20, 22, 3, 4, 8, 12, 13, 9, 17, 18, 24, 23, 10], [14, 21, 26, 27, 29]]
28: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19], [16, 20, 3, 22, 4, 8, 12, 13, 9], [17, 14, 24, 23, 10, 18, 21, 26, 27, 29]]
29: [[7, 15, 1, 11], [25, 6, 5], [28, 2], [19, 16, 20, 3], [4, 8, 14, 12, 13, 9, 17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
30: [[7, 15], [1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 4, 8], [14, 12, 13, 9], [17, 18, 24, 23], [10, 22, 21, 26, 27, 29]]
31: [[7, 15], [1, 11], [25, 6, 5], [28, 2, 19, 16], [20, 3, 4, 8], [14, 12, 13, 9], [17, 18, 24, 23, 10], [22, 21, 26], [27, 29]]
32: [[7, 15], [1, 11], [25, 6, 5], [28, 2, 19], [16, 20, 3, 4], [8, 13], [9, 12, 14, 17], [18, 24, 23, 10], [22, 21, 26, 27], [29]]
33: [[7, 15, 1, 11], [25, 6, 5], [28, 2, 19], [16, 20, 3], [4, 8, 14], [12, 13, 9], [17, 18, 24, 23], [10, 22, 21, 26, 27, 29]]
34: [[7, 15, 1], [11, 25], [6, 5, 28], [2, 19, 16], [20, 22, 3], [4, 8, 12, 13], [9, 17, 14, 24], [23, 18, 10, 21, 26, 27, 29]]
35: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19], [16, 20], [3, 14, 4], [8, 12, 13], [9, 17, 18], [24, 23, 10], [22, 21, 26, 27], [29]]
36: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19], [16, 20, 3, 14, 4], [8, 12, 13, 9], [17, 18, 24], [23, 21, 26, 27, 29, 10, 22]]
37: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19], [16, 20], [3, 14, 4], [8, 12, 13], [9, 17, 18, 24], [23, 10, 22, 21, 26, 27, 29]]
38: [[7], [15, 1, 11], [25, 6, 5], [28, 2, 19], [16, 20], [3, 14, 4], [8, 12, 13], [9], [17, 22, 24, 23, 10, 18, 21, 26, 27, 29]]
39: [[7, 15, 1], [11, 25, 6], [5, 28], [2, 19, 16], [20, 3, 4, 8], [13, 9, 12], [14, 17, 18, 24], [23, 21, 26, 27], [29, 10, 22]]
40: [[7, 15, 1], [11, 25], [6, 5, 28], [2, 19, 16, 20], [22, 3, 4, 8], [12, 13, 9, 17], [18, 24, 23], [21, 26, 27, 29, 10, 14]]
41: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19], [16, 20, 3, 4], [8, 14, 13, 12, 9, 17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
42: [[7, 15, 1, 11], [25, 6, 5, 28], [2, 19, 16, 20, 3, 14, 4, 8, 12, 13, 9, 17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
43: [[7, 15, 1, 11], [25, 6, 5, 28], [2, 19, 16, 20, 3, 4, 8, 14, 13, 12, 9, 17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
44: [[7, 15, 1, 11], [25, 6, 5, 28, 2], [19, 16, 20, 3, 4, 8, 14, 12, 13], [9, 17, 22, 24, 23, 10, 18, 21, 26, 27, 29]]
45: [[7, 15, 1], [11, 25, 6], [5, 28, 2], [19, 16], [20, 3, 14], [4, 8, 12, 13], [9, 17, 18, 24], [23, 10, 22, 21, 26, 27, 29]]
46: [[7, 15], [1, 11], [25, 6, 5, 28], [2, 19, 16, 20], [3, 4, 14], [8, 12, 13, 9], [17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
47: [[7, 15, 1], [11, 25, 6], [5, 28], [2, 19, 16], [20, 3, 14, 4], [8, 12, 13], [9, 17, 18, 24], [23, 10, 22, 21, 26, 27, 29]]
48: [[7, 15, 1], [11, 25, 6, 5], [28, 2, 19], [16, 20], [3, 14, 4, 8], [12, 13, 9], [17, 18, 24, 23], [10, 22, 21, 26, 27, 29]]
49: [[7, 15, 1], [11, 25, 6], [5, 28], [2, 19, 16], [20, 3, 4, 12], [9, 8, 13, 14, 17, 18, 24, 23, 10, 22, 21, 26, 27, 29]]
50: [[7, 15], [1, 11, 25], [6, 5, 28], [2, 19, 16], [20, 3], [4, 14, 8], [12, 13, 9], [17, 18], [24, 23, 10], [22, 21, 26], [27, 29]]
