0: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10, 17, 9], [15, 18, 19, 20, 14]]
1: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10, 17, 9], [15, 18, 19, 20, 14]]
2: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10, 17, 9, 15], [18, 19, 20, 14]]
3: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10], [17, 9, 15, 18, 19, 20, 14]]
4: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10, 17, 9, 15, 18], [19, 20, 14]]
5: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10, 17, 9, 15, 18], [19, 20, 14]]
6: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13], [10, 17, 9, 15, 18], [19, 20, 14]]
7: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4], [13, 10, 17, 9, 15, 18, 19, 20, 14]]
8: [[1, 2, 8], [11, 12], [16, 6, 7], [5, 3, 4], [13, 10, 17, 9, 15], [18, 19, 20, 14]]
9: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4], [13], [10, 17, 9, 15, 18, 19, 20, 14]]
10: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4, 13, 10], [17, 9, 15], [18, 19], [20], [14]]
11: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13, 10], [17, 9, 15], [18, 19, 20, 14]]
12: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13, 10], [17, 9, 15], [18, 19, 20, 14]]
13: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13], [10, 17], [9, 15], [18, 19, 20], [14]]
14: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13], [10, 17], [9, 15], [18, 19, 20], [14]]
15: [[1, 2, 8], [11, 12], [16, 6, 7], [5, 3], [4, 13], [10, 17, 9], [15, 18], [19, 20], [14]]
16: [[1, 2, 8], [11, 12, 16, 6], [7, 5], [3, 4], [13, 10], [17, 9, 15], [18, 19, 20], [14]]
17: [[1, 2, 8], [11, 12], [16, 6, 7], [5, 3], [4, 13], [10, 17, 9], [15], [18, 19, 20, 14]]
18: [[1, 2, 8], [11, 12, 16], [6, 7], [5, 3], [4, 13], [10, 17, 9], [15, 18, 19, 20], [14]]
19: [[1, 2, 8], [11, 12, 16], [6, 7, 5], [3, 4, 13], [10, 17, 9], [15, 18], [19, 20, 14]]
20: [[1, 2, 8], [11, 12], [16, 6, 7], [5, 3, 4], [13, 10, 17, 9, 15, 18, 19], [20, 14]]
21: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13, 10], [17, 9], [15, 18, 19], [20, 14]]
22: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13, 10], [17, 9, 15, 18, 19], [20, 14]]
23: [[1, 2, 8], [11, 12], [16], [6, 7, 5], [3, 4, 13, 10, 17, 9, 15, 18, 19, 20, 14]]
24: [[1, 2, 8], [11, 12, 16], [6, 7], [5, 3], [4, 13], [10, 17, 9, 15], [18, 19, 20, 14]]
25: [[1, 2, 8], [11, 12], [16, 6], [7, 5], [3, 4], [13, 10, 17], [9, 15, 18], [19, 20, 14]]
26: [[1, 2, 8], [11, 12, 16], [6, 7], [5, 3, 4, 13], [10, 17, 9], [15, 18, 19], [20, 14]]
27: [[1, 2, 8], [11, 12], [16, 6], [7, 5, 3], [4, 13, 10], [17, 9], [15, 18], [19, 20, 14]]
28: [[1, 2, 8], [11, 12], [16, 6], [7], [5, 3, 4], [13, 10], [17, 9, 15], [18, 19], [20, 14]]
29: [[1, 2, 8], [11, 12, 16], [6, 7], [5, 3], [4, 13], [10, 17, 9], [15], [18, 19, 20, 14]]
30: [[1, 2, 8], [11, 12, 16, 6], [7, 5], [3, 4, 13, 10, 17], [9, 15, 18, 19, 20], [14]]
31: [[1, 2, 8], [11, 12, 16], [6, 7], [5, 3], [4, 13, 10, 17, 9, 15, 18, 19, 20, 14]]
32: [[1, 2, 8], [11, 12], [16, 6, 7, 5], [3, 4], [13, 10], [17, 9, 15, 18], [19], [20, 14]]
33: [[1, 2, 8], [11, 12, 16, 6, 7, 5, 3, 4], [13, 10, 17, 9, 15, 18, 19, 20, 14]]
34: [[1, 2, 8], [11, 12, 16, 6, 7], [5, 3, 4, 13, 10, 17, 9, 15, 18], [19, 20, 14]]
35: [[1, 2, 8, 11], [12, 16, 6, 7], [5, 3, 4, 13, 10, 17, 9, 15, 18, 19, 20, 14]]
36: [[1, 2], [8, 11], [12, 16], [6, 7, 5], [3, 4], [13, 10], [17, 9, 15], [18, 19], [20, 14]]
37: [[1, 2], [8, 11], [12, 16], [6, 7, 5], [3, 4], [13, 10], [17, 9], [15, 18, 19], [20, 14]]
38: [[1, 2], [8, 11], [12, 16], [6, 7], [5, 3], [4, 13], [10, 17, 9, 15], [18], [19, 20, 14]]
39: [[1, 2, 8, 11], [12, 16], [6, 7], [5, 3], [4, 13], [10, 17], [9, 15, 18], [19, 20, 14]]
