It No., Best MQ, No clusters, max clus, min clus
1,1.9293650793650796,6,7,2
2,2.0815036815036816,5,5,2
3,1.731111111111111,6,6,1
4,1.8231488863808154,7,7,1
5,1.7747766853030011,6,5,2
6,2.1436363636363636,5,5,3
7,2.014361900371718,6,5,2
8,1.8704248366013072,8,4,2
9,1.755994005994006,6,5,2
10,1.952440446443445,7,5,2
11,1.7698564933219663,6,5,2
12,1.7841041998936733,5,6,2
13,2.0717316017316016,6,5,2
14,1.9873815073815073,7,5,1
15,2.157828282828283,7,4,2
16,2.0380808080808084,6,5,2
17,1.8918253968253969,6,5,2
18,1.7047151678730628,6,5,2
19,1.9055860805860805,9,4,1
20,2.0751633986928106,6,6,2
21,1.927958152958153,6,5,2
22,1.6626720253318719,6,5,2
23,1.9660724896019015,8,4,2
24,1.9367972831765936,7,4,2
25,2.068549642079054,7,5,2
26,2.093317793317793,7,5,2
27,1.720996401259559,8,3,1
28,2.0385203385203385,6,6,2
29,1.8974987974987974,6,5,2
30,1.911878652748218,6,7,2
31,2.088455204216074,6,5,2
