0: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15], [18, 16, 17, 22], [23, 21, 24]]
1: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15], [18, 16, 17, 22], [23, 21, 24]]
2: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13, 15], [18, 16, 17], [22, 23, 21, 24]]
3: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13], [15, 18, 16, 17], [22, 23, 21, 24]]
4: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
5: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14, 13], [15, 18, 16, 17], [22, 23, 21, 24]]
6: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
7: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14, 13], [15, 18, 16, 17], [22, 23, 21, 24]]
8: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
9: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
10: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
11: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14, 13], [15, 18, 16, 17], [22, 23, 21, 24]]
12: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
13: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
14: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17, 22], [23, 21, 24]]
15: [[12, 19, 20], [1, 9, 2, 6], [5, 4, 3], [11, 10, 7], [8, 14, 13], [15, 18, 16, 17], [22, 23, 21, 24]]
16: [[12, 19, 20, 1], [9, 2, 6], [5, 4, 3], [11, 10, 7], [8, 14, 13, 15], [18, 16, 17], [22, 23, 21, 24]]
17: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10, 7, 8], [14, 13, 15], [18, 16, 17, 22], [23, 21, 24]]
18: [[12, 19, 20, 1], [9, 2, 6], [5, 4, 3], [11, 10, 7], [8, 14, 13], [15, 18, 16, 17], [22, 23, 21, 24]]
19: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18, 16, 17], [22, 23, 21, 24]]
20: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17], [22, 23, 21, 24]]
21: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18], [16, 17], [22, 23, 21, 24]]
22: [[12, 19, 20], [1, 9, 2, 6], [5, 4, 3], [11, 10, 7, 8], [14, 13, 15, 18], [16, 17, 22], [23, 21, 24]]
23: [[12, 19, 20, 1], [9, 2, 6], [5, 4, 3], [11, 10, 7, 8], [14, 13, 15, 18], [16, 17, 22], [23, 21, 24]]
24: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11], [10, 7, 8], [14, 13, 15], [18, 16, 17, 22], [23, 21, 24]]
25: [[12, 19, 20], [1, 9, 2], [6, 5], [4, 3, 11], [10, 7, 8], [14, 13, 15, 18], [16, 17, 22], [23, 21, 24]]
26: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11], [10, 7, 8], [14, 13, 15], [18, 16, 17], [22, 23, 21, 24]]
27: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11], [10, 7, 8], [14, 13, 15], [18, 16, 17], [22, 23, 21, 24]]
28: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7], [8, 14, 13], [15, 18, 16], [17, 22, 23, 21, 24]]
29: [[12, 19, 20], [1, 9, 2, 6], [5, 4, 3], [11, 10, 7], [8, 14, 13, 15], [18, 16, 17], [22, 23, 21], [24]]
30: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7, 8], [14, 13, 15, 18], [16, 17, 22, 23], [21, 24]]
31: [[12, 19, 20], [1, 9, 2], [6, 5, 4, 3], [11, 10, 7, 8], [14, 13, 15], [18, 16, 17], [22, 23, 21], [24]]
32: [[12, 19, 20], [1, 9, 2], [6, 5, 4], [3, 11, 10], [7, 8, 14], [13, 15, 18, 16], [17, 22, 23], [21, 24]]
