It No., Best MQ, No clusters, max clus, min clus
1,1.4894933468617995,17,6,1
2,1.3910542456604824,11,8,2
3,1.3647680390003234,4,19,11
4,1.4495696856361144,18,8,1
5,1.408999471661608,4,20,10
6,1.5902315853417237,5,23,8
7,1.47829986461111,13,9,3
8,1.412158008818916,4,20,8
9,1.6278514723025852,6,12,8
10,1.6575634954749652,6,16,5
11,1.3808842586274186,4,19,8
12,1.43208600643047,6,13,7
13,1.4837888376847994,5,21,7
14,1.4613524851916468,5,18,6
15,1.377445666658581,6,11,9
16,1.3800586060091948,4,18,9
17,1.4058016856762405,4,21,9
18,1.4231366357153585,4,17,12
19,1.3622870500294977,4,22,8
20,1.6137998112215441,12,8,1
21,1.3748002589541521,4,22,8
22,1.4882376905777661,5,19,6
23,1.5776206831538264,5,20,6
24,1.384646838032019,4,19,9
25,1.5192030332811741,5,17,8
26,1.4643291344679452,16,7,1
27,1.445817308367301,5,19,7
28,1.4843349529963712,11,9,2
29,1.4985157055087277,5,20,8
30,1.4871891868126867,5,17,7
31,1.8547590224470893,19,6,1
