It No., Best MQ, No clusters, max clus, min clus
1,1.2729044834307992,3,5,4
2,1.4415584415584415,3,7,3
3,1.3248663101604277,4,6,2
4,1.2205086580086582,3,6,3
5,1.3311160384331115,3,7,3
6,1.3527777777777779,3,6,3
7,1.375,3,5,3
8,1.3248663101604277,4,6,2
9,1.275,3,7,2
10,1.4648268398268398,3,6,3
11,1.2729044834307992,3,6,3
12,1.265647226173542,3,7,2
13,1.289782608695652,3,6,3
14,1.3077731092436975,3,7,3
15,1.3436363636363637,3,5,3
16,1.289782608695652,3,5,4
17,1.3332309582309583,3,6,3
18,1.3607038123167157,4,5,2
19,1.3585858585858586,3,8,2
20,1.2822510822510824,3,7,2
21,1.3984189723320157,3,6,3
22,1.415064935064935,3,5,3
23,1.3010526315789472,3,5,4
24,1.25,3,5,3
25,1.3077731092436973,3,7,3
26,1.4006349206349205,4,5,2
27,1.0901098901098902,4,5,2
28,1.4006349206349205,4,5,2
29,1.15015015015015,3,7,2
30,1.2729044834307992,3,5,4
31,1.2722077922077921,3,5,3
