0: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15, 10, 14], [7, 24], [16, 23, 12, 22], [18, 19], [25, 20], [21, 27, 26], [28, 29]]
1: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15, 10, 14], [7, 24], [16, 23, 12, 22], [18, 19], [25, 20], [21, 27, 26], [28, 29]]
2: [[3, 5, 6], [4, 8, 17], [2, 1, 9, 13], [11, 15, 10, 14, 7], [22, 16, 19, 12], [28, 18, 23, 24, 20], [21, 27, 26, 25, 29]]
3: [[3, 5, 6], [4, 8, 17], [1, 2, 13, 12], [11, 15, 7], [22, 18, 14, 20, 19, 9, 10, 23, 16, 29, 24], [28, 26, 25, 21, 27]]
4: [[3, 5, 6, 4, 8, 17], [2, 1, 9, 12, 11, 15, 14, 22, 23, 7, 24, 19, 10, 13, 20, 16, 18], [25, 21, 27, 26, 28, 29]]
5: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [14, 11, 15, 7, 10], [13, 24], [18, 23, 12, 22, 16, 19], [25, 21, 20, 26, 27, 28, 29]]
6: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [12, 11, 15], [14, 22, 23, 7], [24, 18], [10, 29, 16, 19], [25, 21, 20, 27], [26, 28, 13]]
7: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15, 10, 22], [7, 25, 24, 19, 12, 20, 18], [14, 16, 21, 27, 23, 26, 28, 29]]
8: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15], [10, 7, 23, 22, 28, 12], [14, 21, 16, 19, 27, 18, 25, 24, 26, 20, 29]]
9: [[3, 5, 6], [4, 8], [17, 2, 1, 9], [13, 11, 15, 10, 12], [23, 24], [20, 7, 14, 22], [18, 16], [25, 19], [21, 27, 26, 28, 29]]
10: [[3, 5, 6], [4, 8], [17, 2, 7, 1], [13, 11, 15], [9, 14], [10, 28, 20], [19, 12], [18, 16, 23, 24, 22], [26, 27], [29, 21, 25]]
11: [[3, 5, 6, 4], [8, 17], [2, 7, 1, 13, 11, 15, 9, 10, 28, 16, 19, 12, 18, 22, 21, 24, 20, 23, 25, 14], [26, 29, 27]]
