0: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
1: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
2: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
3: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
4: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
5: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
6: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
7: [[3, 5, 1], [12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
8: [[3, 5], [1, 12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
9: [[3, 5], [1, 12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
10: [[3, 5], [1, 12, 2, 13, 7], [10, 4], [8, 9, 6, 11]]
11: [[3, 5, 1, 12, 2], [13, 7], [10, 4], [8, 9, 6, 11]]
12: [[3, 5, 1, 12, 2], [13, 7], [10, 4], [8, 9, 6, 11]]
13: [[3, 5, 1], [12, 2, 13, 7, 10], [4, 8], [9, 6, 11]]
14: [[3, 5, 1, 12], [2, 13, 7], [10, 4], [8, 9, 6, 11]]
15: [[3, 5, 1, 12], [2, 13, 7], [10, 4], [8, 9, 6, 11]]
16: [[3, 5, 1], [12, 2], [13, 7, 10], [4, 8, 9, 6, 11]]
17: [[3, 5], [1, 12, 2, 13], [7, 10, 4, 8], [9, 6, 11]]
18: [[3, 5], [1, 12, 2, 13], [7, 10, 4, 8], [9, 6, 11]]
19: [[3, 5], [1, 12, 2, 13], [7, 10, 4, 8], [9, 6, 11]]
20: [[3, 5, 1, 12, 2], [13, 7, 10], [4, 8], [9, 6, 11]]
21: [[3, 5, 1], [12, 2, 13], [7, 10], [4, 8, 9, 6, 11]]
22: [[3, 5], [1, 12, 2, 13], [7, 10, 4], [8, 9, 6, 11]]
23: [[3, 5], [1, 12, 2, 13], [7, 10, 4], [8, 9, 6, 11]]
24: [[3, 5], [1, 12, 2, 13], [7, 10], [4, 8, 9, 6, 11]]
25: [[3, 5], [1, 12, 2, 13], [7, 10], [4, 8, 9, 6, 11]]
26: [[3, 5, 1, 12, 2, 13], [7, 10], [4, 8], [9, 6, 11]]
27: [[3, 5], [1, 12, 2, 13, 7, 10, 4], [8, 9], [6, 11]]
