0: [[37, 16, 15], [27, 14], [1, 7], [38, 41, 19, 3, 20], [11], [30, 47, 32], [5, 17, 22, 8, 18], [44], [25, 9, 4, 13, 6, 10, 21], [23, 28, 24, 12], [26, 39, 31, 36], [29, 33, 42], [50, 34, 43, 40, 35, 2], [45, 51], [52, 48, 54, 55, 46], [60, 56, 53], [49, 58, 59, 57]]
1: [[37, 16, 15], [27, 14], [1, 7], [38, 41, 19, 3, 20], [11], [30, 47, 32], [5, 17, 22, 8, 18], [44], [25, 9, 4, 13, 6, 10, 21], [23, 28, 24, 12], [26, 39, 31, 36], [29, 33, 42], [50, 34, 43, 40, 35, 2], [45, 51], [52, 48, 54, 55, 46], [60, 56, 53], [49, 58, 59, 57]]
2: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [12, 9, 14, 10, 28, 30, 15, 20, 8, 23, 18, 16, 17, 27, 31, 19, 22, 25, 24, 26, 29, 32, 33, 40, 37, 46, 38, 39, 44, 42, 51, 45, 43, 36], [34, 41, 47, 48, 50, 49, 55, 52, 53, 54, 56, 58, 57, 59, 60]]
3: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 30, 10, 15, 12, 14, 29, 16, 22, 19, 18, 17, 27, 20, 23, 24, 25, 26, 28, 31, 32, 38, 41, 45, 36, 39, 37, 40, 42, 33, 43, 44, 46], [34, 47, 59, 51, 50, 48, 54, 52, 53, 55, 49, 57, 58, 56, 60]]
4: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 14, 28, 30, 12, 15, 16, 17, 23, 18, 19, 22, 25, 20, 27, 24, 26, 29, 31, 45, 32, 36, 43, 33, 34, 38, 39, 44, 46, 37, 40, 42, 10], [41, 47, 51, 55, 48, 53, 49, 54, 52, 57, 60, 58, 50, 59, 56]]
5: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 8, 14, 10, 28, 17, 15, 16, 23, 30, 20, 24, 19, 22, 25, 26, 27, 18, 31, 29, 32, 33, 42, 39, 36, 46, 34, 45, 37, 38, 40, 43, 44], [47, 41, 57, 54, 48, 58, 50, 52, 53, 55, 49, 51, 56, 59, 60]]
6: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [8, 9, 12, 28, 26, 10, 23, 16, 14, 15, 17, 25, 20, 24, 18, 22, 19, 30, 27, 31, 29, 36, 39, 44, 33, 32, 38, 34, 37, 45, 40, 46, 43, 42], [41, 47, 49, 48, 53, 51, 54, 56, 52, 50, 59, 55, 60, 57, 58]]
7: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [8, 9, 12, 22, 15, 10, 17, 31, 27, 24, 19, 16, 20, 14, 26, 28, 18, 23, 25, 29, 30, 37, 33, 40, 32, 38, 36, 34, 45, 42, 39, 44, 43, 46], [41, 47, 49, 51, 48, 52, 53, 58, 50, 54, 55, 56, 59, 57, 60]]
8: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [8, 9, 12, 10, 25, 14, 17, 27, 30, 29, 15, 22, 23, 16, 18, 31, 28, 19, 20, 24, 26, 37, 34, 47, 32, 33, 38, 36, 44, 45, 43, 42, 39, 40], [41, 48, 51, 52, 56, 50, 53, 46, 54, 49, 55, 58, 59, 57, 60]]
9: [[35, 7, 11, 2, 1, 3, 4], [13, 21, 5, 6], [12, 9, 24, 14, 10, 8, 15, 23, 16, 19, 30, 18, 29, 17, 20, 22, 27, 25, 26, 28, 31, 32, 40, 42, 39, 33, 44, 38, 45, 34, 36, 37, 41, 43], [46, 51, 59, 47, 52, 49, 54, 48, 53, 55, 57, 50, 56, 58, 60]]
10: [[35, 7, 11, 2, 1, 3, 4], [13, 5, 21, 6], [12, 9, 8, 15, 14, 29, 26, 19, 16, 20, 17, 23, 25, 18, 30, 31, 28, 27, 22, 24, 36, 33, 32, 34, 39, 37, 38, 40, 43, 42, 41, 44, 45, 10], [46, 47, 48, 52, 53, 50, 51, 49, 54, 55, 56, 59, 57, 58, 60]]
11: [[35, 7, 11, 2], [1, 3, 4, 13, 21, 5, 6], [9, 8, 14, 20, 26, 12, 23, 17, 29, 15, 16, 27, 22, 24, 18, 19, 25, 28, 30, 31, 56, 54, 32, 42, 37, 33, 38, 34, 39, 45, 40, 36, 43, 10], [41, 58, 48, 55, 44, 47, 49, 46, 52, 51, 57, 50, 53, 59, 60]]
