0: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
1: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
2: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
3: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
4: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
5: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
6: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
7: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
8: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
9: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
10: [[15, 14, 79], [44, 40, 39], [43, 11, 31], [8, 26, 41], [20, 87, 58], [16, 4], [13, 22, 12], [49, 25, 86], [69, 35, 10], [82, 84, 75], [17, 28, 52], [74, 33, 30], [1, 60, 2], [37, 3, 7], [36, 24, 23], [9, 34, 6], [29, 32, 62], [64, 19, 50], [27, 18, 47], [5, 42, 38], [45, 51, 56], [46, 55, 63], [85, 21, 59], [53, 70, 54], [68, 88, 57], [76, 71, 67], [73, 72, 77], [78, 61, 48], [80, 81], [65, 83, 66]]
