0: [[7, 12, 2], [5, 3], [10, 4, 1], [8, 13, 6, 9, 11]]
1: [[7, 12, 2], [5, 3], [10, 1, 4], [8, 13, 6, 9, 11]]
2: [[7, 12, 2], [5, 3], [10, 1, 4], [8, 13, 6, 9, 11]]
3: [[7, 12, 2], [5, 3], [10, 1, 4], [8, 13, 6, 9, 11]]
4: [[2, 7, 12, 3, 5], [10, 1, 4], [8, 13, 6, 9, 11]]
5: [[12, 2, 7], [3, 5], [10, 1, 4, 8, 13], [6, 9, 11]]
6: [[12, 2, 7], [3, 5], [10, 1, 4, 8], [13, 6, 9, 11]]
7: [[12, 7], [5, 10], [1, 4, 3], [8, 13, 2], [6, 9, 11]]
8: [[2, 7, 12], [3, 5, 10, 1], [4, 8, 13, 6, 9, 11]]
9: [[2, 7, 12], [3, 5, 10, 1], [4, 8, 13, 6, 9, 11]]
10: [[12, 3, 5, 10, 2], [1, 4], [8, 13, 6], [9, 11, 7]]
11: [[2, 7, 12], [3, 5, 10, 1, 4, 8, 13], [6, 9, 11]]
12: [[2, 7, 12], [3, 5, 10, 1, 4, 8], [13, 6, 9, 11]]
13: [[12, 2], [3, 5, 10], [1, 4, 8], [13, 6, 9, 11, 7]]
14: [[12, 2], [3, 5], [10, 1], [4, 8, 13, 7], [6, 9, 11]]
15: [[12, 2], [3, 5, 10], [1, 4], [8, 13, 6], [9, 11, 7]]
16: [[7, 12, 2], [5, 10], [1, 4, 3], [8, 13], [6, 9, 11]]
17: [[7, 12, 2], [5, 10], [1, 4, 3], [8, 13], [6, 9, 11]]
18: [[12, 3, 5, 10, 2], [1, 4, 8], [13, 6], [9, 11, 7]]
19: [[7, 12, 2], [5, 10], [1, 4, 3], [8, 13, 6], [9, 11]]
20: [[7, 12, 3, 2], [5, 10, 1, 4], [13, 6, 9], [11, 8]]
21: [[12, 3, 5, 2], [10, 1], [4, 8], [13, 6, 9, 11, 7]]
22: [[7], [12], [5, 10, 1, 2, 3], [4, 8, 13, 6, 9, 11]]
23: [[2, 7], [12, 3, 5, 10, 1, 4], [8, 13, 6, 9, 11]]
24: [[12, 2], [3, 5, 10, 1], [4, 8], [13, 6], [9, 11, 7]]
25: [[12, 3, 5, 2], [10, 1], [4, 8], [13, 6], [9, 11, 7]]
26: [[12, 3, 5, 2], [10, 1], [4, 8, 13, 7], [6, 9], [11]]
27: [[12, 3], [5, 10, 1], [4, 8, 13, 2, 7], [6, 9, 11]]
