0: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
1: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
2: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
3: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
4: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
5: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
6: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
7: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
8: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
9: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
10: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
11: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
12: [[15, 17, 9, 1, 6], [4, 7, 3, 5, 8, 11, 13, 10, 14], [22, 2, 19, 16, 24, 18, 23, 12], [20, 25], [21, 27, 26, 28, 29]]
