0: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9, 11, 12], [14, 15, 16], [19, 17, 18, 20]]
1: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9], [11, 12], [14, 15, 16], [19, 17, 18, 20]]
2: [[2, 7], [1, 3], [4, 5], [6, 10, 8], [13, 9], [11, 12], [14, 15, 16], [19, 17, 18, 20]]
3: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9, 11, 12], [14, 15], [16, 19, 17, 18, 20]]
4: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9, 11, 12], [14, 15], [16, 19, 17, 18, 20]]
5: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9, 11, 12], [14, 15], [16, 19, 17, 18, 20]]
6: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9, 11, 12], [14, 15], [16, 19, 17, 18, 20]]
7: [[1, 2], [4, 5, 6, 7], [10, 8], [13, 9, 11, 3], [12, 14, 15, 16], [19, 17, 18, 20]]
8: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9, 11, 12], [14, 15, 16, 19, 17, 18, 20]]
9: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 9, 11, 3], [12, 14, 15, 16], [19, 17, 18, 20]]
10: [[1, 2], [4, 5, 6, 7], [10, 8], [13, 9, 11, 3], [12, 14, 15, 16, 19, 17, 18, 20]]
11: [[7], [1, 3], [5, 6, 10, 8, 13, 2, 4], [9, 11, 12], [14, 15, 16, 19, 17, 18, 20]]
12: [[1, 4, 2, 3], [5, 6, 7], [10, 8], [13, 9, 11, 12], [14, 15, 16, 19, 17, 18], [20]]
13: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 3], [9, 11, 12, 14, 15, 16], [19, 17, 18, 20]]
14: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 3], [9, 11, 12, 14, 15, 16], [19, 17, 18, 20]]
15: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 3], [9, 11, 12, 14, 15, 16], [19, 17, 18, 20]]
16: [[1, 4, 2, 3], [5, 6, 7], [10, 8, 13], [9, 11, 12, 14], [15, 16], [19, 17, 18, 20]]
17: [[2, 7], [1, 3], [4, 5], [6, 10, 8], [13, 9], [11, 12, 14], [15, 16, 19], [17, 18, 20]]
18: [[2, 7], [1, 3], [4, 5, 6], [10, 8], [13, 9], [11, 12], [14, 15], [16, 19, 17], [18, 20]]
19: [[1, 2], [4, 5, 6, 7], [10, 8], [13, 9, 11, 3], [12, 14], [15, 16, 19], [17, 18, 20]]
20: [[1, 3], [4, 5], [6, 10, 8, 2, 7], [13, 9, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
21: [[1], [4, 3], [5, 6, 2, 7], [10, 8], [13, 9], [11, 12, 14], [15, 16, 19], [17, 18, 20]]
22: [[2, 7], [1, 3], [4, 5], [6, 10, 8], [13, 9], [11, 12, 14], [15, 16], [19, 17], [18, 20]]
23: [[1], [4, 5], [6, 10, 8, 13, 2, 7], [9, 11, 3], [12, 14, 15, 16, 19, 17, 18, 20]]
24: [[1], [4, 5], [6, 10, 8, 2, 7], [13, 9, 11, 3], [12, 14], [15, 16, 19], [17, 18, 20]]
25: [[1], [4, 5], [6, 10, 8, 2, 7], [13, 9, 11, 3], [12, 14, 15], [16, 19], [17, 18, 20]]
26: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 9, 3], [11, 12, 14], [15, 16], [19, 17], [18, 20]]
27: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 9, 3], [11, 12, 14], [15, 16], [19, 17], [18, 20]]
28: [[2, 7], [1, 3], [4, 5], [6, 10, 8, 13], [9, 11, 12], [14, 15], [16, 19], [17, 18, 20]]
29: [[2, 7], [1, 3], [4], [5, 6, 10, 8], [13, 9], [11, 12, 14, 15, 16, 19, 17, 18, 20]]
30: [[2, 7], [1, 3], [4, 5, 6, 10], [8, 13, 9], [11, 12, 14], [15, 16], [19, 17], [18, 20]]
31: [[1, 4, 2], [5, 6, 7], [10, 8, 13], [9, 11, 3], [12, 14], [15, 16, 19], [17, 18, 20]]
32: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 3], [9, 11], [12, 14, 15], [16, 19], [17, 18, 20]]
33: [[1], [4, 5], [6, 10, 2, 7], [8, 13, 3], [9, 11], [12, 14], [15, 16], [19, 17], [18, 20]]
34: [[2, 7], [1, 3, 4, 5, 6, 10, 8, 13, 9], [11, 12, 14, 15, 16, 19, 17, 18, 20]]
35: [[7], [1, 2], [3, 5, 10, 4, 6], [8, 13, 9, 11], [12, 14, 15, 16, 19], [17, 18, 20]]
36: [[1, 3, 5, 2], [6, 10, 7, 4], [8, 13, 9, 11], [12, 14], [15, 16, 19, 17], [18, 20]]
37: [[2, 7], [1, 3], [4, 5, 6], [10, 8, 13, 9, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
38: [[2, 7], [1, 3], [4, 5, 6, 10, 8, 13, 9, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
39: [[2, 7], [1, 3, 4, 5], [6, 10, 8, 13, 9, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
40: [[2, 7], [1, 3, 4, 5], [6, 10, 8, 13, 9, 11, 12, 14, 15, 16, 19, 17, 18, 20]]
41: [[2, 7], [1, 3, 4, 5, 6, 10, 8, 13, 9, 11, 12, 14, 15, 16, 19, 17], [18, 20]]
