0: [[13, 1, 19, 2], [3, 4], [6, 5], [7, 11], [8, 9, 15], [10, 14], [12, 20, 17], [18, 16, 22], [23, 21, 24]]
1: [[13, 1, 19], [2, 3, 4, 6, 5, 7, 11, 8, 9, 15, 10, 14, 12, 20, 17, 18, 16, 22], [23, 21, 24]]
2: [[2], [3, 4, 6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10], [14, 12], [20, 17], [18, 16], [22, 23, 21, 24]]
3: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23, 21, 24]]
4: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23, 21, 24]]
5: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23, 21, 24]]
6: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23, 21, 24]]
7: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23, 21, 24]]
8: [[2], [4], [6, 5, 13], [7, 11], [8, 9], [15, 10, 19], [14, 12], [20, 17, 18], [16, 22, 1, 3], [23, 21, 24]]
9: [[2], [4], [6, 5, 13], [7, 11], [8, 9], [15, 10, 19], [14, 12], [20, 17, 18], [16, 22, 1, 3], [23, 21, 24]]
10: [[2], [4], [6, 5, 13], [7, 11], [8, 9], [15, 10, 19], [14, 12, 20], [17, 18], [16, 22, 1, 3], [23, 21, 24]]
11: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10], [14, 12, 20], [17, 18, 16], [22, 23, 21, 24]]
12: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10], [14, 12], [20, 17, 18, 16], [22, 23, 21, 24]]
13: [[2, 1], [3, 4], [6, 5, 13], [7, 11], [8, 9, 15], [10, 14], [12, 20, 17, 19], [18, 16], [22, 23], [21, 24]]
14: [[2], [3, 4, 6], [5, 7], [11, 8, 13, 1], [9, 15], [10, 14, 12, 19], [20, 17, 18], [16, 22], [23, 21, 24]]
15: [[2], [4, 19], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
16: [[2], [4, 19], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10], [14, 12, 20, 17], [18, 16, 3], [22, 23], [21, 24]]
17: [[2], [3, 4], [6, 5, 7], [11, 8, 13, 1, 19], [9, 15, 10], [14, 12, 20], [17, 18, 16], [22, 23, 21, 24]]
18: [[2], [4], [6, 5, 13], [7, 11, 8], [9, 15], [10, 14], [12, 20, 1, 19], [17, 18, 16, 3], [22, 23], [21, 24]]
19: [[2, 1], [3, 4, 19], [6, 5, 13], [7, 11], [8, 9, 15], [10, 14], [12, 20, 17, 18, 16, 22, 23, 21, 24]]
20: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
21: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
22: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
23: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
24: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
25: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
26: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
27: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
28: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 3], [22, 23], [21, 24]]
29: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 22, 23, 3], [21, 24]]
30: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17], [18, 16, 22, 23, 3], [21, 24]]
31: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10, 14, 12, 20, 17], [18, 16, 22, 23, 21, 24]]
32: [[13, 1], [19, 2, 3, 4, 6, 5, 7, 11, 8, 9, 15, 10, 14, 12, 20, 17, 18, 16, 22, 23], [21, 24]]
33: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12], [20, 17, 18], [16, 22, 23, 3], [21, 24]]
34: [[2], [4], [6, 5, 13], [7, 11], [8, 9, 1], [15, 10, 19], [14, 12, 20], [17, 18], [16, 22, 23, 3], [21, 24]]
35: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10, 14, 12, 20], [17, 18, 16, 22, 23, 21, 24]]
36: [[2], [3, 4, 6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10], [14, 12], [20, 17], [18, 16, 22, 23, 21, 24]]
37: [[2, 1], [3, 4], [6, 5, 13], [7, 11, 8, 9], [15, 10, 14, 12, 19], [20, 17, 18, 16, 22, 23, 21, 24]]
38: [[2], [3, 4], [6, 5, 13], [7, 11, 8], [9, 15], [10, 14], [12, 20, 1, 19], [17, 18, 16, 22, 23, 21, 24]]
39: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1, 19], [15, 10, 14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
40: [[2, 1], [3, 4, 19], [6, 5, 13], [7, 11, 8, 9, 15], [10, 14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
41: [[2], [3, 4], [6, 5, 7], [11, 8], [9, 15], [10, 14], [12, 20, 13, 1, 19], [17, 18], [16, 22, 23, 21, 24]]
42: [[2], [3, 4, 6, 5, 7], [11, 8, 9, 13, 1], [15, 10, 14, 12, 19], [20, 17, 18, 16, 22, 23, 21, 24]]
43: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1], [15, 10, 19], [14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
44: [[2], [3, 4], [6, 5], [7, 11], [8, 9, 13, 1], [15, 10, 19], [14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
45: [[2], [3, 4], [6, 5, 7], [11, 8, 9, 13, 1], [15, 10, 14, 12, 19], [20, 17, 18, 16, 22, 23, 21, 24]]
46: [[13, 1], [2], [3, 4, 19], [6, 5, 7, 11], [8, 9, 15, 10, 14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
47: [[13, 1, 19], [2, 3, 4, 6], [5, 7, 11, 8, 9, 15, 10, 14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
48: [[13, 1], [19, 2, 3, 4, 6, 5, 7, 11, 8], [9, 15, 10, 14, 12, 20, 17, 18, 16, 22, 23, 21, 24]]
49: [[13], [1, 19, 2, 3, 4, 6, 5, 7, 11, 8, 9, 15, 10, 14, 12, 20, 17, 18, 16, 22, 23, 21], [24]]
