0: [[17, 4, 2, 9, 12, 6, 8, 7, 13, 16], [24, 3, 10, 15, 28, 19, 1, 5, 11, 14, 18], [22, 23, 29, 20, 25], [26, 21, 27]]
1: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
2: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
3: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
4: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
5: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
6: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
7: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
8: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
9: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
10: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
11: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
12: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
13: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
14: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
15: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
16: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
17: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
18: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
19: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
20: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
21: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
22: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
23: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
24: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
25: [[17, 4, 2, 7, 1, 9, 12, 6, 8], [11, 24, 3, 5, 10, 15, 13, 18, 28, 16, 19, 14], [22, 20, 23, 25, 29], [26, 21, 27]]
