0: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
1: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
2: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
3: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
4: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
5: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
6: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
7: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
8: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
9: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
10: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
11: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
12: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
13: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
14: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
15: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
16: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
17: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
18: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
19: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
20: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
21: [[6, 5, 28, 25], [8, 9, 24, 7], [23, 4, 12, 22], [1, 3, 20, 10, 14], [19, 2, 16, 18], [17, 11, 13, 15], [26, 21, 27, 29]]
