0: [[35, 7, 2], [3, 4, 11], [13, 5, 21, 6], [20, 8, 1, 14, 24, 15, 23, 9, 28, 17, 19, 16, 26, 27, 31, 12, 40, 60, 22, 25, 45, 30, 38, 32, 59, 33, 34, 46, 47, 41, 29, 37, 18, 10], [39, 36, 42, 50, 43, 55, 51, 44, 48, 52, 54, 53, 56], [57, 49], [58]]
1: [[35, 7, 2], [3, 4, 11], [13, 5, 21], [1, 8, 6], [12, 14, 15, 9, 16, 18, 10], [19, 24, 22, 23, 25, 20, 26, 17, 30, 27, 28], [29, 31, 32, 48, 42, 38, 51, 37, 34, 41, 44, 36, 33], [45, 39, 43, 50], [40, 56, 46, 47, 59], [49, 54, 53, 52, 55, 57, 58, 60]]
2: [[35, 7, 2], [3, 4, 11], [13, 5, 21], [1, 8, 6], [12, 14, 15, 9, 16, 18, 10], [19, 24, 22, 23, 25, 20, 26, 17, 30, 27, 28], [29, 31, 32, 48, 42, 38, 51, 37, 34, 41, 44, 36, 33], [45, 39, 43, 50], [40, 56, 46, 47, 59], [49, 54, 53, 52, 55, 57, 58, 60]]
3: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5, 6], [14, 15, 10], [24, 31, 27, 16, 8, 9, 12, 19, 20], [17, 22, 23, 18, 28, 29, 25, 42, 30, 48], [26, 41, 40, 39, 32, 38, 33, 34, 37], [36, 43, 47, 44, 45, 46, 54, 50, 53, 51, 52, 55, 60], [57, 49, 58, 56, 59]]
4: [[35, 7, 2], [3, 4, 11], [13, 21, 1, 5], [22, 8, 6], [10, 12, 15, 31, 27, 16, 23, 9, 18, 19, 24, 29, 26], [51, 28, 14, 17, 20, 25, 32, 33, 59, 38, 47, 44], [42, 39, 30, 37, 34, 36, 41, 40, 48, 43], [56, 57, 49, 54, 45, 55, 46, 52, 60, 58], [53, 50]]
5: [[35, 7, 2], [3, 4, 11], [13, 9, 21, 6], [1, 5, 12, 8, 14, 24, 15, 31, 16, 18, 10], [27, 17, 23, 19], [25, 22, 20, 28, 26, 30, 29, 34], [48, 40, 38, 37, 32, 41, 36], [39, 46, 45, 44, 43, 33, 47, 42], [50, 49, 51, 52, 53, 54, 55, 56, 57, 59, 58, 60]]
6: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 6, 22, 8, 9], [10, 12, 15, 23, 18], [1, 14, 16, 20, 19, 25, 31, 30, 17, 28, 29, 24, 26, 27, 36, 33, 59, 32], [43, 46, 47, 34, 38, 37, 39, 40, 41, 44, 42, 58], [45, 51, 53, 54, 50, 55, 49, 52, 57, 56, 48, 60]]
7: [[35, 7, 2], [3, 4, 11], [13, 5, 21, 6], [14, 9, 8, 1, 12, 15, 17, 20, 19, 10], [22, 31, 16, 23, 24, 26, 18], [25, 27, 30, 28, 29, 54, 32, 42, 33, 37, 36, 46, 45, 40, 38, 34, 44, 39, 43, 41, 51, 47, 53, 59, 49, 50, 55, 57, 48, 52, 58, 60, 56]]
8: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 6, 8], [10, 1, 9, 12, 29, 14, 16, 20, 17, 15, 30, 19, 23], [18, 22, 24, 26, 25, 27, 28, 52, 31, 33, 56, 32], [38, 46, 34, 36, 39, 41, 37, 42, 45, 44], [40, 43, 58, 51, 47, 54, 50, 49, 48, 53, 60, 57], [55, 59]]
9: [[35, 7, 2], [3, 4, 11], [13, 21, 5, 1, 6, 14, 9, 8, 17], [28], [12, 30, 22, 10, 27, 18, 15, 19, 16, 20, 23, 24, 26, 25, 31, 57, 38, 33, 29, 32, 44, 37, 36, 45, 39, 47, 34, 41, 40, 42, 43, 46, 48], [49, 51, 53], [50, 55, 54, 52], [59, 60, 56, 58]]
10: [[35, 7, 2], [3, 4, 11], [13, 1, 21, 6], [9, 5, 8, 30, 28, 15, 31, 25, 19, 18, 10], [12, 14, 16, 17, 20, 22, 23, 24, 27, 26, 29, 38, 48], [40, 36], [33, 32, 41, 34, 43, 47, 37, 46, 44, 45, 42], [39, 49, 51, 50, 54, 52, 53, 55, 60, 56, 59, 58, 57]]
