0: [[2, 5, 1, 7], [8, 10], [3, 4], [12, 11, 13], [14, 16, 6, 15, 9], [18, 17, 20, 19]]
1: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 16, 17, 18, 20]]
2: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 19, 16, 20]]
3: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 17, 16, 18, 20]]
4: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 17, 16, 18, 20]]
5: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 19, 16, 20]]
6: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 19, 16, 17, 20]]
7: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 17, 16, 18, 20]]
8: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 16, 17, 19, 20]]
9: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 18, 16, 17, 20]]
10: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 16, 17, 19, 20]]
11: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
12: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 19, 16, 20]]
13: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 19, 16, 20]]
14: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
15: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
16: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 16, 17, 18, 20]]
17: [[2, 5, 1, 7, 8, 10], [3, 6, 14, 4, 13, 9, 11], [12, 15, 19, 17, 16, 18, 20]]
18: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 12, 13, 9, 11], [4, 15, 19, 17, 16, 18, 20]]
19: [[2, 5, 1, 7, 8, 10, 3], [14, 6, 12, 13, 9, 11], [4, 16, 15, 19, 17, 18, 20]]
20: [[2, 5, 1, 7, 8, 10, 3], [14, 6, 12, 13, 9, 11], [20, 4, 15, 17, 16, 19, 18]]
21: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
22: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 19, 18, 16, 17, 20]]
23: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 16, 17, 19, 20]]
24: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 19, 16, 18, 17, 20]]
25: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 19, 17, 20, 18, 16]]
26: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 19, 16, 20, 18, 17]]
27: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 19, 17, 20, 16, 18]]
28: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 16, 19, 17, 20]]
29: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 19, 16, 20]]
30: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 19, 16, 20]]
31: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
32: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
33: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
34: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
35: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 9, 11], [12, 15, 18, 17, 16, 19, 20]]
36: [[2, 5, 1, 7, 8, 10, 3], [6, 14, 4, 13, 15, 16], [11, 12, 9, 18, 19, 17, 20]]
37: [[2, 5, 1, 7, 8, 10, 3], [4, 14, 6, 13, 9, 16], [12, 15, 11, 18, 17, 19, 20]]
38: [[2, 5, 1, 7], [8, 10], [3, 6], [12, 4, 13], [14, 11, 9, 15, 17], [18, 16, 19, 20]]
39: [[2, 5, 1, 7, 8, 10], [3, 4, 14, 11, 13, 9, 16], [6, 15, 12, 17, 19, 20, 18]]
40: [[5, 1, 2], [7, 8], [10, 3, 6], [12, 11, 13], [14, 15, 17, 4, 9], [16, 18, 20, 19]]
41: [[2, 5, 1, 7, 8], [10, 3, 6], [14, 4], [13, 9], [11, 12, 15, 19], [16, 17, 18, 20]]
