0: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
1: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
2: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
3: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
4: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
5: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
6: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13], [14, 16, 6, 15]]
7: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 12, 13, 4], [14, 16, 6, 15]]
8: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13], [14, 16, 6, 15]]
9: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 4], [12, 13, 14], [16, 6, 15]]
10: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20], [5, 12], [13, 14, 16, 4, 6, 15]]
11: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13, 14], [16, 6, 15]]
12: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13, 14], [16, 6, 15]]
13: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13, 14], [16, 6, 15]]
14: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13, 14], [16, 6, 15]]
15: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13, 14], [16, 6, 15]]
16: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 4], [12, 13, 14, 16, 6, 15]]
17: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19], [17, 20], [5, 4], [12, 13, 14], [16, 6, 15]]
18: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20, 5], [12, 13, 14, 16, 15, 4, 6]]
19: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19], [17, 20], [5, 4], [12, 13, 14], [16, 6, 15]]
20: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17], [20, 5, 12, 13, 14, 16, 15, 4, 6]]
21: [[3, 11], [10, 7, 9], [2, 8], [1, 18, 19], [17, 20, 5], [12, 13], [14, 16, 4, 6, 15]]
22: [[3, 11], [10, 7, 9], [2, 8], [1, 18, 19, 17], [20, 5, 4], [12, 13, 14], [16, 6, 15]]
23: [[3, 11], [10, 7, 9], [2, 8], [1, 18], [19, 17, 20], [5, 4], [12, 13, 14], [16, 6, 15]]
24: [[3, 11], [10, 7], [2, 8, 1, 9], [18, 19, 17], [20, 5, 4], [12, 13, 14, 16, 6, 15]]
25: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6, 15]]
26: [[3, 11], [10, 7], [2, 8, 9], [1, 18, 19], [17, 20, 5], [12, 13], [14, 16, 4, 6, 15]]
27: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6, 15]]
28: [[3, 11], [10, 7, 9], [2, 8, 1], [18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6, 15]]
29: [[3, 11], [10, 7, 9], [2, 8, 1, 18, 19, 17, 20, 5], [12, 13], [14, 16, 4, 6], [15]]
30: [[3, 11], [10, 7, 9], [2, 8, 1, 18], [19, 17, 20, 5, 12, 13, 14, 4], [16, 6, 15]]
31: [[3, 11], [10, 7, 9], [2, 8, 1, 18], [19, 17, 20, 5, 12, 13, 14, 4], [16, 6, 15]]
32: [[3, 11], [10, 7], [2, 8, 9], [1, 18, 19], [17, 20, 5], [12, 13], [14, 16, 4, 6], [15]]
33: [[3, 11], [10, 7], [2, 8, 1, 9], [18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6, 15]]
34: [[3, 11], [10, 7, 9], [2, 8], [1, 18], [19, 17, 20], [5, 12], [13, 14, 16, 4, 6], [15]]
35: [[3, 11], [10, 7, 9, 2], [8, 1, 18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6, 15]]
36: [[3, 11, 10], [7, 9, 2, 8, 1], [18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6, 15]]
37: [[3, 11], [10, 7], [2, 9], [8, 1, 18, 19], [17, 20, 5, 12, 13, 14, 16, 15, 4, 6]]
38: [[3, 11, 10], [7, 2], [8, 1, 18], [19, 17, 20], [5, 12, 9], [13, 14, 16, 4, 6], [15]]
39: [[3, 11, 10], [7, 2], [8, 1, 18], [19, 17, 20], [5, 12, 9], [13, 14, 16, 4, 6], [15]]
40: [[3, 11, 10], [7, 9, 2, 8, 1, 18, 19, 17, 20, 5, 4, 12], [13, 14, 16, 6, 15]]
41: [[3, 11], [10, 7, 9, 2, 8, 1, 18, 19, 17, 20, 5, 4, 12, 13, 14, 16, 6], [15]]
