0: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27, 8, 11], [13, 12, 22, 16], [18, 21, 17], [23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82], [83, 81, 85, 80], [86, 84, 87, 88]]
1: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27, 8, 11], [13, 12, 22, 16], [18, 21, 17], [23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42], [37, 43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85, 80], [86, 84, 87, 88]]
2: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27, 8, 11], [13, 12, 22, 16], [18, 21, 17], [23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75], [73, 74, 78], [77, 79, 82], [83, 81], [85, 80, 86, 84, 87, 88]]
3: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82], [83, 81, 85], [80, 86], [84, 87, 88]]
4: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82], [83, 81], [85, 80, 86], [84, 87, 88]]
5: [[36, 2, 1], [14, 15], [5, 3, 4], [7, 6], [10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86, 84], [87, 88]]
6: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27, 8, 11], [13, 12, 22, 16], [18, 21, 17], [23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69], [76, 70, 75], [73, 74, 78], [77, 79, 82, 83, 81, 85, 80, 86, 84, 87, 88]]
7: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86], [84, 87, 88]]
8: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86], [84, 87, 88]]
9: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86], [84, 87, 88]]
10: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27, 8, 11], [13, 12, 22, 16], [18, 21, 17], [23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71], [64, 65, 68], [72, 66, 69], [76, 70], [75, 73, 74, 78, 77, 79, 82, 83, 81, 85, 80, 86, 84, 87, 88]]
11: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76, 70], [75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86], [84, 87, 88]]
12: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72, 66], [69, 76, 70], [75, 73, 74], [78, 77], [79, 82, 83], [81, 85, 80, 86], [84, 87, 88]]
13: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72, 66], [69, 76, 70], [75, 73, 74], [78, 77], [79, 82, 83], [81, 85, 80, 86], [84, 87, 88]]
14: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83, 81], [85, 80], [86, 84], [87, 88]]
15: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27], [8, 11, 13], [12, 22], [16, 18, 21], [17, 23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86], [84, 87, 88]]
16: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6, 10], [9, 27], [8, 11, 13], [12, 22], [16, 18, 21], [17, 23, 24], [19, 50], [20, 28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82, 83], [81, 85], [80, 86], [84, 87, 88]]
17: [[36, 2, 1], [14, 15, 5], [3, 4], [7, 6], [10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61], [51, 59, 57], [58, 62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75], [73, 74, 78], [77, 79, 82], [83, 81, 85], [80, 86, 84], [87, 88]]
18: [[36, 2, 1], [14, 15, 5], [3, 4, 7], [6, 10, 9], [27, 8, 11], [13, 12, 22], [16, 18, 21], [17, 23, 24], [19, 50, 20], [28, 29, 25], [26, 41, 60], [31, 30, 33], [32, 39, 34], [35, 40, 47], [38, 42, 37], [43, 46, 44], [45, 53, 56], [49, 54, 55], [52, 48, 61, 51], [59, 57, 58], [62, 63], [67, 71, 64], [65, 68, 72], [66, 69, 76], [70, 75, 73], [74, 78, 77], [79, 82], [83, 81, 85], [80, 86, 84], [87, 88]]
