0: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
1: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
2: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
3: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
4: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
5: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
6: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
7: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
8: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
9: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
10: [[17, 2, 6, 5, 9, 1], [3, 4, 11, 13, 12, 15, 8], [28, 10, 23, 16, 18, 7, 19, 22, 20, 24, 14], [25, 21, 26, 27, 29]]
