0: [[59, 7, 35, 2, 1], [3, 4], [13, 5, 21, 6], [14, 11, 27], [8, 9, 12, 31, 26, 19, 15, 22, 24, 16, 17, 20, 23, 25, 28, 52, 29, 34, 33, 46, 45, 38, 47, 36, 41, 30, 39, 42, 37, 32, 40, 56, 44, 43, 48, 51, 50, 53, 54, 58, 18, 10], [55, 49, 57, 60]]
1: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6], [12, 27, 15, 8, 24, 9, 14, 10, 28, 11, 18, 16, 20], [17, 19, 30, 22, 23, 26, 29, 25], [31, 46, 32, 33], [39, 37, 42, 38, 36, 45, 44], [40, 43, 34, 41, 47, 51, 56], [48, 55, 49, 50, 57], [52, 53, 54, 58, 60]]
2: [[59, 7, 35, 2, 1, 3, 4], [13, 21, 5, 6, 14], [26, 9, 8, 10, 11, 15, 17], [16, 19, 18, 12, 29, 27, 20, 30, 23, 24], [22, 60, 25, 28, 36, 54, 40, 32, 33, 53], [44, 39, 43, 41], [31, 34, 37, 42, 38], [58, 47, 51, 52], [45, 55, 46], [50, 48, 49, 56, 57]]
3: [[59, 7, 35, 2], [1, 3, 4], [13, 21, 6, 5], [14, 27, 12, 9, 15, 24, 31, 8, 19, 10, 20, 22], [16, 23, 11, 17, 18, 30, 25, 28, 26, 29, 38, 32, 41, 33, 34, 37, 39, 36, 58, 40, 42, 43, 44, 45, 47, 46, 52, 53, 49, 48, 51, 54, 55, 50, 56], [57, 60]]
4: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6, 14, 24], [9, 12, 11, 10], [15, 8, 28, 17, 29], [19, 18, 31, 16, 30, 23, 22], [27, 20, 25, 44, 55, 26, 34, 32, 41, 54, 37, 47], [33, 39, 38, 36, 40, 43, 45], [42, 48, 46, 60, 53, 49, 50, 51, 52, 57, 58, 56]]
5: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6], [26, 8, 9, 11, 24], [10, 31, 25, 15, 12], [16, 19, 18, 29, 22], [23, 20, 14, 17, 27], [28, 30, 46, 36, 34, 37, 41], [33, 47], [38, 45, 32, 42, 39, 40], [43, 44, 48, 52, 51], [60, 54, 49, 50, 55, 56, 57, 53, 58]]
6: [[59, 7, 35, 2, 1], [3, 4, 13], [21, 5, 6, 28, 27, 11, 8, 9, 12, 31, 10, 14, 15, 22, 25, 18, 17, 20, 19, 16, 23, 52, 29, 34, 40, 46, 37, 38, 45, 33, 24, 26, 47, 42, 30, 32, 36, 39, 41, 43, 44, 51], [50, 60, 54, 48], [53, 58, 55, 49, 57, 56]]
7: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6, 12, 17], [11, 10, 8, 15], [14], [9, 24], [26, 23, 18, 19, 20], [16, 27, 22, 25, 29, 30, 28, 31, 53, 45, 36, 32, 37, 34, 33], [42, 38, 41, 46], [44, 43, 47, 39, 56, 50, 40, 60, 51, 52], [48, 49, 54, 57, 55, 58]]
8: [[59, 7, 35, 2, 1], [3, 4], [13, 21, 5, 6], [12, 10, 11], [9, 8, 14, 31, 15, 19, 24, 23, 25, 18, 17, 26, 27, 29, 20, 28, 30, 55, 34, 38, 33, 39, 46, 36, 37, 22, 40, 42, 41, 32, 47, 43, 45, 44, 49, 50, 58, 51, 52, 53, 16, 54, 57, 48, 56, 60]]
9: [[59, 7, 35, 2], [1, 3, 4, 13, 21, 6, 5], [12, 27, 10, 9, 25, 14, 11, 15, 20, 8, 22, 19, 18, 23, 17], [24, 26, 16, 28, 30], [29, 31], [38, 36, 37, 34], [33, 39, 54, 45, 32], [40, 47, 55, 44, 41, 42, 43, 56, 46], [50], [49, 48, 60, 51, 52, 57, 58, 53]]
10: [[59, 7, 35, 2], [1, 3, 4], [13, 21, 11, 6, 8], [25, 5, 27, 10, 9, 29, 24, 17, 12, 26, 20, 14, 15, 16, 30, 18, 34, 19, 22], [31, 23, 28, 32, 36, 37, 33, 42, 39, 41, 38, 44, 46, 47, 56], [45, 40, 48, 43, 51, 52, 49, 54, 53, 50, 55, 57, 58, 60]]
11: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 22, 11, 26, 14, 9, 10, 15, 28, 12, 16, 6, 27, 8, 18, 17, 19, 20, 23, 25, 24, 30], [29, 31, 60, 33, 34, 36, 38, 40, 39, 32, 43, 37, 42], [45, 44, 50], [47, 46], [48, 58, 41, 51, 49, 52, 54, 56, 53, 55, 57]]
12: [[59, 7, 35, 2, 1], [3, 4, 13, 21, 5, 6], [12, 27, 9, 8, 10, 11, 31, 14, 24, 15, 18, 22, 20], [17, 16, 30, 25, 19, 29, 23, 26], [28, 46, 32, 43, 39, 33, 44, 34, 36, 37, 42, 40], [45, 38, 41, 47], [51, 48, 52, 53, 54, 50, 57, 60, 49, 55, 58, 56]]
13: [[59, 7, 35, 2], [1, 3, 4], [13, 5, 22, 6, 21], [8, 9], [12, 11], [14, 31, 15, 16, 17, 18], [19, 27, 26, 30, 20], [29, 23, 24, 25, 10], [28, 36, 37, 34, 38], [33, 46, 42, 43], [47, 40, 32, 49], [44, 55], [41, 45, 52, 51, 48, 39], [56, 54, 50, 57, 53, 58, 60]]
