0: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
1: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
2: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
3: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
4: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
5: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
6: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
7: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
8: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
9: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
10: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
11: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
12: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
13: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
14: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
15: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
16: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
17: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
18: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
19: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
20: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
21: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
22: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
23: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
24: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
25: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
26: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
27: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
28: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
29: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
30: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6], [9, 8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
31: [[14, 2, 10, 7], [3, 1, 12, 4, 5, 13, 6, 9], [8, 15], [11, 17, 20, 16, 18], [19, 22], [21, 23, 24]]
32: [[2, 3, 10], [1, 12, 4, 5, 13, 6, 9, 14], [8, 15], [11, 17, 20, 16, 18, 7], [19, 22], [21, 23, 24]]
