0: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33], [37]]
1: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33], [37]]
2: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33], [37]]
3: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33], [37]]
4: [[20, 12, 2], [7, 17, 9, 4], [5, 1, 35], [27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34, 32, 33], [37]]
5: [[20, 12, 2], [7, 17, 9, 4], [5, 1, 35], [27, 11, 22, 3], [6, 10, 29, 36], [8, 14, 15], [13, 18, 24], [16, 19, 23], [21, 28, 25, 26], [30, 31, 34, 32], [33, 37]]
6: [[20, 12, 2], [7, 17, 9, 4], [5, 1, 35, 27], [11, 22, 3], [6, 10, 29], [36, 8, 14, 15], [13, 18, 24], [16, 19, 23, 21], [28, 25, 26], [30, 31, 34], [32, 33, 37]]
7: [[20, 12, 2], [7, 17, 9], [4, 5, 1], [35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24, 16], [19, 23], [21, 28, 25, 26], [30, 31, 34, 32], [33, 37]]
8: [[20, 12, 2], [7, 17, 9], [4, 5], [1, 35, 27, 11], [22, 3], [6, 10, 29, 36], [8, 14, 15, 13], [18, 24, 16], [19, 23], [21, 28, 25, 26], [30, 31, 34, 32], [33, 37]]
9: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27], [11, 22, 3], [6, 10, 29, 36, 8], [14, 15, 13], [18, 24, 16], [19, 23, 21], [28, 25], [26, 30, 31, 34, 32, 33, 37]]
10: [[20, 12, 2, 7], [17, 9, 4], [5, 1, 35, 27], [11, 22, 3], [6, 10, 29, 36, 8], [14, 15, 13], [18, 24, 16], [19, 23, 21], [28, 25], [26, 30, 31, 34, 32, 33, 37]]
