0: [[5, 4, 16, 3], [1, 2], [6, 13, 9], [12, 19], [10, 7, 14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
1: [[16, 3], [9], [5, 4], [1, 2], [6, 13], [12, 19], [10, 7, 14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
2: [[5, 4, 16, 3], [1, 2], [6, 13, 12], [19, 10], [7, 14, 11], [8, 15, 18], [17, 20, 22, 9], [23, 21, 24]]
3: [[4], [1, 2, 9], [6, 13, 5], [12, 19], [10, 7, 14], [11, 8, 15], [18, 17, 16, 3], [20, 22], [23, 21, 24]]
4: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12], [19, 10], [7, 14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
5: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12], [19, 10], [7, 14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
6: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12], [19, 10], [7, 14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
7: [[4], [1, 2, 9], [6, 13, 3], [12, 19, 10], [7, 14], [11, 8, 16], [15, 18], [17, 20, 22, 5], [23, 21, 24]]
8: [[4], [1, 2, 9], [6, 13, 3], [12, 19, 10], [7, 14], [11, 8, 16], [15, 18], [17, 20, 22, 5], [23, 21, 24]]
9: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12, 19], [10, 7, 14], [11, 8, 15], [18, 17, 20, 22], [23, 21, 24]]
10: [[5, 4], [1, 2], [6, 13, 3], [12, 19], [10, 7], [14, 11, 8, 16], [15, 18], [17, 20, 22, 9], [23, 21, 24]]
11: [[5], [4, 1], [2], [6, 13, 12], [19, 10], [7, 14, 11], [8, 15, 9], [18, 17, 20, 22, 16, 3], [23, 21, 24]]
12: [[5], [4, 1], [2], [6, 13, 12], [19, 10], [7, 14, 11], [8, 15, 9], [18, 17, 20, 22, 16, 3], [23, 21, 24]]
13: [[5, 16], [4, 1, 2], [6, 13, 12], [19, 10, 3], [7, 14, 11], [8, 15, 18], [17, 9], [20, 22], [23, 21, 24]]
14: [[5, 16], [4, 1, 2], [6, 13, 12], [19, 10, 3], [7, 14, 11], [8, 15, 18], [17, 9], [20, 22], [23, 21, 24]]
15: [[4], [1, 2, 9], [6, 3], [13, 12, 5], [19, 10], [7, 14], [11, 8, 16], [15, 18, 17], [20, 22], [23, 21, 24]]
16: [[5, 4], [1, 2, 6, 13, 9], [12, 19], [10, 7], [14, 11], [8, 15], [18, 17, 20, 22, 16, 3], [23, 21, 24]]
17: [[16, 3], [9], [5, 4], [1, 2], [6, 13], [12, 19], [10, 7], [14, 11, 8], [15, 18], [17, 20, 22], [23, 21, 24]]
18: [[16, 3], [9], [5, 4], [1, 2], [6, 13], [12, 19], [10, 7], [14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
19: [[4], [1, 2, 9], [6, 13, 3], [12, 5], [19, 10], [7, 14], [11, 8, 16], [15, 18], [17, 20], [22, 23, 21, 24]]
20: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12], [19, 10], [7, 14], [11, 8, 15], [18, 17, 20, 22], [23, 21, 24]]
21: [[4], [1, 2, 9], [6, 13, 5], [12, 19], [10, 7], [14, 11], [8, 15], [18, 17, 16, 3], [20, 22], [23, 21, 24]]
22: [[16, 3], [9], [5, 4], [1, 2], [6, 13], [12, 19], [10, 7], [14, 11], [8, 15], [18, 17, 20, 22], [23, 21, 24]]
23: [[5], [4, 1], [2, 6, 13, 12, 9], [19, 10], [7, 14, 11, 8, 15], [18, 17, 16, 3], [20, 22], [23, 21, 24]]
24: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12, 19], [10, 7], [14, 11], [8, 15, 18], [17, 20, 22], [23, 21, 24]]
25: [[4, 1, 9], [2, 6, 3], [13, 12, 5], [19, 10], [7], [14, 11], [8, 15], [18, 17, 16], [20, 22], [23, 21, 24]]
26: [[4, 1, 9], [2, 6, 3], [13, 12, 5], [19], [10, 7], [14, 11], [8, 15], [18, 17, 16], [20, 22], [23, 21, 24]]
27: [[4, 5], [1, 9], [2, 6, 16, 3], [13, 12], [19, 10], [7, 14, 11], [8, 15, 18, 17], [20], [22, 23], [21, 24]]
28: [[4, 5], [1, 2, 9], [6, 13, 12, 19, 10, 3], [7, 14], [11, 8, 16], [15, 18], [17, 20], [22, 23], [21, 24]]
29: [[16, 3, 9, 5, 4, 1, 2, 6, 13, 12, 19, 10], [7, 14, 11, 8, 15, 18, 17], [20, 22, 23, 21, 24]]
30: [[5, 4, 1], [2, 6, 3, 9], [13, 12, 19], [10, 7, 14], [11, 8, 15], [18, 17, 16], [20, 22, 23, 21, 24]]
31: [[4], [1, 2, 9], [6, 13, 3], [12, 5], [19, 10], [7, 14], [11, 8, 16], [15, 18, 17], [20, 22, 23, 21, 24]]
32: [[4], [1, 2, 9], [6, 13, 5], [12, 19], [10, 7, 14], [11, 8, 15], [18, 17, 20, 16, 3], [22, 23, 21], [24]]
33: [[5], [4, 1, 2], [6, 13, 3], [12, 19], [10, 7, 14], [11, 8, 15, 18, 16], [17, 20, 9], [22, 23, 21], [24]]
34: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12], [19, 10], [7, 14], [11, 8], [15, 18, 17], [20, 22, 23, 21, 24]]
35: [[4, 5], [1, 2, 9], [6, 13, 3], [12, 19], [10, 7], [14, 11, 16], [8, 15, 18, 17], [20, 22, 23], [21, 24]]
36: [[5, 4], [1, 2], [6, 13, 9], [12, 19], [10, 7, 3], [14, 11, 8, 16], [15, 18, 17], [20, 22, 23], [21, 24]]
37: [[4, 1, 16], [2, 6, 3], [13, 12, 5], [19, 10], [7, 14], [11, 8], [15, 18], [17, 20, 22, 23, 9], [21, 24]]
38: [[5, 4], [1, 2, 6, 13, 9], [12, 19], [10, 7], [14, 11], [8, 15], [18, 17, 20, 16, 3], [22, 23, 21], [24]]
39: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12, 19], [10, 7], [14, 11, 8], [15, 18, 17], [20, 22, 23, 21, 24]]
40: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12], [19, 10, 7, 14], [11, 8, 15], [18, 17, 20], [22, 23, 21], [24]]
41: [[4, 1, 16], [2, 6, 3], [13, 12, 5], [19, 10], [7, 14], [11, 8], [15, 18], [17, 20, 9], [22, 23, 21], [24]]
42: [[4], [1, 2, 9], [6, 13, 3], [12, 5], [19, 10, 7], [14, 11, 8, 16], [15, 18], [17, 20], [22, 23, 21], [24]]
43: [[5, 4], [1, 2], [6, 13, 12, 19, 9], [10, 7, 14], [11, 8, 16, 3], [15, 18, 17, 20, 22, 23, 21, 24]]
44: [[5], [4, 1, 16, 3], [2, 6, 9], [13, 12, 19], [10, 7, 14], [11, 8, 15], [18, 17, 20, 22, 23, 21, 24]]
