0: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
1: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
2: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
3: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
4: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
5: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
6: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
7: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
8: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
9: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
10: [[8, 59, 31, 44], [18, 35, 57, 6], [33, 64, 30, 67], [3, 71, 83, 63], [1, 16, 13, 53], [66, 14, 70, 23], [26, 7, 24, 37], [55, 29, 42, 43], [11, 21, 17, 27], [50, 19, 78, 65], [9, 28, 22, 54], [69, 87, 51, 34], [36, 73, 12, 2], [46, 25, 4, 84], [5, 32, 38, 49], [60, 41, 15, 52], [72, 56, 45, 77], [47, 39, 10, 40], [68, 48, 61, 85], [62, 74, 88, 58], [75, 20, 80, 76], [81, 79, 82, 86]]
