0: [[14, 10], [16, 4, 2, 1, 3], [7, 9, 6, 11], [8, 12, 15, 17, 19, 18, 20, 22, 5, 13], [23, 21, 24]]
1: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
2: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
3: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
4: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
5: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
6: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
7: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
8: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
9: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
10: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
11: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
12: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
13: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
14: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
15: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
16: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
17: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
18: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
19: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
20: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
21: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
22: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
23: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
24: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
25: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
26: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
27: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
28: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
29: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
30: [[14, 16, 3, 10], [1, 4, 2, 5], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
31: [[14, 16, 3, 10], [1, 4, 2, 5], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
32: [[14, 16, 1, 4, 2, 5, 3, 10], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
33: [[14, 10], [16, 1, 4, 2, 3], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
34: [[14, 10], [16, 1, 4, 2, 3], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
35: [[14, 10], [16, 1, 4, 2, 3], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
36: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20], [22, 23, 21, 24]]
37: [[14, 16, 1, 4, 2, 3, 10], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
38: [[14, 10], [16, 1, 4, 2, 3], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20], [22, 23, 21, 24]]
39: [[14, 10], [16, 1, 4, 2, 3], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20], [22, 23, 21, 24]]
40: [[3, 10, 14], [16, 1, 4, 2, 5, 7], [9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
41: [[3, 10, 14], [16, 1, 4, 2, 5, 7], [9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
42: [[14, 16, 1, 4, 2, 3, 10], [5, 7, 9, 6], [11, 13, 8, 12, 15, 17, 19, 18, 20], [22, 23, 21, 24]]
43: [[3, 10, 14, 16], [1, 4, 2, 5, 7], [9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
44: [[3, 10, 14, 16], [1, 4, 2, 5, 7], [9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22], [23, 21, 24]]
45: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22, 23], [21, 24]]
46: [[14, 10], [16, 1, 4, 2, 5, 3], [7, 9, 6, 11, 13], [8, 12, 15, 17, 19, 18, 20, 22, 23], [21, 24]]
47: [[14, 16, 3, 10], [1, 4, 2, 5], [7, 9, 6, 11], [13, 8, 12, 15, 17, 19, 18, 20, 22, 23], [21, 24]]
48: [[3, 10, 14], [16, 1, 4, 2, 5, 7], [9, 6, 11, 13], [8, 12, 15, 17, 19, 18, 20, 22, 23], [21, 24]]
49: [[3, 10, 14], [16, 1, 4, 2, 5, 7], [9, 6, 11, 13], [8, 12, 15, 17, 19, 18, 20, 22, 23], [21, 24]]
