0: [[18, 17, 19], [6, 14, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
1: [[18, 17, 19], [14, 6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
2: [[18, 17, 19], [6, 16, 14, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
3: [[18, 17, 19], [14, 6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
4: [[18, 17, 19], [14, 6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
5: [[18, 17, 19], [14, 6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
6: [[18, 17, 19], [6, 14, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
7: [[18, 17, 19], [6, 14, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
8: [[18, 17, 19], [6, 14, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
9: [[18, 17, 19], [6, 14, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
10: [[18, 17, 19], [6, 14, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
11: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
12: [[18, 17, 19, 15], [14, 6, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
13: [[18, 17, 19, 15], [14, 6, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
14: [[18, 17, 19, 15], [14, 6, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
15: [[18, 17, 19, 15], [6, 16, 14], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
16: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
17: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
18: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
19: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
20: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
21: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
22: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
23: [[18, 17, 19, 15], [6, 14, 16], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
24: [[18, 17, 19, 14], [6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
25: [[18, 17, 19, 14], [6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
26: [[18, 17, 19, 14], [6, 16, 15], [1, 3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
27: [[18, 17, 19, 15], [14, 6, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
28: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
29: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
30: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
31: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
32: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
33: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
34: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
35: [[18, 17, 19, 15], [14, 6, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
36: [[18, 17, 19, 15], [14, 6, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
37: [[18, 17, 19, 15], [14, 6, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
38: [[18, 17, 19, 15], [14, 6, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
39: [[18, 17, 19, 14, 15], [6, 16, 1], [3, 2, 8], [5, 10, 7, 9], [13, 11, 12, 20, 4]]
40: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8, 5], [10, 7, 9], [13, 11, 12, 20, 4]]
41: [[18, 17, 19, 15], [6, 14, 16, 1], [3, 2, 8, 5], [10, 7, 9], [13, 11, 12, 20, 4]]
