0: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 15, 7, 9, 13, 17, 16, 10, 12, 14], [20, 22], [24, 19, 18], [21, 26, 27], [23, 28]]
1: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 15], [7, 9], [13, 18, 22], [12, 20, 14, 24, 16, 17, 26, 19, 23, 28, 10], [21, 27]]
2: [[8, 25, 9], [1, 2], [6, 5], [3, 4, 11, 15, 7, 14], [13, 22, 12, 24], [16, 17, 29, 10, 18, 19], [21, 26], [23, 20, 28, 27]]
3: [[8, 29, 25], [1, 2], [6, 5], [3, 4, 11], [15, 7], [9, 13, 17, 10, 12], [23, 14], [16, 18, 19, 22], [20, 21, 26, 27, 24, 28]]
4: [[28, 25, 24], [1, 2], [6, 5, 3, 4], [11, 15], [7, 13, 8], [17, 16, 14], [20, 9, 22], [27, 18, 19, 23, 10, 12], [26, 21], [29]]
5: [[8, 29, 25], [1, 2], [6, 5], [3, 4, 11], [15, 7, 9, 12, 19, 10, 13], [14, 21, 16, 18, 17, 23, 22, 20, 26, 27, 24, 28]]
6: [[8, 29], [25, 1, 2], [6, 5, 3, 4, 11, 15, 7, 9, 12, 16, 18, 13, 10, 14, 20, 23, 17, 19, 22], [21, 24, 27, 26, 28]]
7: [[8, 29, 25], [1, 2], [6, 5], [3, 4, 11], [15, 7, 9, 13, 17, 21, 10, 12], [28, 20], [22, 16, 19], [18, 14], [24], [27, 23, 26]]
8: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 14], [7, 9, 15, 24, 10, 13, 18, 12, 16, 17, 23, 20, 21, 19, 22], [27, 26, 28]]
9: [[8, 29, 25], [1, 2], [6, 5, 3, 4, 11, 14, 7], [9, 10, 16, 28, 13, 24, 22, 12, 17, 23, 15, 20], [18], [21, 27, 19, 26]]
10: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 15, 7], [9, 13, 22], [18, 14], [12, 10, 20], [16, 24, 17, 19, 21, 26, 27, 23, 28]]
11: [[8, 29, 25], [1, 2], [6, 5], [3, 4, 11], [15, 7], [9, 13], [14, 16, 10], [12, 17, 20], [22, 18], [19, 21], [24, 26, 23, 27, 28]]
12: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 15, 7, 9, 13, 17], [16, 10], [14, 12, 28], [18, 24, 19, 20, 21, 22, 27, 23, 26]]
13: [[8, 29, 25], [1, 2, 6, 5, 3, 4, 11, 15, 7, 9, 12, 18, 10, 13, 14, 17, 20, 22, 16], [21, 26, 28, 23, 19, 24, 27]]
14: [[8, 29, 25], [1, 2], [6, 5], [3, 4], [11, 15, 7], [9, 13], [19, 16], [10, 12, 20], [14, 17, 28], [22, 18], [21, 23], [27, 26, 24]]
15: [[8, 29, 25, 1], [2, 6, 5, 3, 4, 11, 15, 7, 9, 12, 26, 13, 14, 10, 16, 18, 23, 17, 20, 21, 22, 19], [27, 28, 24]]
16: [[8, 29, 25], [1, 2], [6, 5], [3, 4, 11], [15, 7], [9, 13, 19, 10, 12], [14, 28], [16, 18, 17, 23, 20, 21, 22, 27, 26, 24]]
17: [[8, 29, 25], [1, 2], [6, 5, 3], [4, 11, 15], [7, 9], [12, 17, 18], [13, 10], [14, 16], [23, 20, 19, 22, 21], [24, 27, 26, 28]]
18: [[8, 29, 25], [1, 2], [6, 5, 3, 4], [11, 15, 7, 9], [13, 26], [10, 28, 20], [22, 23], [16, 12, 14], [17, 19, 18], [21, 24, 27]]
