0: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22], [23, 21, 24]]
1: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22], [23, 21, 24]]
2: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22], [23, 21, 24]]
3: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22], [23, 21, 24]]
4: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18, 16, 20, 22], [23, 21, 24]]
5: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
6: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14, 15, 17, 18, 16, 20, 22], [23, 21, 24]]
7: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
8: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
9: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
10: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
11: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
12: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
13: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
14: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
15: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
16: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
17: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
18: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
19: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
20: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
21: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
22: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
23: [[19, 7, 11], [1, 2, 13], [3, 6, 9], [12, 5, 4], [10, 8, 14], [15, 17, 18], [16, 20, 22], [23, 21, 24]]
